ids_language_code	CNS
ids_ui_tooltip_def_a	防御
ids_ui_tooltip_def_b	防御
ids_ui_tooltip_attack_speed	攻击速率: %s
ids_ui_tooltip_req_job	职业需求:
ids_ui_tooltip_req_level	等级需求 : %d
ids_ui_tooltip_restore_mp	回复 MP: %d
ids_ui_tooltip_restore_hp	回复 HP: %d
ids_ui_tooltip_restore_fp	回复 FP: %d
ids_ui_tooltip_max_restore	效率增加到 %d
ids_ui_tooltip_inv_suit 套装
ids_ui_tooltip_inv_gauntlet	手套
ids_ui_tooltip_inv_boots	靴子
ids_ui_tooltip_inv_helmet	头盔
ids_ui_tooltip_inv_clo	披风
ids_ui_tooltip_inv_weapon	武器
ids_ui_tooltip_inv_guard	盾牌
ids_ui_tooltip_inv_mask	面具
ids_ui_tooltip_inv_rid	滑板
ids_ui_tooltip_inv_necklace	项链
ids_ui_tooltip_inv_ring	戒指
ids_ui_tooltip_inv_earring	耳环
ids_ui_tooltip_inv_bullet	辅助武器(箭矢, 飞镖)
ids_ui_tooltip_inv_clothes_1	流行帽子
ids_ui_tooltip_inv_clothes_2	流行服装
ids_ui_tooltip_inv_clothes_3	流行手套
ids_ui_tooltip_inv_clothes_4	流行鞋子
ids_ui_inventory_1_bag	#b1#nb 背包
ids_ui_inventory_n_bags	#b%d#nb 背包
ids_ui_iventory_bag_n	背包%d
ids_ui_tooltip_mon_lvl	Lv.
ids_ui_tooltip_mon_drop	Booty:
ids_ui_tooltip_mon_no_drop	无
ids_ui_map_moninfo	显示怪物信息
ids_ui_tooltip_delete_item	掉落此处的物品消失了
ids_ui_inventory_delete	已掉落
ids_ui_inventory_delete_confirm	确定要删除该物品？
ids_ui_inventory_delete_cnt	数目
ids_ui_dialog	对话
ids_ui_dialog_title	闲聊
ids_ui_dialog_about	询问 %s
ids_ui_option_tab_game	游戏 / 音频
ids_ui_option_tab_video	视频
ids_ui_option_pm	开启 密语 & 消息
ids_ui_instantmsg_title	消息
ids_ui_message_send	发送
ids_ui_shop_title	商店
ids_ui_shop_itemslist	物品清单
ids_ui_tooltip_price	价格: %s
ids_ui_tooltip_sellprice	售价 : %s
ids_ui_shop_filter	搜索
ids_ui_shop_level	按等级
ids_ui_shop_gender	按性别
ids_ui_shop_itemprice	售价
ids_ui_sellitem_title	已售出
ids_ui_sellitem_confirm	确定要出售该物品？
ids_ui_sellitem_qty	数目
ids_ui_sellitem_price	售价：
ids_ui_msgbox_valid	Ok
ids_ui_buyitem_title	已购买
ids_ui_buyitem_confirm	确认要购买吗？
ids_ui_buyitem_price	花费
ids_ui_option_grass	草地效果 (Beta)
ids_ui_option_showlogin	角色登入
ids_ui_tooltip_max_hp	Max. HP
ids_ui_tooltip_max_mp	Max. MP
ids_ui_tooltip_max_fp	Max. FP
ids_ui_tooltip_speed	速度
ids_ui_tooltip_atkspeed	攻击速度
ids_ui_tooltip_blockmelee	物理格挡
ids_ui_tooltip_hitrate	攻击
ids_ui_display_buffs	显示/隐藏 buffs
ids_ui_selectjob_title	选择一个新的职业
