IDS_PROPSKILL_TXT_000000	Frappe pure
IDS_PROPSKILL_TXT_000045	Coup d'épée surpuissant qui inflige des dégâts à tous les ennemis devant le chevalier
IDS_PROPSKILL_TXT_000046	Justice
IDS_PROPSKILL_TXT_000047	Coup d'épée qui inflige des dommages fixes à l'ennemi, quel que soit son niveau
IDS_PROPSKILL_TXT_000048	Marchand de douleur
IDS_PROPSKILL_TXT_000049	Coup de hache qui réduit la défense de l'ennemi en plus d'administrer des dommages
IDS_PROPSKILL_TXT_000050	Doloire féroce
IDS_PROPSKILL_TXT_000051	Coup de hache surpuissant qui inflige des dégâts et peut étourdir tous les ennemis à proximité
IDS_PROPSKILL_TXT_000052	Mutilation
IDS_PROPSKILL_TXT_000053	Attaque meurtrière qui utilise les deux armes de l'Assassin pour infliger le maximum de dégâts
IDS_PROPSKILL_TXT_000054	Percée d'armure
IDS_PROPSKILL_TXT_000055	Attaque de mêlée qui ignore 50% de la défense de l'ennemi
IDS_PROPSKILL_TXT_000056	Lacération
IDS_PROPSKILL_TXT_000057	Frappe l'ennemi d'un coup d'épée rapide
IDS_PROPSKILL_TXT_000058	Danse de lames
IDS_PROPSKILL_TXT_000059	Danse mortelle qui inflige des dégâts à tous les ennemis à proximité (nécessite une épée en main droite)
IDS_PROPSKILL_TXT_000060	Heurtoir
IDS_PROPSKILL_TXT_000061	Inflige quatre frappes puissantes à la hache à la cible (nécessite une hache en main droite)
IDS_PROPSKILL_TXT_000062	Frappe du faucon
IDS_PROPSKILL_TXT_000063	Attaque sautée qui inflige une frappe surpuissante à la cible (nécessite une hache en main droite)
IDS_PROPSKILL_TXT_000064	Décharge sonique
IDS_PROPSKILL_TXT_000065	Concentre l'énergie de l'Assassin pour délivrer un coup dévastateur aux ennemis situés devant lui
IDS_PROPSKILL_TXT_000066	Furie
IDS_PROPSKILL_TXT_000067	Accroît considérablement la puissance d'attaque et la vitesse de frappe de l'Assassin, mais aucune autre compétence n'est utilisable dans cet état de fureur
IDS_PROPSKILL_TXT_000068	Soins
IDS_PROPSKILL_TXT_000069	Soigne la cible en lui rendant des PV
IDS_PROPSKILL_TXT_000070	Frappe martiale
IDS_PROPSKILL_TXT_000071	Frappe l'ennemi d'un coup de poing puissant
IDS_PROPSKILL_TXT_000072	Résurrection
IDS_PROPSKILL_TXT_000073	Ressuscite la cible d'entre les morts et la régénère d'une partie de ses PV
IDS_PROPSKILL_TXT_000074	Patience
IDS_PROPSKILL_TXT_000075	Augmente temporairement le total des PV de la cible
IDS_PROPSKILL_TXT_000076	Second souffle
IDS_PROPSKILL_TXT_000077	Vous bénit afin de régénérer automatiquement vos PV à l'approche de la mort.
IDS_PROPSKILL_TXT_000078	Métabolisme
IDS_PROPSKILL_TXT_000079	Augmente l'endurance de la cible
IDS_PROPSKILL_TXT_000080	Boulet de canon
IDS_PROPSKILL_TXT_000081	Augmente la dextérité de la cible
IDS_PROPSKILL_TXT_000082	Cercle curatif
IDS_PROPSKILL_TXT_000083	Soigne les membres du groupe situés à proximité
IDS_PROPSKILL_TXT_000084	Acuité
IDS_PROPSKILL_TXT_000085	Augmente l'intelligence de la cible
IDS_PROPSKILL_TXT_000086	Adrénaline
IDS_PROPSKILL_TXT_000087	Augmente la force de la cible
IDS_PROPSKILL_TXT_000088	Choc de terre
IDS_PROPSKILL_TXT_000089	Frappe puissamment le sol pour infliger des dégâts à tous les ennemis dans la zone d'impact
IDS_PROPSKILL_TXT_000090	Main de pierre
IDS_PROPSKILL_TXT_000091	Augmente la probabilité que les prochaines attaques étourdissent les ennemis
IDS_PROPSKILL_TXT_000092	Pas léger
IDS_PROPSKILL_TXT_000093	Augmente la vitesse de déplacement de la cible
IDS_PROPSKILL_TXT_000094	Félinité
IDS_PROPSKILL_TXT_000095	Augmente le taux de blocage de la cible en lui accordant les qualités d'un félin
IDS_PROPSKILL_TXT_000096	Précision
IDS_PROPSKILL_TXT_000097	Augmente les chances de toucher
IDS_PROPSKILL_TXT_000098	Paume d'acier
IDS_PROPSKILL_TXT_000099	Inflige un violent coup de poing à l'ennemi
IDS_PROPSKILL_TXT_000100	Vivacité
IDS_PROPSKILL_TXT_000101	Augmente la vitesse d'attaque de la cible
IDS_PROPSKILL_TXT_000102	Intervention divine
IDS_PROPSKILL_TXT_000103	Puissante prière qui restitue un grand nombre de PV à tous les membres du groupe à proximité du Prêtre
IDS_PROPSKILL_TXT_000104	Croix du templier
IDS_PROPSKILL_TXT_000105	Multiplie par deux les dégâts infligés par le prochain coup porté à la cible
IDS_PROPSKILL_TXT_000106	Fortification
IDS_PROPSKILL_TXT_000107	Augmente la défense physique de la cible
IDS_PROPSKILL_TXT_000108	Aura sacrée
IDS_PROPSKILL_TXT_000109	Augmente la résistance à la magie de la cible
IDS_PROPSKILL_TXT_000110	Force spirituelle
IDS_PROPSKILL_TXT_000111	Augmente fortement la puissance d'attaque de la cible
IDS_PROPSKILL_TXT_000112	Clarté de l'esprit
IDS_PROPSKILL_TXT_000113	Guérit la cible de tous les effets négatifs qui l'affectent.
IDS_PROPSKILL_TXT_000114	Eveil de Tipehreth
IDS_PROPSKILL_TXT_000115	Cristallise la volonté de tous les membres du groupe proches du Prêtre et augmente leur puissance d'attaque et leur vitesse d'attaque.
IDS_PROPSKILL_TXT_000116	Halo de Merkabah
IDS_PROPSKILL_TXT_000117	Attaque ancestrale qui inflige des dégâts à répétition à tous les ennemis situés à proximité du Prêtre
IDS_PROPSKILL_TXT_000118	Toucher du lotus
IDS_PROPSKILL_TXT_000119	Précipite le Moine sur l'ennemi pour lui administrer un rapide coup de poing
IDS_PROPSKILL_TXT_000120	Décharge martiale
IDS_PROPSKILL_TXT_000121	Décharge la force du Moine sur les ennemis lui faisant face
IDS_PROPSKILL_TXT_000122	Effusion de sang
IDS_PROPSKILL_TXT_000123	Frappe avec force le point faible de l'ennemi, pouvant le faire saigner et perdre des PV en continu
IDS_PROPSKILL_TXT_000124	Déflagration sonique
IDS_PROPSKILL_TXT_000125	Canalise la puissance du Moine et inflige des coups de poing destructeurs
IDS_PROPSKILL_TXT_000126	Asmodeus
IDS_PROPSKILL_TXT_000127	Augmente la puissance d'attaque du moine lorsqu'il combat avec un poing
IDS_PROPSKILL_TXT_000128	Mots de faiblesse
IDS_PROPSKILL_TXT_000129	Inflige un châtiment à l'ennemi réduisant sa défense et augmentant son attaque
IDS_PROPSKILL_TXT_000130	Jugement divin
IDS_PROPSKILL_TXT_000131	Libère une redoutable onde de choc sur les ennemis à proximité du Moine
IDS_PROPSKILL_TXT_000132	Paume de Bouddha
IDS_PROPSKILL_TXT_000133	Technique martiale millénaire qui utilise tous les PM du Moine pour délivrer un coup d'une extrême violence
IDS_PROPSKILL_TXT_000134	Arc de feu
IDS_PROPSKILL_TXT_000135	Lance un arc de feu sur l'ennemi
IDS_PROPSKILL_TXT_000136	Brûlure
IDS_PROPSKILL_TXT_000137	Attaque basée sur le feu qui inflige des dégâts continus à l'ennemi
IDS_PROPSKILL_TXT_000138	Coup de vent
IDS_PROPSKILL_TXT_000139	Lance un souffle de vent sur l'ennemi
IDS_PROPSKILL_TXT_000140	Bourrasque
IDS_PROPSKILL_TXT_000141	Invoque un vent fort causant des dommages à l'ennemi et le faisant reculer
IDS_PROPSKILL_TXT_000142	Téléportation
IDS_PROPSKILL_TXT_000143	Sort instantané qui permet de se téléporter sur une courte distance dans la direction indiquée par le joueur
IDS_PROPSKILL_TXT_000144	Chute de glace
IDS_PROPSKILL_TXT_000145	Lance un projectile de glace causant des dommages et pouvant ralentir l'ennemi
IDS_PROPSKILL_TXT_000146	Electricité
IDS_PROPSKILL_TXT_000147	Lance une décharge d'électricité sur l'ennemi
IDS_PROPSKILL_TXT_000148	Stalagmite
IDS_PROPSKILL_TXT_000149	Invoque un pic de pierre infligeant des dégâts et pouvant étourdir l'ennemi
IDS_PROPSKILL_TXT_000150	Fouet mental
IDS_PROPSKILL_TXT_000151	Inflige une attaque mentale à l'ennemi
IDS_PROPSKILL_TXT_000152	Sphère de feu
IDS_PROPSKILL_TXT_000153	Projette une énorme sphère de feu sur l'ennemi, et réduit sa résistance aux attaques basées sur l'eau pendant une courte période
IDS_PROPSKILL_TXT_000154	Lame de vent
IDS_PROPSKILL_TXT_000155	Propulse une lame de vent sur l'ennemi, s'apparentant à un violent coup d'épée
IDS_PROPSKILL_TXT_000156	Boule de glace
IDS_PROPSKILL_TXT_000157	Projette une boule de glace sur l'ennemi, le nombre de boules de glace lancées augmente en maîtrisant cette attaque
IDS_PROPSKILL_TXT_000158	Colonne d'eau
IDS_PROPSKILL_TXT_000159	Invoque une colonne d'eau sur l'ennemi, infligeant des dégâts et réduisant sa résistance aux attaques basées sur l'électricité pendant une courte période
IDS_PROPSKILL_TXT_000160	Boule de foudre
IDS_PROPSKILL_TXT_000161	Projette une boule d'électricité sur l'ennemi
IDS_PROPSKILL_TXT_000162	Choc de foudre
IDS_PROPSKILL_TXT_000163	Frappe l'ennemi d'un éclair de foudre et réduit sa résistance aux attaques de type terre pendant une courte période
IDS_PROPSKILL_TXT_000164	Eboulement
IDS_PROPSKILL_TXT_000165	Invoque la chute d'un gros rocher sur l'ennemi
IDS_PROPSKILL_TXT_000166	Enracinement
IDS_PROPSKILL_TXT_000167	Immobilise l'ennemi pendant une courte période
IDS_PROPSKILL_TXT_000168	Démonologie
IDS_PROPSKILL_TXT_000169	Utilise la science des démons pour endommager l'âme de l'ennemi
IDS_PROPSKILL_TXT_000170	Satanologie
IDS_PROPSKILL_TXT_000171	Jette le mauvais oeil sur l'ennemi, ce qui a une forte chance de l'immobiliser pour une courte période
IDS_PROPSKILL_TXT_000172	Bombe psychique
IDS_PROPSKILL_TXT_000173	Lance une puissante attaque psychique infligeant des dommages et pouvant étourdir l'ennemi pendant quelques secondes
IDS_PROPSKILL_TXT_000174	Barrière psychique
IDS_PROPSKILL_TXT_000175	Invoque une barrière psychique entre le Sorcier et l'ennemi, qui est repoussé et reçoit des dommages s'il tente de la traverser
IDS_PROPSKILL_TXT_000176	Explosion de mana
IDS_PROPSKILL_TXT_000177	Incantation qui inflige de lourds dégâts à l'ennemi, mais fluctuant selon le nombre de PM restants au Sorcier
IDS_PROPSKILL_TXT_000178	Affliction
IDS_PROPSKILL_TXT_000179	Enveloppe le Sorcier d'une aura magique qui répercute sur l'ennemi les dégâts reçus, pouvant jusqu'à doubler les dommages subis
IDS_PROPSKILL_TXT_000180	Nova psychique
IDS_PROPSKILL_TXT_000181	Violente déflagration qui endommage tous les ennemis proches du Sorcier
IDS_PROPSKILL_TXT_000182	Monde parallèle
IDS_PROPSKILL_TXT_000183	Plonge tous les ennemis proches du Sorcier dans le chaos et leur inflige de considérables dégâts
IDS_PROPSKILL_TXT_000184	Oiseau de feu
IDS_PROPSKILL_TXT_000185	Invoque un oiseau formé de feu qui charge l'ennemi
IDS_PROPSKILL_TXT_000186	Maître du feu
IDS_PROPSKILL_TXT_000187	Augmente la puissance de frappe des sorts basés sur le feu.
IDS_PROPSKILL_TXT_000188	Mer de flammes
IDS_PROPSKILL_TXT_000189	Englouti une zone sous une mer de flammes, infligeant des dégâts périodiques aux ennemis s'y trouvant
IDS_PROPSKILL_TXT_000190	Orage de foudre
IDS_PROPSKILL_TXT_000191	Fait s'abattre un orage de foudre sur l'ennemi
IDS_PROPSKILL_TXT_000192	Maître de la foudre
IDS_PROPSKILL_TXT_000193	Augmente la puissance de frappe des sorts basés sur la foudre
IDS_PROPSKILL_TXT_000194	Champ électrique
IDS_PROPSKILL_TXT_000195	Couvre la zone autour de l'Elémentaliste d'un puissant champ électrique, infligeant aléatoirement des dégâts aux ennemis alentours
IDS_PROPSKILL_TXT_000196	Lance de pierre
IDS_PROPSKILL_TXT_000197	Projette des éclats de pierre sur l'ennemi
IDS_PROPSKILL_TXT_000198	Maître de la terre
IDS_PROPSKILL_TXT_000199	Augmente la puissance de frappe des sorts basés sur la terre
IDS_PROPSKILL_TXT_000200	Tremblement de terre
IDS_PROPSKILL_TXT_000201	Déclenche un puissant tremblement de terre qui endommage la cible et les ennemis autour d'elle 
IDS_PROPSKILL_TXT_000202	Missile de glace
IDS_PROPSKILL_TXT_000203	Projette des éclats de glace sur l'ennemi
IDS_PROPSKILL_TXT_000204	Maître de l'eau
IDS_PROPSKILL_TXT_000205	Augmente la puissance de frappe des sorts basés sur l'eau
IDS_PROPSKILL_TXT_000206	Nuage toxique
IDS_PROPSKILL_TXT_000207	Invoque un nuage toxique qui inflige des dégâts et peut empoisonner les ennemis se trouvant dans la zone
IDS_PROPSKILL_TXT_000208	Tornade
IDS_PROPSKILL_TXT_000209	Projette une tornade qui entaille l'ennemi
IDS_PROPSKILL_TXT_000210	Maître du vent
IDS_PROPSKILL_TXT_000211	Augmente la puissance de frappe des sorts basés sur le vent
IDS_PROPSKILL_TXT_000212	Cyclone
IDS_PROPSKILL_TXT_000213	Déclenche un cyclone qui inflige des dégâts à la cible et aux ennemis autour d'elle avec une chance réduire leur mobilité
IDS_PROPSKILL_TXT_000214	Pluie de météores
IDS_PROPSKILL_TXT_000215	Invoque une pluie de météores qui s'abat sur tous les ennemis de la zone, infligeant d'importants dégâts de feu et de terre
IDS_PROPSKILL_TXT_000216	Tempête de foudre
IDS_PROPSKILL_TXT_000217	Invoque une tempête de foudre qui s'abat sur tous les ennemis de la zone, infligeant d'importants dégâts de vent et de foudre
IDS_PROPSKILL_TXT_000218	Tempête de sable
IDS_PROPSKILL_TXT_000219	Invoque une tempête de sable qui s'abat sur tous les ennemis de la zone, infligeant d'importants dégâts de vent et de terre
IDS_PROPSKILL_TXT_000220	Avalanche
IDS_PROPSKILL_TXT_000221	Invoque une avalanche qui s'abat sur tous les ennemis de la zone, infligeant d'énormes dégâts d'eau et de terre et les étourdissant
IDS_PROPSKILL_TXT_000222	Maître du yo-yo
IDS_PROPSKILL_TXT_000223	Augmente la puissance d'attaque lors d'un combat au yo-yo
IDS_PROPSKILL_TXT_000224	Maître archer
IDS_PROPSKILL_TXT_000225	Augmente la puissance d'attaque lors d'un combat à l'arc
IDS_PROPSKILL_TXT_000226	Illusion des ténèbres
IDS_PROPSKILL_TXT_000227	Projette une illusion, permettant de se rendre temporairement invisible aux yeux de l'ennemi jusqu'à la prochaine attaque
IDS_PROPSKILL_TXT_000228	Flèches multiples
IDS_PROPSKILL_TXT_000229	Décoche plusieurs flèches simultanément sur l'ennemi, au détriment de la précision
IDS_PROPSKILL_TXT_000230	Rapidité
IDS_PROPSKILL_TXT_000231	Augmente grandement la vitesse de déplacement
IDS_PROPSKILL_TXT_000232	Visée sournoise
IDS_PROPSKILL_TXT_000233	Tire une flèche sur le point faible de l'ennemi, pouvant jusqu'à doubler les dégâts infligés
IDS_PROPSKILL_TXT_000234	Anesthésie
IDS_PROPSKILL_TXT_000235	Attaque de faible puissance au yo-yo mais qui a une chance d'anesthésier l'ennemi, ralentissant ainsi ses déplacements
IDS_PROPSKILL_TXT_000236	Flèche furtive
IDS_PROPSKILL_TXT_000237	Décoche une flèche alors que l'ennemi n'est pas sur ses gardes, l'effet s'en trouve maximisé pendant l'Illusion des ténèbres
IDS_PROPSKILL_TXT_000238	Barricade
IDS_PROPSKILL_TXT_000239	Augmente les chances de bloquer une attaque de mêlée
IDS_PROPSKILL_TXT_000240	Pluie de flèches
IDS_PROPSKILL_TXT_000241	Fait s'abattre une pluie de flèches sur la cible et les ennemis à proximité
IDS_PROPSKILL_TXT_000242	Vacarme
IDS_PROPSKILL_TXT_000243	Lance le yo-yo avec force sur l'ennemi, propageant un bruit puissant qui peut également étourdir l'ennemi
IDS_PROPSKILL_TXT_000244	Flèche lugubre
IDS_PROPSKILL_TXT_000245	Décoche une flèche très rapide, pouvant plonger l'ennemi dans les ténèbres et réduire ses chances de toucher
IDS_PROPSKILL_TXT_000246	Exaction
IDS_PROPSKILL_TXT_000247	Inflige un violent coup à l'ennemi tout en lui dérobant une partie de ses Penyas, mais nécessite d'être dans le dos de l'ennemi et sous l'effet de l'Illusion des ténèbres
IDS_PROPSKILL_TXT_000248	Représailles
IDS_PROPSKILL_TXT_000249	Position de contre-attaque. Le personnage esquive la prochaine attaque de mêlée et riposte avec une chance d'étourdir l'ennemi
IDS_PROPSKILL_TXT_000250	Hémorragie
IDS_PROPSKILL_TXT_000251	Lance le yo-yo avec force sur l'ennemi, pouvant provoquer un saignement qui fait perdre des PV en continu à l'ennemi.
IDS_PROPSKILL_TXT_000252	Corps à corps
IDS_PROPSKILL_TXT_000253	Enroule le yo-yo autour de l'ennemi, et le ramène au corps au corps
IDS_PROPSKILL_TXT_000254	Détermination
IDS_PROPSKILL_TXT_000255	Augmente les chances d'infliger un coup critique
IDS_PROPSKILL_TXT_000256	Empoisonnement
IDS_PROPSKILL_TXT_000257	Applique un poison sur le yo-yo, augmentant grandement sa puissance d'attaque et pouvant empoisonner les ennemis
IDS_PROPSKILL_TXT_000258	Sanguinaire
IDS_PROPSKILL_TXT_000259	Aiguise le yo-yo, augmentant grandement sa puissance d'attaque et pouvant faire saigner les ennemis
IDS_PROPSKILL_TXT_000260	Vampirique
IDS_PROPSKILL_TXT_000261	Attribue une aura vampirique au yo-yo, augmentant sa puissance d'attaque et pouvant absorber les PV des ennemis
IDS_PROPSKILL_TXT_000262	Fourberie
IDS_PROPSKILL_TXT_000263	Attaque surprise dans le dos de l'ennemi, infligeant de lourd dégâts et pouvant étourdir la cible
IDS_PROPSKILL_TXT_000264	Pile ou face
IDS_PROPSKILL_TXT_000265	Attaque spéciale qui ignore la défense de l'ennemi et peut infliger des dégâts considérables, mais consomme des Penyas à chaque utilisation
IDS_PROPSKILL_TXT_000266	Autonomie
IDS_PROPSKILL_TXT_000267	Dégage le Jester des effets des sorts Barrage de glace, Anesthésie et Chute de glace
IDS_PROPSKILL_TXT_000268	Exécution
IDS_PROPSKILL_TXT_000269	Attaque ultime qui libère un coup critique d'une rare violence sous l'effet de l'Illusion des ténèbres, avec une probabilité de doubler les dégâts infligés
IDS_PROPSKILL_TXT_000270	Célérité
IDS_PROPSKILL_TXT_000271	Augmente la vitesse d'attaque du Ranger
IDS_PROPSKILL_TXT_000272	Barrage de glace
IDS_PROPSKILL_TXT_000273	Bombarde la zone de flèches glacées, infligeant des dégâts aux ennemis à proximité pouvant ralentir leurs mouvements
IDS_PROPSKILL_TXT_000274	Flèche explosive
IDS_PROPSKILL_TXT_000275	Tire une flèche explosive, endommageant et brûlant tous les ennemis alentours en continu
IDS_PROPSKILL_TXT_000276	Dard cruel
IDS_PROPSKILL_TXT_000277	Décoche une flèche puissante qui transperce tous les ennemis dans l'axe du tir
IDS_PROPSKILL_TXT_000278	Morsure du serpent
IDS_PROPSKILL_TXT_000279	Tire une flèche empoisonnée sur l'ennemi, le venin pouvant occasionner des dégâts additionnels sur la durée
IDS_PROPSKILL_TXT_000280	Lance de silence
IDS_PROPSKILL_TXT_000281	Décoche une flèche destructrice, infligeant de lourds dommage et empêchant l'ennemi d'utiliser ses PM pendant un certain temps
IDS_PROPSKILL_TXT_000282	Faveur de la nature
IDS_PROPSKILL_TXT_000283	Augmente la résistance à la magie du Ranger
IDS_PROPSKILL_TXT_000284	Triforce
IDS_PROPSKILL_TXT_000285	Décoche trois flèches d'affilée, obligeant l'ennemi à reculer sous la grande puissance de l'attaque
IDS_PROPSKILL_TXT_000286	Cécité
IDS_PROPSKILL_TXT_000287	L'éblouissement important empêche d'ouvrir les yeux
IDS_PROPSKILL_TXT_000288	Etourdissement
IDS_PROPSKILL_TXT_000289	Vous êtes étourdi et ne pouvez bouger
IDS_PROPSKILL_TXT_000290	Etourdissement collectif
IDS_PROPSKILL_TXT_000291	Le groupe est étourdi et ne peut bouger
IDS_PROPSKILL_TXT_000292	Dégâts
IDS_PROPSKILL_TXT_000293	
IDS_PROPSKILL_TXT_000294	Contre-attaque
IDS_PROPSKILL_TXT_000295	Nécessite d'attendre l'attaque de l'ennemi pour riposter
IDS_PROPSKILL_TXT_000296	Repousser
IDS_PROPSKILL_TXT_000297	Repousse l'ennemi à distance
IDS_PROPSKILL_TXT_000298	Mer de flammes
IDS_PROPSKILL_TXT_000299	Englouti une zone sous une mer de flammes, infligeant des dégâts périodiques aux ennemis s'y trouvant
IDS_PROPSKILL_TXT_000300	Piqûre de poison
IDS_PROPSKILL_TXT_000301	Applique un poison à l'ennemi, infligeant des dégâts en continu
IDS_PROPSKILL_TXT_000302	Etourdissement
IDS_PROPSKILL_TXT_000303	Vous êtes étourdi et ne pouvez bouger
IDS_PROPSKILL_TXT_000304	Saigner à blanc
IDS_PROPSKILL_TXT_000305	Fait saigner pendant un certain temps, infligeant des dégâts en continu
IDS_PROPSKILL_TXT_000306	Siphon de vie
IDS_PROPSKILL_TXT_000307	Aspire les PV de l'ennemi
IDS_PROPSKILL_TXT_000308	Crucifix
IDS_PROPSKILL_TXT_000309	
IDS_PROPSKILL_TXT_000310	Piqûre de poison
IDS_PROPSKILL_TXT_000311	Poison qui inflige des dégâts en continu
IDS_PROPSKILL_TXT_000312	Saigner à blanc
IDS_PROPSKILL_TXT_000313	Fait saigner pendant un certain temps, infligeant des dégâts en continu
IDS_PROPSKILL_TXT_000314	Lenteur
IDS_PROPSKILL_TXT_000315	Diminue la vitesse d'attaque
IDS_PROPSKILL_TXT_000316	Lenteur
IDS_PROPSKILL_TXT_000317	Diminue la vitesse d'attaque
IDS_PROPSKILL_TXT_000318	Etourdissement collectif
IDS_PROPSKILL_TXT_000319	Le groupe est étourdi et ne peut bouger
IDS_PROPSKILL_TXT_000320	Poison de Krrr
IDS_PROPSKILL_TXT_000321	Poison qui inflige des dégâts en continu
IDS_PROPSKILL_TXT_000322	Etourdissement collectif
IDS_PROPSKILL_TXT_000323	Le groupe est étourdi et ne peut bouger
IDS_PROPSKILL_TXT_000324	Folie du champignon magique
IDS_PROPSKILL_TXT_000325	Transporte dans un état euphorique qui augmente la puissance et la vitesse d’attaque
IDS_PROPSKILL_TXT_000326	Armure d'écorce
IDS_PROPSKILL_TXT_000327	Diminue les dégâts reçus en enveloppant le corps de l'écorce des arbres
IDS_PROPSKILL_TXT_000328	Buff breaker
IDS_PROPSKILL_TXT_000329	
IDS_PROPSKILL_TXT_000330	Buff breaker X
IDS_PROPSKILL_TXT_000331	
IDS_PROPSKILL_TXT_000332	Vitesse modifiée
IDS_PROPSKILL_TXT_000333	
IDS_PROPSKILL_TXT_000334	Défense ultime
IDS_PROPSKILL_TXT_000335	Augmente considérable la défense mais empêche tout déplacement
IDS_PROPSKILL_TXT_000336	Attirance
IDS_PROPSKILL_TXT_000337	Amène la cible près de vous
IDS_PROPSKILL_TXT_000338	Silence
IDS_PROPSKILL_TXT_000339	Empêche la cible de lancer des sorts
IDS_PROPSKILL_TXT_000340	Oeil de Faucon
IDS_PROPSKILL_TXT_000341	Augmente la portée d'attaque de l'arc
IDS_PROPSKILL_TXT_000342	Esprit maudit
IDS_PROPSKILL_TXT_000343	Diminue la défense magique de la cible de 50%
IDS_PROPSKILL_TXT_000344	Pétrification
IDS_PROPSKILL_TXT_000345	Empêche la cible de bouger
IDS_PROPSKILL_TXT_000346	Désenchantement
IDS_PROPSKILL_TXT_000347	Supprime toutes les améliorations magiques de la cible
IDS_PROPSKILL_TXT_000348	Retour
IDS_PROPSKILL_TXT_000349	Téléporte à la ville la plus proche
IDS_PROPSKILL_TXT_000350	Immolation
IDS_PROPSKILL_TXT_000351	Inflige de gros dégâts de feu au cours du temps
IDS_PROPSKILL_TXT_000352	Expertise des armes à une main
IDS_PROPSKILL_TXT_000353	Augmente considérablement les dégâts infligés avec une arme à une main
IDS_PROPSKILL_TXT_000354	Expertise des armes à deux mains
IDS_PROPSKILL_TXT_000355	Augmente considérablement les dégâts infligés avec une arme à deux mains
IDS_PROPSKILL_TXT_000356	Expertise du yo-yo
IDS_PROPSKILL_TXT_000357	Augmente considérablement les dégâts infligés avec le yo-yo
IDS_PROPSKILL_TXT_000358	Expertise de l'arc
IDS_PROPSKILL_TXT_000359	Augmente considérablement les dégâts infligés avec un arc
IDS_PROPSKILL_TXT_000360	Maître du savoir
IDS_PROPSKILL_TXT_000361	Augmente considérablement l'intelligence
IDS_PROPSKILL_TXT_000362	Maître du savoir
IDS_PROPSKILL_TXT_000363	Augmente considérablement l'intelligence
IDS_PROPSKILL_TXT_000364	Expertise des poings
IDS_PROPSKILL_TXT_000365	Augmente les dégâts aux poings
IDS_PROPSKILL_TXT_000366	Bénédiction du sage
IDS_PROPSKILL_TXT_000367	Enlève un sort d'affaiblissement d'un membre du groupe au hasard
