IDS_PROPMOVER_TXT_000000	Défaut
IDS_PROPMOVER_TXT_000163	
IDS_PROPMOVER_TXT_000164	Géant Dumbull
IDS_PROPMOVER_TXT_000165	
IDS_PROPMOVER_TXT_000166	Jeune Totemia
IDS_PROPMOVER_TXT_000167	
IDS_PROPMOVER_TXT_000168	Totemia
IDS_PROPMOVER_TXT_000169	
IDS_PROPMOVER_TXT_000170	Capitaine Totemia
IDS_PROPMOVER_TXT_000171	
IDS_PROPMOVER_TXT_000172	Géant Totemia
IDS_PROPMOVER_TXT_000173	
IDS_PROPMOVER_TXT_000174	Jeune Puppet
IDS_PROPMOVER_TXT_000175	
IDS_PROPMOVER_TXT_000176	Puppet
IDS_PROPMOVER_TXT_000177	
IDS_PROPMOVER_TXT_000178	Capitaine Puppet
IDS_PROPMOVER_TXT_000179	
IDS_PROPMOVER_TXT_000180	Géant Puppet
IDS_PROPMOVER_TXT_000181	
IDS_PROPMOVER_TXT_000182	Jeune Tombstone
IDS_PROPMOVER_TXT_000183	
IDS_PROPMOVER_TXT_000184	Tombstone
IDS_PROPMOVER_TXT_000185	
IDS_PROPMOVER_TXT_000186	Capitaine Tombstone
IDS_PROPMOVER_TXT_000187	
IDS_PROPMOVER_TXT_000188	Géant Tombstone
IDS_PROPMOVER_TXT_000189	
IDS_PROPMOVER_TXT_000190	Jeune Bask
IDS_PROPMOVER_TXT_000191	
IDS_PROPMOVER_TXT_000192	Bask
IDS_PROPMOVER_TXT_000193	
IDS_PROPMOVER_TXT_000194	Capitaine Bask
IDS_PROPMOVER_TXT_000195	
IDS_PROPMOVER_TXT_000196	Géant Bask
IDS_PROPMOVER_TXT_000197	
IDS_PROPMOVER_TXT_000198	Jeune Prankster
IDS_PROPMOVER_TXT_000199	
IDS_PROPMOVER_TXT_000200	Prankster
IDS_PROPMOVER_TXT_000201	
IDS_PROPMOVER_TXT_000202	Capitaine Prankster
IDS_PROPMOVER_TXT_000203	
IDS_PROPMOVER_TXT_000204	Géant Prankster
IDS_PROPMOVER_TXT_000205	
IDS_PROPMOVER_TXT_000206	Jeune Wheelem
IDS_PROPMOVER_TXT_000207	
IDS_PROPMOVER_TXT_000208	Wheelem
IDS_PROPMOVER_TXT_000209	
IDS_PROPMOVER_TXT_000210	Capitaine Wheelem
IDS_PROPMOVER_TXT_000211	
IDS_PROPMOVER_TXT_000212	Géant Wheelem
IDS_PROPMOVER_TXT_000213	
IDS_PROPMOVER_TXT_000214	Jeune Leyena
IDS_PROPMOVER_TXT_000215	
IDS_PROPMOVER_TXT_000216	Leyena
IDS_PROPMOVER_TXT_000217	
IDS_PROPMOVER_TXT_000218	Capitaine Leyena
IDS_PROPMOVER_TXT_000219	
IDS_PROPMOVER_TXT_000220	Géant Leyena
IDS_PROPMOVER_TXT_000221	
IDS_PROPMOVER_TXT_000222	Jeune Steamwalker
IDS_PROPMOVER_TXT_000223	
IDS_PROPMOVER_TXT_000224	Steamwalker
IDS_PROPMOVER_TXT_000225	
IDS_PROPMOVER_TXT_000226	Capitaine Steamwalker
IDS_PROPMOVER_TXT_000227	
IDS_PROPMOVER_TXT_000228	Géant Steamwalker
IDS_PROPMOVER_TXT_000229	
IDS_PROPMOVER_TXT_000230	Jeune Steelknight
IDS_PROPMOVER_TXT_000231	
IDS_PROPMOVER_TXT_000232	Steelknight
IDS_PROPMOVER_TXT_000233	
IDS_PROPMOVER_TXT_000234	Capitaine Steelknight
IDS_PROPMOVER_TXT_000235	
IDS_PROPMOVER_TXT_000236	Géant Steelknight
IDS_PROPMOVER_TXT_000237	
IDS_PROPMOVER_TXT_000238	Jeune Nuttywheel
IDS_PROPMOVER_TXT_000239	
IDS_PROPMOVER_TXT_000240	Nuttywheel
IDS_PROPMOVER_TXT_000241	
IDS_PROPMOVER_TXT_000242	Capitaine Nuttywheel
IDS_PROPMOVER_TXT_000243	
IDS_PROPMOVER_TXT_000244	Géant Nuttywheel
IDS_PROPMOVER_TXT_000245	
IDS_PROPMOVER_TXT_000246	Jeune Driller
IDS_PROPMOVER_TXT_000247	
IDS_PROPMOVER_TXT_000248	Driller
IDS_PROPMOVER_TXT_000249	
IDS_PROPMOVER_TXT_000250	Capitaine Driller
IDS_PROPMOVER_TXT_000251	
IDS_PROPMOVER_TXT_000252	Géant Driller
IDS_PROPMOVER_TXT_000253	
IDS_PROPMOVER_TXT_000254	Jeune Volt
IDS_PROPMOVER_TXT_000255	
IDS_PROPMOVER_TXT_000256	Volt
IDS_PROPMOVER_TXT_000257	
IDS_PROPMOVER_TXT_000258	Capitaine Volt
IDS_PROPMOVER_TXT_000259	
IDS_PROPMOVER_TXT_000260	Géant Volt
IDS_PROPMOVER_TXT_000261	
IDS_PROPMOVER_TXT_000262	Jeune Eldergard
IDS_PROPMOVER_TXT_000263	
IDS_PROPMOVER_TXT_000264	Eldergard
IDS_PROPMOVER_TXT_000265	
IDS_PROPMOVER_TXT_000266	Capitaine Eldergard
IDS_PROPMOVER_TXT_000267	
IDS_PROPMOVER_TXT_000268	Géant Eldergard
IDS_PROPMOVER_TXT_000269	
IDS_PROPMOVER_TXT_000270	Jeune Garbagespider
IDS_PROPMOVER_TXT_000271	
IDS_PROPMOVER_TXT_000272	Garbagespider
IDS_PROPMOVER_TXT_000273	
IDS_PROPMOVER_TXT_000274	Capitaine Garbagespider
IDS_PROPMOVER_TXT_000275	
IDS_PROPMOVER_TXT_000276	Géant Garbagespider
IDS_PROPMOVER_TXT_000277	
IDS_PROPMOVER_TXT_000278	Jeune Cranechinery
IDS_PROPMOVER_TXT_000279	
IDS_PROPMOVER_TXT_000280	Cranechinery
IDS_PROPMOVER_TXT_000281	
IDS_PROPMOVER_TXT_000282	Capitaine Cranechinery
IDS_PROPMOVER_TXT_000283	
IDS_PROPMOVER_TXT_000284	Géant Cranechinery
IDS_PROPMOVER_TXT_000285	
IDS_PROPMOVER_TXT_000286	Jeune Mothbee
IDS_PROPMOVER_TXT_000287	
IDS_PROPMOVER_TXT_000288	Mothbee
IDS_PROPMOVER_TXT_000289	
IDS_PROPMOVER_TXT_000290	Capitaine Mothbee
IDS_PROPMOVER_TXT_000291	
IDS_PROPMOVER_TXT_000292	Géant Mothbee
IDS_PROPMOVER_TXT_000293	
IDS_PROPMOVER_TXT_000294	Jeune Flybrigen
IDS_PROPMOVER_TXT_000295	
IDS_PROPMOVER_TXT_000296	Flybrigen
IDS_PROPMOVER_TXT_000297	
IDS_PROPMOVER_TXT_000298	Capitaine Flybrigen
IDS_PROPMOVER_TXT_000299	
IDS_PROPMOVER_TXT_000300	Géant Flybrigen
IDS_PROPMOVER_TXT_000301	
IDS_PROPMOVER_TXT_000302	Jeune Rockepeller
IDS_PROPMOVER_TXT_000303	
IDS_PROPMOVER_TXT_000304	Rockepeller
IDS_PROPMOVER_TXT_000305	
IDS_PROPMOVER_TXT_000306	Capitaine Rockepeller
IDS_PROPMOVER_TXT_000307	
IDS_PROPMOVER_TXT_000308	Géant Rockepeller
IDS_PROPMOVER_TXT_000309	
IDS_PROPMOVER_TXT_000310	Jeune Circusbear
IDS_PROPMOVER_TXT_000311	
IDS_PROPMOVER_TXT_000312	Circusbear
IDS_PROPMOVER_TXT_000313	
IDS_PROPMOVER_TXT_000314	Capitaine Circusbear
IDS_PROPMOVER_TXT_000315	
IDS_PROPMOVER_TXT_000316	Géant Circusbear
IDS_PROPMOVER_TXT_000317	
IDS_PROPMOVER_TXT_000318	Jeune Joker
IDS_PROPMOVER_TXT_000319	
IDS_PROPMOVER_TXT_000320	Joker
IDS_PROPMOVER_TXT_000321	
IDS_PROPMOVER_TXT_000322	Capitaine Joker
IDS_PROPMOVER_TXT_000323	
IDS_PROPMOVER_TXT_000324	Géant Joker
IDS_PROPMOVER_TXT_000325	
IDS_PROPMOVER_TXT_000326	Jeune Greemong
IDS_PROPMOVER_TXT_000327	
IDS_PROPMOVER_TXT_000328	Greemong
IDS_PROPMOVER_TXT_000329	
IDS_PROPMOVER_TXT_000330	Capitaine Greemong
IDS_PROPMOVER_TXT_000331	
IDS_PROPMOVER_TXT_000332	Géant Greemong
IDS_PROPMOVER_TXT_000333	
IDS_PROPMOVER_TXT_000334	Jeune Pirre
IDS_PROPMOVER_TXT_000335	
IDS_PROPMOVER_TXT_000336	Pirre
IDS_PROPMOVER_TXT_000337	
IDS_PROPMOVER_TXT_000338	Capitaine Pirre
IDS_PROPMOVER_TXT_000339	
IDS_PROPMOVER_TXT_000340	Géant Pirre
IDS_PROPMOVER_TXT_000341	
IDS_PROPMOVER_TXT_000342	Jeune Clawdoll
IDS_PROPMOVER_TXT_000343	
IDS_PROPMOVER_TXT_000344	Clawdoll
IDS_PROPMOVER_TXT_000345	
IDS_PROPMOVER_TXT_000346	Capitaine Clawdoll
IDS_PROPMOVER_TXT_000347	
IDS_PROPMOVER_TXT_000348	Géant Clawdoll
IDS_PROPMOVER_TXT_000349	
IDS_PROPMOVER_TXT_000350	Jeune Caboom
IDS_PROPMOVER_TXT_000351	
IDS_PROPMOVER_TXT_000352	Caboom
IDS_PROPMOVER_TXT_000353	
IDS_PROPMOVER_TXT_000354	Capitaine Caboom
IDS_PROPMOVER_TXT_000355	
IDS_PROPMOVER_TXT_000356	Géant Caboom
IDS_PROPMOVER_TXT_000357	
IDS_PROPMOVER_TXT_000358	Jeune Rabutcher
IDS_PROPMOVER_TXT_000359	
IDS_PROPMOVER_TXT_000360	Jeune Rabutcher
IDS_PROPMOVER_TXT_000361	
IDS_PROPMOVER_TXT_000362	Capitaine Rabutcher
IDS_PROPMOVER_TXT_000363	
IDS_PROPMOVER_TXT_000364	Géant Rabutcher
IDS_PROPMOVER_TXT_000365	
IDS_PROPMOVER_TXT_000366	Jeune Frozy
IDS_PROPMOVER_TXT_000367	
IDS_PROPMOVER_TXT_000368	Frozy
IDS_PROPMOVER_TXT_000369	
IDS_PROPMOVER_TXT_000370	Capitaine Frozy
IDS_PROPMOVER_TXT_000371	
IDS_PROPMOVER_TXT_000372	Géant Frozy
IDS_PROPMOVER_TXT_000373	
IDS_PROPMOVER_TXT_000374	Jeune Burnbird
IDS_PROPMOVER_TXT_000375	
IDS_PROPMOVER_TXT_000376	Burnbird
IDS_PROPMOVER_TXT_000377	
IDS_PROPMOVER_TXT_000378	Capitaine Burnbird
IDS_PROPMOVER_TXT_000379	
IDS_PROPMOVER_TXT_000380	Géant Burnbird
IDS_PROPMOVER_TXT_000381	
IDS_PROPMOVER_TXT_000382	Clockworks
IDS_PROPMOVER_TXT_000383	
IDS_PROPMOVER_TXT_000384	Jeune Bucketfoot
IDS_PROPMOVER_TXT_000385	
IDS_PROPMOVER_TXT_000386	Bucketfoot
IDS_PROPMOVER_TXT_000387	
IDS_PROPMOVER_TXT_000388	Capitaine Bucketfoot
IDS_PROPMOVER_TXT_000389	
IDS_PROPMOVER_TXT_000390	Géant Bucketfoot
IDS_PROPMOVER_TXT_000391	
IDS_PROPMOVER_TXT_000392	Jeune Nuctuhicule
IDS_PROPMOVER_TXT_000393	
IDS_PROPMOVER_TXT_000394	Nuctuhicule
IDS_PROPMOVER_TXT_000395	
IDS_PROPMOVER_TXT_000396	Capitaine Nuctuhicule
IDS_PROPMOVER_TXT_000397	
IDS_PROPMOVER_TXT_000398	Géant Nuctuhicule
IDS_PROPMOVER_TXT_000399	
IDS_PROPMOVER_TXT_000400	Jeune Syliaca
IDS_PROPMOVER_TXT_000401	
IDS_PROPMOVER_TXT_000402	Syliaca
IDS_PROPMOVER_TXT_000403	
IDS_PROPMOVER_TXT_000404	Capitaine Syliaca
IDS_PROPMOVER_TXT_000405	
IDS_PROPMOVER_TXT_000406	Géant Syliaca
IDS_PROPMOVER_TXT_000407	
IDS_PROPMOVER_TXT_000408	Jeune Risem
IDS_PROPMOVER_TXT_000409	
IDS_PROPMOVER_TXT_000410	Risem
IDS_PROPMOVER_TXT_000411	
IDS_PROPMOVER_TXT_000412	Capitaine Risem
IDS_PROPMOVER_TXT_000413	
IDS_PROPMOVER_TXT_000414	Géant Risem
IDS_PROPMOVER_TXT_000415	
IDS_PROPMOVER_TXT_000416	Jeune Zombiger
IDS_PROPMOVER_TXT_000417	
IDS_PROPMOVER_TXT_000418	Zombiger
IDS_PROPMOVER_TXT_000419	
IDS_PROPMOVER_TXT_000420	Capitaine Zombiger
IDS_PROPMOVER_TXT_000421	
IDS_PROPMOVER_TXT_000422	Géant Zombiger
IDS_PROPMOVER_TXT_000423	
IDS_PROPMOVER_TXT_000424	Jeune Flybat
IDS_PROPMOVER_TXT_000425	
IDS_PROPMOVER_TXT_000426	Flybat
IDS_PROPMOVER_TXT_000427	
IDS_PROPMOVER_TXT_000428	Capitaine Flybat
IDS_PROPMOVER_TXT_000429	
IDS_PROPMOVER_TXT_000430	Géant Flybat
IDS_PROPMOVER_TXT_000431	
IDS_PROPMOVER_TXT_000432	Jeune Bucrow
IDS_PROPMOVER_TXT_000433	
IDS_PROPMOVER_TXT_000434	Bucrow
IDS_PROPMOVER_TXT_000435	
IDS_PROPMOVER_TXT_000436	Capitaine Bucrow
IDS_PROPMOVER_TXT_000437	
IDS_PROPMOVER_TXT_000438	Géant Bucrow
IDS_PROPMOVER_TXT_000439	
IDS_PROPMOVER_TXT_000440	Jeune Scorpic
IDS_PROPMOVER_TXT_000441	
IDS_PROPMOVER_TXT_000442	Scorpic
IDS_PROPMOVER_TXT_000443	
IDS_PROPMOVER_TXT_000444	Capitaine Scorpic
IDS_PROPMOVER_TXT_000445	
IDS_PROPMOVER_TXT_000446	Géant Scorpic
IDS_PROPMOVER_TXT_000447	
IDS_PROPMOVER_TXT_000448	Jeune Trangfoma
IDS_PROPMOVER_TXT_000449	
IDS_PROPMOVER_TXT_000450	Trangfoma
IDS_PROPMOVER_TXT_000451	
IDS_PROPMOVER_TXT_000452	Capitaine Trangfoma
IDS_PROPMOVER_TXT_000453	
IDS_PROPMOVER_TXT_000454	Géant Trangfoma
IDS_PROPMOVER_TXT_000455	
IDS_PROPMOVER_TXT_000456	Mine Catcher
IDS_PROPMOVER_TXT_000457	
IDS_PROPMOVER_TXT_000458	Erons Catcher
IDS_PROPMOVER_TXT_000459	
IDS_PROPMOVER_TXT_000460	Krasec Catcher
IDS_PROPMOVER_TXT_000461	
IDS_PROPMOVER_TXT_000462	Guru Catcher
IDS_PROPMOVER_TXT_000463	
IDS_PROPMOVER_TXT_000464	Jeune Grrr
IDS_PROPMOVER_TXT_000465	
IDS_PROPMOVER_TXT_000466	Grrr
IDS_PROPMOVER_TXT_000467	
IDS_PROPMOVER_TXT_000468	Capitaine Grrr
IDS_PROPMOVER_TXT_000469	
IDS_PROPMOVER_TXT_000470	Géant Grrr
IDS_PROPMOVER_TXT_000471	
IDS_PROPMOVER_TXT_000472	Jeune Dump
IDS_PROPMOVER_TXT_000473	
IDS_PROPMOVER_TXT_000474	Dump
IDS_PROPMOVER_TXT_000475	
IDS_PROPMOVER_TXT_000476	Capitaine Dump
IDS_PROPMOVER_TXT_000477	
IDS_PROPMOVER_TXT_000478	Géant Dump
IDS_PROPMOVER_TXT_000479	
IDS_PROPMOVER_TXT_000480	Jeune Nautrepy
IDS_PROPMOVER_TXT_000481	
IDS_PROPMOVER_TXT_000482	Nautrepy
IDS_PROPMOVER_TXT_000483	
IDS_PROPMOVER_TXT_000484	Capitaine Nautrepy
IDS_PROPMOVER_TXT_000485	
IDS_PROPMOVER_TXT_000486	Géant Nautrepy
IDS_PROPMOVER_TXT_000487	
IDS_PROPMOVER_TXT_000488	Jeune Boo
IDS_PROPMOVER_TXT_000489	
IDS_PROPMOVER_TXT_000490	Boo
IDS_PROPMOVER_TXT_000491	
IDS_PROPMOVER_TXT_000492	Capitaine Boo
IDS_PROPMOVER_TXT_000493	
IDS_PROPMOVER_TXT_000494	Géant Boo
IDS_PROPMOVER_TXT_000495	
IDS_PROPMOVER_TXT_000496	Jeune Hoppre
IDS_PROPMOVER_TXT_000497	
IDS_PROPMOVER_TXT_000498	Hoppre
IDS_PROPMOVER_TXT_000499	
IDS_PROPMOVER_TXT_000500	Capitaine Hoppre
IDS_PROPMOVER_TXT_000501	
IDS_PROPMOVER_TXT_000502	Géant Hoppre
IDS_PROPMOVER_TXT_000503	
IDS_PROPMOVER_TXT_000504	Jeune Mushpoie
IDS_PROPMOVER_TXT_000505	
IDS_PROPMOVER_TXT_000506	Mushpoie
IDS_PROPMOVER_TXT_000507	
IDS_PROPMOVER_TXT_000508	Capitaine Mushpoie
IDS_PROPMOVER_TXT_000509	
IDS_PROPMOVER_TXT_000510	Géant Mushpoie
IDS_PROPMOVER_TXT_000511	
IDS_PROPMOVER_TXT_000512	Jeune Iren
IDS_PROPMOVER_TXT_000513	
IDS_PROPMOVER_TXT_000514	Iren
IDS_PROPMOVER_TXT_000515	
IDS_PROPMOVER_TXT_000516	Capitaine Iren
IDS_PROPMOVER_TXT_000517	
IDS_PROPMOVER_TXT_000518	Géant Iren
IDS_PROPMOVER_TXT_000519	
IDS_PROPMOVER_TXT_000520	Jeune Watangka
IDS_PROPMOVER_TXT_000521	
IDS_PROPMOVER_TXT_000522	Watangka
IDS_PROPMOVER_TXT_000523	
IDS_PROPMOVER_TXT_000524	Capitaine Watangka
IDS_PROPMOVER_TXT_000525	
IDS_PROPMOVER_TXT_000526	Géant Watangka
IDS_PROPMOVER_TXT_000527	
IDS_PROPMOVER_TXT_000528	Jeune Treant
IDS_PROPMOVER_TXT_000529	
IDS_PROPMOVER_TXT_000530	Treant
IDS_PROPMOVER_TXT_000531	
IDS_PROPMOVER_TXT_000532	Capitaine Treant
IDS_PROPMOVER_TXT_000533	
IDS_PROPMOVER_TXT_000534	Géant Treant
IDS_PROPMOVER_TXT_000535	
IDS_PROPMOVER_TXT_000536	Jeune Luia
IDS_PROPMOVER_TXT_000537	
IDS_PROPMOVER_TXT_000538	Luia
IDS_PROPMOVER_TXT_000539	
IDS_PROPMOVER_TXT_000540	Capitaine Luia
IDS_PROPMOVER_TXT_000541	
IDS_PROPMOVER_TXT_000542	Géant Luia
IDS_PROPMOVER_TXT_000543	
IDS_PROPMOVER_TXT_000544	Jeune Gongury
IDS_PROPMOVER_TXT_000545	
IDS_PROPMOVER_TXT_000546	Gongury
IDS_PROPMOVER_TXT_000547	
IDS_PROPMOVER_TXT_000548	Capitaine Gongury
IDS_PROPMOVER_TXT_000549	
IDS_PROPMOVER_TXT_000550	Géant Gongury
IDS_PROPMOVER_TXT_000551	
IDS_PROPMOVER_TXT_000552	Jeune Shuhamma
IDS_PROPMOVER_TXT_000553	
IDS_PROPMOVER_TXT_000554	Shuhamma
IDS_PROPMOVER_TXT_000555	
IDS_PROPMOVER_TXT_000556	Capitaine Shuhamma
IDS_PROPMOVER_TXT_000557	
IDS_PROPMOVER_TXT_000558	Géant Shuhamma
IDS_PROPMOVER_TXT_000559	
IDS_PROPMOVER_TXT_000560	Jeune Kern
IDS_PROPMOVER_TXT_000561	
IDS_PROPMOVER_TXT_000562	Kern
IDS_PROPMOVER_TXT_000563	
IDS_PROPMOVER_TXT_000564	Capitaine Kern
IDS_PROPMOVER_TXT_000565	
IDS_PROPMOVER_TXT_000566	Géant Kern
IDS_PROPMOVER_TXT_000567	
IDS_PROPMOVER_TXT_000568	Jeune Glaphan
IDS_PROPMOVER_TXT_000569	
IDS_PROPMOVER_TXT_000570	Glaphan
IDS_PROPMOVER_TXT_000571	
IDS_PROPMOVER_TXT_000572	Capitaine Glaphan
IDS_PROPMOVER_TXT_000573	
IDS_PROPMOVER_TXT_000574	Géant Glaphan
IDS_PROPMOVER_TXT_000575	
IDS_PROPMOVER_TXT_000576	Jeune Muffrin
IDS_PROPMOVER_TXT_000577	
IDS_PROPMOVER_TXT_000578	Muffrin
IDS_PROPMOVER_TXT_000579	
IDS_PROPMOVER_TXT_000580	Capitaine Muffrin
IDS_PROPMOVER_TXT_000581	
IDS_PROPMOVER_TXT_000582	Géant Muffrin
IDS_PROPMOVER_TXT_000583	
IDS_PROPMOVER_TXT_000584	Fefern Mutant
