IDS_PROPSKILL_TXT_000000	Clean Hit
IDS_PROPSKILL_TXT_000165	Damages the enemy with a giant stone.
IDS_PROPSKILL_TXT_000166	Rooting
IDS_PROPSKILL_TXT_000167	Prevents an enemy from approaching.
IDS_PROPSKILL_TXT_000168	Demonology
IDS_PROPSKILL_TXT_000169	Damages the enemy with a mental blast.
IDS_PROPSKILL_TXT_000170	Satanology
IDS_PROPSKILL_TXT_000171	Prevents an enemy from approaching.
IDS_PROPSKILL_TXT_000172	Psychic Bomb
IDS_PROPSKILL_TXT_000173	Damages the enemy the with a ball of mental energy.
IDS_PROPSKILL_TXT_000174	Psychic Wall
IDS_PROPSKILL_TXT_000175	Creates a wall that pushes an enemy back and damages them if they touch it.
IDS_PROPSKILL_TXT_000176	Spirit Bomb
IDS_PROPSKILL_TXT_000177	Does damage to an enemy based on your remaining MP amount.
IDS_PROPSKILL_TXT_000178	Crucio Spell
IDS_PROPSKILL_TXT_000179	Deals damage to an enemy equal to twice the amount the enemy deals.
IDS_PROPSKILL_TXT_000180	Maximum Crisis
IDS_PROPSKILL_TXT_000181	Surrounds and damages the enemy in a strong mental barrier.
IDS_PROPSKILL_TXT_000182	Psychic Square
IDS_PROPSKILL_TXT_000183	Damages the enemies around you with a psychic blast.
IDS_PROPSKILL_TXT_000184	Firebird
IDS_PROPSKILL_TXT_000185	Damages the enemy with a fire blast.
IDS_PROPSKILL_TXT_000186	Fire Master
IDS_PROPSKILL_TXT_000187	Increases the striking power of fire spells,
IDS_PROPSKILL_TXT_000188	Burningfield
IDS_PROPSKILL_TXT_000189	Does damage to the enemy over a period of time
IDS_PROPSKILL_TXT_000190	Lightning Strike
IDS_PROPSKILL_TXT_000191	Damages the enemy with a bolt of lightning.
IDS_PROPSKILL_TXT_000192	Lightning Mastery
IDS_PROPSKILL_TXT_000193	Increases the striking power of electric spells.
IDS_PROPSKILL_TXT_000194	Electric Shock
IDS_PROPSKILL_TXT_000195	Damage surrounding enemies with electricity. Defense of the enemies decreases.
IDS_PROPSKILL_TXT_000196	Stone Spear
IDS_PROPSKILL_TXT_000197	Damages an enemy with a stone spear.
IDS_PROPSKILL_TXT_000198	Earth Master
IDS_PROPSKILL_TXT_000199	Increases the striking power of earth spells.
IDS_PROPSKILL_TXT_000200	Earthquake
IDS_PROPSKILL_TXT_000201	Damages surrounding enemies area.
IDS_PROPSKILL_TXT_000202	Iceshark
IDS_PROPSKILL_TXT_000203	Ranged attack that fires an ice projectile.
IDS_PROPSKILL_TXT_000204	Water Master
IDS_PROPSKILL_TXT_000205	Increases striking power of water spells.
IDS_PROPSKILL_TXT_000206	Poison Cloud
IDS_PROPSKILL_TXT_000207	Damages enemies in the surrounding area.
IDS_PROPSKILL_TXT_000208	Void
IDS_PROPSKILL_TXT_000209	To attack the enemy by generating a perfect vacuum.
IDS_PROPSKILL_TXT_000210	Wind Master
IDS_PROPSKILL_TXT_000211	Increases the striking power of wind spells.
IDS_PROPSKILL_TXT_000212	Windfield
IDS_PROPSKILL_TXT_000213	Damages surrounding enemies with a wind attack. The speed of the enemies will be reduced.
IDS_PROPSKILL_TXT_000214	Meteo Shower
IDS_PROPSKILL_TXT_000215	Damages surrounding enemies with a falling meteor.
IDS_PROPSKILL_TXT_000216	Lightingstorm
IDS_PROPSKILL_TXT_000217	Damages surrounding enemies with electric blasts.
IDS_PROPSKILL_TXT_000218	Sandstorm
IDS_PROPSKILL_TXT_000219	Damages surrounding enemies with a sandstorm.
IDS_PROPSKILL_TXT_000220	Blizzard
IDS_PROPSKILL_TXT_000221	Damages surrounding enemies with a snowstorm.
IDS_PROPSKILL_TXT_000222	Yo-Yo mastery
IDS_PROPSKILL_TXT_000223	Increases damage done with a Yo-yo.
IDS_PROPSKILL_TXT_000224	Bow Mastery
IDS_PROPSKILL_TXT_000225	Increases damage done with a Bow.
IDS_PROPSKILL_TXT_000226	Dark Illusion
IDS_PROPSKILL_TXT_000227	Become Invisible for a short time.
IDS_PROPSKILL_TXT_000228	Rapid Shot
IDS_PROPSKILL_TXT_000229	Fire arrows wildly.
IDS_PROPSKILL_TXT_000230	Fast Walker
IDS_PROPSKILL_TXT_000231	Increases walk speed for a short time
IDS_PROPSKILL_TXT_000232	Aimed Shot
IDS_PROPSKILL_TXT_000233	Slow shot that has a chance to deal double damage.
IDS_PROPSKILL_TXT_000234	Slow Step
IDS_PROPSKILL_TXT_000235	Slows an enemy
IDS_PROPSKILL_TXT_000236	Silent Shot
IDS_PROPSKILL_TXT_000237	A surprise attack that does more damage during Dark Illusion.
IDS_PROPSKILL_TXT_000238	Perfect Block
IDS_PROPSKILL_TXT_000239	Increases block rate.
IDS_PROPSKILL_TXT_000240	Arrow Rain
IDS_PROPSKILL_TXT_000241	Creates a rain of arrows that does damage over time.
IDS_PROPSKILL_TXT_000242	Cross Line
IDS_PROPSKILL_TXT_000243	A Yo-yo strike that can cause stun.
IDS_PROPSKILL_TXT_000244	Auto Shot
IDS_PROPSKILL_TXT_000245	Rapid shot that can blind an enemy.
IDS_PROPSKILL_TXT_000246	Snatch
IDS_PROPSKILL_TXT_000247	Steal penya from a target while in Dark Illusion. Attack from behind.
IDS_PROPSKILL_TXT_000248	Counterattack
IDS_PROPSKILL_TXT_000249	Execute an attack after the enemy does.
IDS_PROPSKILL_TXT_000250	Deadly swing
IDS_PROPSKILL_TXT_000251	Strong Yo-yo blast. Chance to make the enemy lose health over time.
IDS_PROPSKILL_TXT_000252	Pulling
IDS_PROPSKILL_TXT_000253	Brings a target to you using Yo-yo.
IDS_PROPSKILL_TXT_000254	Critical Swing
IDS_PROPSKILL_TXT_000255	Increases chance of critical strike. 
IDS_PROPSKILL_TXT_000256	Enchant Poison
IDS_PROPSKILL_TXT_000257	Adds poison damage to your yo-yo and increases striking power.
IDS_PROPSKILL_TXT_000258	Enchant Blood
IDS_PROPSKILL_TXT_000259	Adds blood damage to your yo-yo and increases striking power.
IDS_PROPSKILL_TXT_000260	Enchant Absorb
IDS_PROPSKILL_TXT_000261	Adds the ability to drain HP to your yo-yo.
IDS_PROPSKILL_TXT_000262	Sneak Stab
IDS_PROPSKILL_TXT_000263	Attack a target from behind. Chance to stun target.
IDS_PROPSKILL_TXT_000264	Penya Strike
IDS_PROPSKILL_TXT_000265	Strengthens the attack of a yo-yo by consuming penya.
IDS_PROPSKILL_TXT_000266	Escape
IDS_PROPSKILL_TXT_000267	Removes the effects of Ice Missile, Slow Step, and Ice Arrow.
IDS_PROPSKILL_TXT_000268	Vital stab
IDS_PROPSKILL_TXT_000269	Surprise attack while in Dark Illusion.
IDS_PROPSKILL_TXT_000270	Fast Shot
IDS_PROPSKILL_TXT_000271	Increase Bow attack speed for a limited time.
IDS_PROPSKILL_TXT_000272	Ice Arrow
IDS_PROPSKILL_TXT_000273	Slows an enemy down by shooting it with arrows covered in ice.
IDS_PROPSKILL_TXT_000274	Flame Arrow
IDS_PROPSKILL_TXT_000275	Gives the fire element to arrows and damages surrounding enemies.
IDS_PROPSKILL_TXT_000276	Piercing Arrow
IDS_PROPSKILL_TXT_000277	Increased arrow strike.
IDS_PROPSKILL_TXT_000278	Poison Arrow
IDS_PROPSKILL_TXT_000279	Adds poison damage to Bow and increase your striking damage.
IDS_PROPSKILL_TXT_000280	Silent Arrow
IDS_PROPSKILL_TXT_000281	Attacks the enemy and prevents him from casting spells.
IDS_PROPSKILL_TXT_000282	Nature
IDS_PROPSKILL_TXT_000283	Increases resistance to magic.
IDS_PROPSKILL_TXT_000284	Triple shot
IDS_PROPSKILL_TXT_000285	Fires three arrows at once.
IDS_PROPSKILL_TXT_000286	Flash
IDS_PROPSKILL_TXT_000287	Blinded by the flash of light.
IDS_PROPSKILL_TXT_000288	Single Stun
IDS_PROPSKILL_TXT_000289	You are stunned and cannot move.
IDS_PROPSKILL_TXT_000290	Stun Group
IDS_PROPSKILL_TXT_000291	You are stunned and you cannot move.
IDS_PROPSKILL_TXT_000292	Damage
IDS_PROPSKILL_TXT_000293	
IDS_PROPSKILL_TXT_000294	Atk. Counter
IDS_PROPSKILL_TXT_000295	Attack just as an enemy attacks
IDS_PROPSKILL_TXT_000296	Knock back
IDS_PROPSKILL_TXT_000297	Pushes the enemy back.
IDS_PROPSKILL_TXT_000298	Burningfield
IDS_PROPSKILL_TXT_000299	Does damage to the enemy over a period of time
IDS_PROPSKILL_TXT_000300	Poison
IDS_PROPSKILL_TXT_000301	Damages an enemy over a period of time.
IDS_PROPSKILL_TXT_000302	Stun
IDS_PROPSKILL_TXT_000303	You are stunned and cannot move.
IDS_PROPSKILL_TXT_000304	Bleeding
IDS_PROPSKILL_TXT_000305	Damages an enemy over a period of time.
IDS_PROPSKILL_TXT_000306	Steal HP
IDS_PROPSKILL_TXT_000307	Drains life from an enemy.
IDS_PROPSKILL_TXT_000308	Swordcross
IDS_PROPSKILL_TXT_000309	
IDS_PROPSKILL_TXT_000310	Poison sting
IDS_PROPSKILL_TXT_000311	Damages an enemy over a period of time.
IDS_PROPSKILL_TXT_000312	Bleeding
IDS_PROPSKILL_TXT_000313	Damages an enemy over a period of time.
IDS_PROPSKILL_TXT_000314	Low Attack
IDS_PROPSKILL_TXT_000315	Decreases attack speed and cool down time
IDS_PROPSKILL_TXT_000316	Low Attack
IDS_PROPSKILL_TXT_000317	Decreases attack speed and cool down time
IDS_PROPSKILL_TXT_000318	Stun Group
IDS_PROPSKILL_TXT_000319	You fainted.
IDS_PROPSKILL_TXT_000320	Krrr's poison
IDS_PROPSKILL_TXT_000321	Damages an enemy over a period of time.
IDS_PROPSKILL_TXT_000322	Stun Group
IDS_PROPSKILL_TXT_000323	You are stunned and cannot move.
IDS_PROPSKILL_TXT_000324	Berserker Mushroom
IDS_PROPSKILL_TXT_000325	Increases striking power and attack speed.
IDS_PROPSKILL_TXT_000326	Protective Tree Bark
IDS_PROPSKILL_TXT_000327	Increases defense by wrapping the body in tree bark.
IDS_PROPSKILL_TXT_000328	Buff Break
IDS_PROPSKILL_TXT_000329	
IDS_PROPSKILL_TXT_000330	Buff Break X
IDS_PROPSKILL_TXT_000331	
IDS_PROPSKILL_TXT_000332	Toggle Buff
IDS_PROPSKILL_TXT_000333	
IDS_PROPSKILL_TXT_000334	Ultimate Defense
IDS_PROPSKILL_TXT_000335	You gain defense but cannot move.
IDS_PROPSKILL_TXT_000336	Drawing
IDS_PROPSKILL_TXT_000337	Brings your target to you.
IDS_PROPSKILL_TXT_000338	Silence
IDS_PROPSKILL_TXT_000339	Target cannot use magic.
IDS_PROPSKILL_TXT_000340	Eye of the Hawk
IDS_PROPSKILL_TXT_000341	Increases Bow range
IDS_PROPSKILL_TXT_000342	Cursed Mind
IDS_PROPSKILL_TXT_000343	Decreases the Magic Defense of a target by 50%.
IDS_PROPSKILL_TXT_000344	Stone Feet
IDS_PROPSKILL_TXT_000345	Prevents your target from moving.
IDS_PROPSKILL_TXT_000346	Disenchant
IDS_PROPSKILL_TXT_000347	Removes all buffs from a target.
IDS_PROPSKILL_TXT_000348	Return
IDS_PROPSKILL_TXT_000349	Teleport to the nearest town.
IDS_PROPSKILL_TXT_000350	Burn
IDS_PROPSKILL_TXT_000351	Damages your target continuously over time.
IDS_PROPSKILL_TXT_000352	Special One-handed Mastery
IDS_PROPSKILL_TXT_000353	Increases damage while using a one-handed weapon.
IDS_PROPSKILL_TXT_000354	Special Two-handed Mastery
IDS_PROPSKILL_TXT_000355	Increases damage while using a two-handed weapon.
IDS_PROPSKILL_TXT_000356	Special Yo-Yo Mastery
IDS_PROPSKILL_TXT_000357	Increases damage while using a Yo-Yo
IDS_PROPSKILL_TXT_000358	Special Bow Mastery
IDS_PROPSKILL_TXT_000359	Increases damage while using a Bow.
IDS_PROPSKILL_TXT_000360	Special INT Mastery
IDS_PROPSKILL_TXT_000361	Increases INT
IDS_PROPSKILL_TXT_000362	Special INT Mastery
IDS_PROPSKILL_TXT_000363	Increases INT
IDS_PROPSKILL_TXT_000364	Special Knuckle Mastery
IDS_PROPSKILL_TXT_000365	Increases damage while using a Knuckle.
IDS_PROPSKILL_TXT_000366	Blessing of the Wise Man.
IDS_PROPSKILL_TXT_000367	Removes a random bleed, curse or poison debuff from a party member.
IDS_PROPSKILL_TXT_000368	Quick Step (Event)
IDS_PROPSKILL_TXT_000369	Increases Run speed.
IDS_PROPSKILL_TXT_000370	Haste (Event)
IDS_PROPSKILL_TXT_000371	Increases Attack speed.
IDS_PROPSKILL_TXT_000372	Heap Up (Event)
IDS_PROPSKILL_TXT_000373	Increases STA.
IDS_PROPSKILL_TXT_000374	Accuracy (Event)
IDS_PROPSKILL_TXT_000375	Increases Hit Rate.
IDS_PROPSKILL_TXT_000376	Templar's Call
IDS_PROPSKILL_TXT_000377	Drag a target enemy to you and increases aggro.  Requires a 1h Sword. The aggro function only works on monsters inside of Ankou's Asylum.
IDS_PROPSKILL_TXT_000378	Sky Splitter
IDS_PROPSKILL_TXT_000379	A powerful downward slash.  Requires a 1h Sword.
IDS_PROPSKILL_TXT_000380	Shield Bash
IDS_PROPSKILL_TXT_000381	Attack your target with your shield. This attack has a chance to stun your enemy.  Requires a shield.
IDS_PROPSKILL_TXT_000382	Dead Man's Lure
IDS_PROPSKILL_TXT_000383	This ability will increase the chance that the target creature will focus its attacks on you.  This skill will only take effect monsters in Ankou's Asylum.
IDS_PROPSKILL_TXT_000384	Heart of the Tower
IDS_PROPSKILL_TXT_000385	Increase your defense for 5 minutes.  The amount of defense will be raised in relation to the amount of Skill Points used. 
IDS_PROPSKILL_TXT_000386	Maelstrom Strike
IDS_PROPSKILL_TXT_000387	A devastating circular attack that will harm all nearby enemies.  Requires a 2h Axe.
IDS_PROPSKILL_TXT_000388	Deadly X
IDS_PROPSKILL_TXT_000389	Attack with each hand simultaneously in a vicious attack.  Any combination of weapons can be used as long you have a weapon in each hand.
IDS_PROPSKILL_TXT_000390	Cross of Blood
IDS_PROPSKILL_TXT_000391	An explosive attack aimed at your feet that leaves a bloody cross in its wake.  All nearby enemies will be harmed.  
IDS_PROPSKILL_TXT_000392	Blessing of War
IDS_PROPSKILL_TXT_000393	Increase Attack Power for 5 minutes.
IDS_PROPSKILL_TXT_000394	Pandemonium
IDS_PROPSKILL_TXT_000395	A ranged attack that triggers a magical explosion when it strikes your enemy.
IDS_PROPSKILL_TXT_000396	Whisper Dodge
IDS_PROPSKILL_TXT_000397	Increase melee block rate for 5 minutes.
IDS_PROPSKILL_TXT_000398	Minds Eye
IDS_PROPSKILL_TXT_000399	Increase hit rate for 5 minutes.
IDS_PROPSKILL_TXT_000400	Harlequin's Greeting
IDS_PROPSKILL_TXT_000401	A sneak attack that delivers a powerful blow to the rear of your target. 
IDS_PROPSKILL_TXT_000402	Condor Dive
IDS_PROPSKILL_TXT_000403	A ranged attack that damages all enemies near your target. 
IDS_PROPSKILL_TXT_000404	Devastating Sting
IDS_PROPSKILL_TXT_000405	Increase attack power for 5 minutes.
IDS_PROPSKILL_TXT_000406	Farsight
IDS_PROPSKILL_TXT_000407	Increase accuracy for 5 minutes.
IDS_PROPSKILL_TXT_000408	Spirit of the Hawk
IDS_PROPSKILL_TXT_000409	Increases the players bow range for 5 minutes and summons a hawk familiar.
IDS_PROPSKILL_TXT_000410	Breath of Life
IDS_PROPSKILL_TXT_000411	Recover target party members HP over a predetermined amount of time.  The skill level of the Breath of Life determines the length of the Healing.
IDS_PROPSKILL_TXT_000412	Heavens Step
IDS_PROPSKILL_TXT_000413	Increase the moving speed of your party for 5 minutes.
IDS_PROPSKILL_TXT_000414	Divine Prosperity
IDS_PROPSKILL_TXT_000415	Increase the HP of your party members for 5 minutes.
IDS_PROPSKILL_TXT_000416	Raiment of  Rhisis
IDS_PROPSKILL_TXT_000417	Increase the defense of your party members for 5 minutes.
IDS_PROPSKILL_TXT_000418	Soul of Rhisis
IDS_PROPSKILL_TXT_000419	Cast a protective shield around yourself that absorbs PVP damage.  This shield will last for 5 minutes, until you absorb max damage, or you are the target of a healing spell. 
IDS_PROPSKILL_TXT_000420	Priest's Grasp
IDS_PROPSKILL_TXT_000421	Grants the caster a chance to stop an enemy in their tracks.
IDS_PROPSKILL_TXT_000422	Bubbles Blessing
IDS_PROPSKILL_TXT_000423	Increase the Magic Attack Power of your party and yourself for 5 minute.
IDS_PROPSKILL_TXT_000424	Shades Calamity
IDS_PROPSKILL_TXT_000425	Increase the Attack Power of your party and yourself for 5 minute.
IDS_PROPSKILL_TXT_000426	Ire of Ibilis
IDS_PROPSKILL_TXT_000427	Increase the Attack Speed of your party and yourself for 5 minute.
IDS_PROPSKILL_TXT_000428	Touch of Rhisis
IDS_PROPSKILL_TXT_000429	Increase the Critical Chance of Magic Attacks of your party and yourself for 5 minute.
IDS_PROPSKILL_TXT_000430	Cimetiere's Scream
IDS_PROPSKILL_TXT_000431	Damages the target over time.  This spells lasts 10 seconds and can not be stacked.
IDS_PROPSKILL_TXT_000432	Aether Grasp
IDS_PROPSKILL_TXT_000433	This spell propels the shadow of a demon at the enemy. This is a close range attack with a cool down.  The cool down will be reduced depending on the Skill level.
IDS_PROPSKILL_TXT_000434	Laughter of La Croix
IDS_PROPSKILL_TXT_000435	Decrease attack power of selected target for up to 25 seconds, this spell does not aggro the target.   The duration is determined by the Skill Level.
IDS_PROPSKILL_TXT_000436	Samedi's Embrace
IDS_PROPSKILL_TXT_000437	Decrease defense of selected target for up to 25 seconds, this spell does not aggro the target.  The duration is determined by the Skill Level.
IDS_PROPSKILL_TXT_000438	Kriminel's Hand
