IDS_PROPSKILL_TXT_000000	ｸﾘｰﾝﾋｯﾄ
IDS_PROPSKILL_TXT_000043	渾身の力で敵をなぎ払い、ダメージを与えると同時に敵を吹き飛ばします。
IDS_PROPSKILL_TXT_000044	ｱｰｽﾃﾞｨﾊﾞｲﾀﾞｰ
IDS_PROPSKILL_TXT_000045	渾身の力で両手剣を叩きつけて、前方の敵に大ダメージを与えます。
IDS_PROPSKILL_TXT_000046	ﾁｬｰｼﾞ
IDS_PROPSKILL_TXT_000047	ソードを構えて突撃し、その勢いで強烈な一撃を与えます。
IDS_PROPSKILL_TXT_000048	ｱｰﾏｰﾌﾞﾚｲｶｰ
IDS_PROPSKILL_TXT_000049	敵の装甲を破壊することを目的にした攻撃で、ダメージを与えると共に一時的に敵の防御力をダウンさせます。
IDS_PROPSKILL_TXT_000050	ｱｯｸｽﾎﾞﾑ
IDS_PROPSKILL_TXT_000051	斧を地面に叩きつけ、発生した衝撃で周囲の敵にダメージを与えると共に一定確率でスタンさせます。
IDS_PROPSKILL_TXT_000052	ｸﾛｽｽﾄﾗｲｸ
IDS_PROPSKILL_TXT_000053	2本の武器をクロスさせて強烈な攻撃を行います。
IDS_PROPSKILL_TXT_000054	ｱｰﾏｰﾍﾟﾈﾄﾚｲﾄ
IDS_PROPSKILL_TXT_000055	敵の装甲の弱い部分を攻撃することで対象にダメージを与えます。
IDS_PROPSKILL_TXT_000056	ﾌﾗｼｭｼｭｰﾄ
IDS_PROPSKILL_TXT_000057	高速で敵に斬りつけながら駆け抜けます。
IDS_PROPSKILL_TXT_000058	ﾌﾞﾚｰﾄﾞﾀﾞﾝｽ
IDS_PROPSKILL_TXT_000059	両手に持った剣を巧みに使い、剣舞を舞いながら周囲の敵を切り裂きます。
IDS_PROPSKILL_TXT_000060	ｱｯｸｽﾗｯｼｭ
IDS_PROPSKILL_TXT_000061	両手に持った片手斧を振り回し、4連続攻撃を行います。
IDS_PROPSKILL_TXT_000062	ﾎｰｸｱﾀｯｸ
IDS_PROPSKILL_TXT_000063	敵に向かってジャンプして、鷹のように頭上から両手の斧で敵に襲いかかります。
IDS_PROPSKILL_TXT_000064	ｿﾆｯｸﾌﾞﾚｰﾄﾞ
IDS_PROPSKILL_TXT_000065	身体の中に気を集中させて、剣や斧の先から一気に放出して敵を攻撃します。
IDS_PROPSKILL_TXT_000066	ﾊﾞｰｻｰｸ
IDS_PROPSKILL_TXT_000067	一定時間、攻撃力と攻撃速度が上昇します。ただし、この間は他のスキルを使用することができなくなります。
IDS_PROPSKILL_TXT_000068	ﾋｰﾙ
IDS_PROPSKILL_TXT_000069	対象のHP（生命力）を回復させます。
IDS_PROPSKILL_TXT_000070	ﾀﾝﾋﾟﾝｸﾞﾎｰﾙ
IDS_PROPSKILL_TXT_000071	ナックルに込めた精神力を爆発させて、強力な一撃を敵に叩き込みます。
IDS_PROPSKILL_TXT_000072	ﾘｻﾞﾚｸｼｮﾝ
IDS_PROPSKILL_TXT_000073	死んでしまったキャラクターを復活させます。
IDS_PROPSKILL_TXT_000074	ﾍﾟｲｼｪﾝｽ
IDS_PROPSKILL_TXT_000075	一定時間、対象の最大ＨＰ量を増加させます。
IDS_PROPSKILL_TXT_000076	ﾌﾟﾘﾍﾞﾝｼｮﾝ
IDS_PROPSKILL_TXT_000077	持続時間中、自分のHPが一定量以下に落ちると自動にHPを回復させます。
IDS_PROPSKILL_TXT_000078	ﾋｯﾌﾟｱｯﾌﾟ
IDS_PROPSKILL_TXT_000079	対象の体力を上昇させます。
IDS_PROPSKILL_TXT_000080	ｷｬﾉﾝﾎﾞｰﾙ
IDS_PROPSKILL_TXT_000081	一定時間、対象の瞬発力を増加させ、敏捷（Ｄｅｘ）を上昇させます。
IDS_PROPSKILL_TXT_000082	ｻｰｸﾙﾋｰﾘﾝｸﾞ
IDS_PROPSKILL_TXT_000083	自分の周りにいる同じ劇団（パーティ）メンバーのHP（生命力）を同時に回復させます。
IDS_PROPSKILL_TXT_000084	ﾒﾝﾀﾙｻｲﾝ
IDS_PROPSKILL_TXT_000085	対象の知力を上昇させます。
IDS_PROPSKILL_TXT_000086	ﾏｯｽﾙﾊﾟﾜｰ
IDS_PROPSKILL_TXT_000087	一定時間、対象の筋力を増加させ、力(Str)を上昇させます。
IDS_PROPSKILL_TXT_000088	ﾊﾞｰｽﾄｸﾗｯｸ
IDS_PROPSKILL_TXT_000089	ナックルハンマーを利用するスキルで、拳を地面に叩きつけ、その衝撃で自分の近くにいる敵にダメージを与えます。
IDS_PROPSKILL_TXT_000090	ｽﾀﾝﾊﾝﾄﾞ
IDS_PROPSKILL_TXT_000091	一定時間、攻撃にスタン効果を付与します。スタン効果は一定の確率で発動します。
IDS_PROPSKILL_TXT_000092	ｸｲｯｸｽﾃｯﾌﾟ
IDS_PROPSKILL_TXT_000093	一定時間、対象の移動速度を上昇させます。
IDS_PROPSKILL_TXT_000094	ｷｬｯﾂﾘﾌﾚｯｸｽ
IDS_PROPSKILL_TXT_000095	対象のブロック率を上昇させます。
IDS_PROPSKILL_TXT_000096	ｱｷｭﾗｼｰ
IDS_PROPSKILL_TXT_000097	一定時間、対象の動体視力を高めることで命中率を上昇させます。
IDS_PROPSKILL_TXT_000098	ﾊﾟﾜｰﾌｨｽﾄ
IDS_PROPSKILL_TXT_000099	ナックルにかかる力を増大させ、敵に強力な攻撃を行います。
IDS_PROPSKILL_TXT_000100	ﾍｲｽﾄ
IDS_PROPSKILL_TXT_000101	一定時間、対象の攻撃速度を上昇させます。
IDS_PROPSKILL_TXT_000102	ﾋｰﾙﾚｲﾝ
IDS_PROPSKILL_TXT_000103	生命力が結晶した雨を降らせて、劇団員のHPを大幅に回復させます。
IDS_PROPSKILL_TXT_000104	ﾎｰﾘｰｸﾛｽ
IDS_PROPSKILL_TXT_000105	神の加護を受けて、敵に2倍のダメージを与えます。
IDS_PROPSKILL_TXT_000106	ﾌﾟﾛﾃｸﾄ
IDS_PROPSKILL_TXT_000107	一定時間、対象を目に見えない障壁で包み、防御力を上昇させます。
IDS_PROPSKILL_TXT_000108	ﾎｰﾘｰｶﾞｰﾄﾞ
IDS_PROPSKILL_TXT_000109	一定時間、対象を目に見えない結界で包み、魔法防御力を上昇させます。
IDS_PROPSKILL_TXT_000110	ｴﾝﾁｬﾝﾄｳｪﾎﾟﾝ
IDS_PROPSKILL_TXT_000111	一定時間、対象の武器に魔力を付与して攻撃力を上昇させます。
IDS_PROPSKILL_TXT_000112	ﾊﾟｰｹﾞｲｼｮﾝ
IDS_PROPSKILL_TXT_000113	聖なる力で対象の状態異常を解除します。
IDS_PROPSKILL_TXT_000114	ﾊﾞﾄﾙｿﾝｸﾞ
IDS_PROPSKILL_TXT_000115	勇壮な歌で一定範囲の劇団員の闘志を奮い立たせ、一定時間、追加ダメージを発生させ、攻撃速度を上昇させます。
IDS_PROPSKILL_TXT_000116	ﾎｰﾘｰﾌｨｰﾙﾄﾞ
IDS_PROPSKILL_TXT_000117	一定範囲内に神聖な結界を張り、そこに進入した敵に対して持続的ダメージを与えます。
IDS_PROPSKILL_TXT_000118	ﾍﾞﾘｱﾙｽﾏｯｼｭ
IDS_PROPSKILL_TXT_000119	ダッシュしながら拳に気を集中させて敵を攻撃します。
IDS_PROPSKILL_TXT_000120	ﾋﾟｱｯｼﾝｸﾞｻｰﾍﾟﾝﾄ
IDS_PROPSKILL_TXT_000121	指先に集中させた気を放出させて、対象を中心に一定範囲の敵を攻撃します。
IDS_PROPSKILL_TXT_000122	ﾌﾞﾗｯﾄﾞﾌｨｽﾄ
IDS_PROPSKILL_TXT_000123	敵の急所を突いて出血させて、持続的なダメージを与えます。
IDS_PROPSKILL_TXT_000124	ｿﾆｯｸﾊﾝﾄﾞ
IDS_PROPSKILL_TXT_000125	真空の刃を飛ばして敵を攻撃します。
IDS_PROPSKILL_TXT_000126	ｱｽﾓﾃﾞｳｽ
IDS_PROPSKILL_TXT_000127	ナックル系の武器を装備している際に追加攻撃力が上昇します。
IDS_PROPSKILL_TXT_000128	ﾊﾞﾗｷｰｱﾙｴｽﾅ
IDS_PROPSKILL_TXT_000129	敵の攻撃力を上昇させる代わりに防御力を減少させます。
IDS_PROPSKILL_TXT_000130	ｸﾞﾌﾞﾙﾃｨｱﾎﾞﾙﾄﾞ
IDS_PROPSKILL_TXT_000131	衝撃波で自分の周囲の敵にダメージを与えます。
IDS_PROPSKILL_TXT_000132	ｱｯｻﾙﾗｱﾙﾗｲｸﾑ
IDS_PROPSKILL_TXT_000133	すべてのMPを破壊の力に変え、絶大なダメージを与えます。
IDS_PROPSKILL_TXT_000134	ﾌｧｲｱｰﾌﾞｰﾒﾗﾝ
IDS_PROPSKILL_TXT_000135	マジシャンの一般スキルで、炎のブーメランを飛ばして単体の敵を攻撃します。
IDS_PROPSKILL_TXT_000136	ﾎｯﾄｴｱｰ
IDS_PROPSKILL_TXT_000137	マジシャンの一般スキルで、熱い炎で単体の敵に持続的なダメージを与えます。
IDS_PROPSKILL_TXT_000138	ｿｰﾄﾞｳｨﾝﾄﾞ
IDS_PROPSKILL_TXT_000139	風のように素早く鋭い攻撃をします。
IDS_PROPSKILL_TXT_000140	ｽﾄﾛﾝｸﾞｳｨﾝﾄﾞ
IDS_PROPSKILL_TXT_000141	強い風で対象への攻撃を行います。
IDS_PROPSKILL_TXT_000142	ﾌﾞﾘﾝｸﾌﾟｰﾙ
IDS_PROPSKILL_TXT_000143	魔術で自らの近くに小さな風穴を開け瞬間的に移動を行います。
IDS_PROPSKILL_TXT_000144	ｱｲｽﾐｻｲﾙ
IDS_PROPSKILL_TXT_000145	氷の弾で対象を攻撃します。
IDS_PROPSKILL_TXT_000146	ﾗｲﾄﾆﾝｸﾞﾎﾞｰﾙ
IDS_PROPSKILL_TXT_000147	空気中の静電気を一点に集め、対象を攻撃します。
IDS_PROPSKILL_TXT_000148	ｽﾊﾟｲｸｽﾄｰﾝ
IDS_PROPSKILL_TXT_000149	硬い石の槍で対象にダメージを与えると共に、一定の確率でスタンさせます。
IDS_PROPSKILL_TXT_000150	ﾒﾝﾀﾙｽﾄﾗｲｸ
IDS_PROPSKILL_TXT_000151	精神力を物理的な力に代え、対象に無属性の攻撃を行います。与えるダメージは、術者と対象の知能(Int)の差によって変化します。
IDS_PROPSKILL_TXT_000152	ﾊﾞｰﾆﾝｸﾞｽﾄﾗｲｸ
IDS_PROPSKILL_TXT_000153	強力な炎の弾を放って攻撃します。攻撃を受けた相手の水属性スキルに対する防御力が低下します。
IDS_PROPSKILL_TXT_000154	ｳｲﾝﾄﾞｶｯﾀｰ
IDS_PROPSKILL_TXT_000155	鋭いかまいたちが敵を貫通します。
IDS_PROPSKILL_TXT_000156	ｳｫｰﾀｰﾎﾞｰﾙ
IDS_PROPSKILL_TXT_000157	スキルレベルに応じて複数個の水の弾を発射します。
IDS_PROPSKILL_TXT_000158	ｳｫｰﾀｰｽﾌﾟﾗｯｼｭ
IDS_PROPSKILL_TXT_000159	水柱を出現させて攻撃します。攻撃を受けた相手の雷属性スキルに対する防御力が低下します。
IDS_PROPSKILL_TXT_000160	ﾗｲﾄﾆﾝｸﾞﾊﾟｰﾑ
IDS_PROPSKILL_TXT_000161	射程距離の短い雷を敵に放ち、攻撃します。
IDS_PROPSKILL_TXT_000162	ﾗｲﾄﾆﾝｸﾞｼｮｯｸ
IDS_PROPSKILL_TXT_000163	雷で敵を攻撃します。攻撃を受けた相手の土属性スキルに対する防御力が低下します。
IDS_PROPSKILL_TXT_000164	ﾛｯｸｸﾗｯｼｭ
IDS_PROPSKILL_TXT_000165	巨大な岩を召還して、敵に飛ばします。
IDS_PROPSKILL_TXT_000166	ﾙｰﾃｨﾝｸﾞ
IDS_PROPSKILL_TXT_000167	地の精霊の力を借りて、敵の動きを封じます。
IDS_PROPSKILL_TXT_000168	ﾃﾞｰﾓﾝｵﾙｸﾞ
IDS_PROPSKILL_TXT_000169	悪魔の邪念を召還して、敵に精神的なダメージを与えます。
IDS_PROPSKILL_TXT_000170	ｻﾀｰﾝｱｲ
IDS_PROPSKILL_TXT_000171	邪眼で対象の目をくらまし、一定時間動きを封じます。
IDS_PROPSKILL_TXT_000172	ｻｲｷｯｸﾎﾞﾑ
IDS_PROPSKILL_TXT_000173	精神力を破壊の力に換え、強力なダメージを与えます。
IDS_PROPSKILL_TXT_000174	ｻｲｷｯｸｳｫｰﾙ
IDS_PROPSKILL_TXT_000175	見えない壁を創り出し、敵の侵入を防ぎます。
IDS_PROPSKILL_TXT_000176	ﾒﾝﾀﾙｸﾗｯｼｭ
IDS_PROPSKILL_TXT_000177	相手の精神を破壊してダメージを与えます。
IDS_PROPSKILL_TXT_000178	ｶｰｽﾞｽﾍﾟﾙ
IDS_PROPSKILL_TXT_000179	魔法攻撃に対して2倍のダメージを相手に与えます。
IDS_PROPSKILL_TXT_000180	ﾏｷｼﾏﾑｸﾗｲｼｽ
IDS_PROPSKILL_TXT_000181	強力な精神波で一定範囲の敵に一定確率でダメージを与えます。
IDS_PROPSKILL_TXT_000182	ｻｲｷｯｸｽｸｴｱ
IDS_PROPSKILL_TXT_000183	一定範囲の敵を自分の精神世界に引き入れてダメージを与えます。
IDS_PROPSKILL_TXT_000184	ﾌｧｲｱﾊﾞｰﾄﾞ
IDS_PROPSKILL_TXT_000185	炎の鳥を出現させて敵を攻撃します。
IDS_PROPSKILL_TXT_000186	ﾌｧｲｱﾏｽﾀｰ
IDS_PROPSKILL_TXT_000187	火の精霊と盟約を結び、火属性の攻撃力を強化します。
IDS_PROPSKILL_TXT_000188	ﾊﾞｰﾆﾝｸﾞﾌｨｰﾙﾄﾞ
IDS_PROPSKILL_TXT_000189	一定範囲を火の海に変え、敵に持続的ダメージを与えます。
IDS_PROPSKILL_TXT_000190	ｻﾝﾀﾞｰｽﾄﾗｲｸ
IDS_PROPSKILL_TXT_000191	敵に強力な稲妻を落とします。
IDS_PROPSKILL_TXT_000192	ﾗｲﾄﾆﾝｸﾞﾏｽﾀｰ
IDS_PROPSKILL_TXT_000193	雷の精霊と盟約を結び、雷属性の攻撃力を強化します。
IDS_PROPSKILL_TXT_000194	ｻﾝﾀﾞｰｼｮｯｸ
IDS_PROPSKILL_TXT_000195	周囲に強い電場を形成し、一定範囲の敵にランダムに雷を落とします。
IDS_PROPSKILL_TXT_000196	ｽﾄｰﾝｽﾋﾟｱ
IDS_PROPSKILL_TXT_000197	鋭い石の槍を出現させ、敵を攻撃します。
IDS_PROPSKILL_TXT_000198	ｱｰｽﾏｽﾀｰ
IDS_PROPSKILL_TXT_000199	地の精霊と盟約を結び、地属性の攻撃力を強化します。
IDS_PROPSKILL_TXT_000200	ｱｰｽｸｴｲｸ
IDS_PROPSKILL_TXT_000201	一定範囲内に強烈な地震を発生させ、対象にダメージを与えます。
IDS_PROPSKILL_TXT_000202	ｱｲｽｼｬｰｸ
IDS_PROPSKILL_TXT_000203	鋭い氷塊を出現させ、敵を攻撃します。
IDS_PROPSKILL_TXT_000204	ｳｫｰﾀｰﾏｽﾀｰ
IDS_PROPSKILL_TXT_000205	水の精霊と盟約を結び、水属性の攻撃力を強化します。
IDS_PROPSKILL_TXT_000206	ﾎﾟｲｽﾞﾝｸﾗｳﾄﾞ
IDS_PROPSKILL_TXT_000207	毒素を含んだ雲を出現させて、一定範囲の敵に毒のダメージを与えます。
IDS_PROPSKILL_TXT_000208	ｳﾞｫｲﾄﾞ
IDS_PROPSKILL_TXT_000209	真空状態を作り出し、対象を切り裂きます。
IDS_PROPSKILL_TXT_000210	ｳｲﾝﾄﾞﾏｽﾀｰ
IDS_PROPSKILL_TXT_000211	風の精霊と盟約を結び、風属性の攻撃力を強化します。
IDS_PROPSKILL_TXT_000212	ｳｲﾝﾄﾞﾌｨｰﾙﾄﾞ
IDS_PROPSKILL_TXT_000213	一定範囲内に強烈な空気の渦を発生させ、中にいる者の移動力を低下させます。
IDS_PROPSKILL_TXT_000214	ﾒﾃｵｽﾄﾗｲｸ
IDS_PROPSKILL_TXT_000215	天空の彼方から隕石を召還し、一定範囲内の敵に火と地の攻撃を行います。
IDS_PROPSKILL_TXT_000216	ｻﾝﾀﾞｰｽﾄｰﾑ
IDS_PROPSKILL_TXT_000217	嵐を発生させて、周囲の敵に雷と風の攻撃を行います。
IDS_PROPSKILL_TXT_000218	ｻﾝﾄﾞｽﾄｰﾑ
IDS_PROPSKILL_TXT_000219	砂嵐を発生させて、周囲の敵に地と風の攻撃を行います。
IDS_PROPSKILL_TXT_000220	ｱﾊﾞﾗﾝﾁ
IDS_PROPSKILL_TXT_000221	雪崩を発生させて、周囲の敵に水と地の攻撃を行い、スタンさせます。
IDS_PROPSKILL_TXT_000222	ﾖｰﾖｰﾏｽﾀﾘｰ
IDS_PROPSKILL_TXT_000223	ヨーヨーの熟練度を上げ、攻撃力を増加させる
IDS_PROPSKILL_TXT_000224	ﾎﾞｳﾏｽﾀﾘｰ
IDS_PROPSKILL_TXT_000225	ボウの熟練度を上げ、攻撃力を増加させる
IDS_PROPSKILL_TXT_000226	ﾀﾞｰｸｲﾘｭｰｼﾞｮﾝ
IDS_PROPSKILL_TXT_000227	自分の残像を出現させつつ、自らは闇へ姿を隠す
IDS_PROPSKILL_TXT_000228	ｼﾞｬﾝｸｱﾛｰ
IDS_PROPSKILL_TXT_000229	命中率は高くないが、複数の矢をランダムに射る。レベルが上がると命中する矢の数が多くなる
IDS_PROPSKILL_TXT_000230	ﾌｧｽﾄｳｫｰｶｰ
IDS_PROPSKILL_TXT_000231	一定時間、移動速度を高める
IDS_PROPSKILL_TXT_000232	ｴｲﾑﾄﾞｼｮｯﾄ
IDS_PROPSKILL_TXT_000233	相手の急所を狙い、一定確率で2倍のダメージ効果のある矢を射る
IDS_PROPSKILL_TXT_000234	ｽﾛｰｽﾃｯﾌﾟ
IDS_PROPSKILL_TXT_000235	攻撃が当たった対象に対して、一定確率で移動速度を減少させる効果を与える
IDS_PROPSKILL_TXT_000236	ｻｲﾚﾝﾄｼｮｯﾄ
IDS_PROPSKILL_TXT_000237	ダークイリュージョンの状態で使うことにより、敵に強力な不意打ちを行う
IDS_PROPSKILL_TXT_000238	ﾊﾟｰﾌｪｸﾄﾌﾞﾛｯｸ
IDS_PROPSKILL_TXT_000239	ブロック率が上昇する
IDS_PROPSKILL_TXT_000240	ｱﾛｰﾚｲﾝ
IDS_PROPSKILL_TXT_000241	空に向け何本もの矢を打ち上げ、対象の頭上に矢の雨を降らせる
IDS_PROPSKILL_TXT_000242	ｸﾛｽﾗｲﾝ
IDS_PROPSKILL_TXT_000243	ヨーヨーに気を込め、その気を爆発させながら攻撃する。対象に一定確率でスタン効果を与える
IDS_PROPSKILL_TXT_000244	ｵｰﾄｼｮｯﾄ
IDS_PROPSKILL_TXT_000245	呪力を込めた矢を射る。対象に一定確率で闇効果を与える。
IDS_PROPSKILL_TXT_000246	ｽﾆｯﾁ
IDS_PROPSKILL_TXT_000247	ダークイリュージョン状態で敵の背後でのみ使えるスキル。強いダメージを与え、一定確率でぺニャを盗む
IDS_PROPSKILL_TXT_000248	ｶｳﾝﾀｰｱﾀｯｸ
IDS_PROPSKILL_TXT_000249	敵の攻撃を避けながらカウンターで攻撃を行う
IDS_PROPSKILL_TXT_000250	ﾃﾞｯﾄﾞﾘｰｽｳｨﾝｸﾞ
IDS_PROPSKILL_TXT_000251	敵の急所に攻撃を行い、継続的な出血を起こさせる。近距離で使用可能
IDS_PROPSKILL_TXT_000252	ﾌﾟｰﾘﾝｸﾞ
IDS_PROPSKILL_TXT_000253	敵をヨーヨーで絡め取って、自分の前に引き寄せる
IDS_PROPSKILL_TXT_000254	ｸﾘﾃｨｶﾙｽｳｨﾝｸﾞ
IDS_PROPSKILL_TXT_000255	ヨーヨーでの攻撃の際に、クリティカルの発生確率を増加させる
IDS_PROPSKILL_TXT_000256	ｴﾝﾁｬﾝﾄﾎﾟｲｽﾞﾝ
IDS_PROPSKILL_TXT_000257	ヨーヨーに毒属性を追加し、ダメージを上昇させると共に、一定確率で毒状態にする
IDS_PROPSKILL_TXT_000258	ｴﾝﾁｬﾝﾄﾌﾞﾗｯﾄﾞ
IDS_PROPSKILL_TXT_000259	ヨーヨーで敵の急所に強力な攻撃を行い、継続的な出血を起こさせる
IDS_PROPSKILL_TXT_000260	ｴﾝﾁｬﾝﾄｱﾌﾞｿｰﾄﾞ
IDS_PROPSKILL_TXT_000261	ヨーヨーで強力な攻撃を行い、一定確率で相手のHPを吸収する
IDS_PROPSKILL_TXT_000262	ﾊﾞｯｸｽﾃｯﾌﾟ
IDS_PROPSKILL_TXT_000263	対象の背後でしか使えないスキル。一定確率で対象にスタンをかける
IDS_PROPSKILL_TXT_000264	ﾋｯﾄｵﾌﾞﾍﾟﾆｬ
IDS_PROPSKILL_TXT_000265	消費するペニャに応じて防御力を無視したダメージを与えます。
IDS_PROPSKILL_TXT_000266	ｴｽｹｰﾌﾟ
IDS_PROPSKILL_TXT_000267	アイスミサイル、アイスアロー、スローステップの制限効果から抜け出します。
IDS_PROPSKILL_TXT_000268	ｳﾞｧｲﾀﾙｽﾀｯﾌﾞ
IDS_PROPSKILL_TXT_000269	ダークイリュージョンの状態でのみ使えるスキル。クリティカルダメージ効果のある攻撃を行い、一定確率でダブルダメージを与える
IDS_PROPSKILL_TXT_000270	ﾌｧｽﾄｼｮｯﾄ
IDS_PROPSKILL_TXT_000271	一定時間、矢を射る速度が上昇する
IDS_PROPSKILL_TXT_000272	ｱｲｽｱﾛｰ
IDS_PROPSKILL_TXT_000273	氷の矢が粉砕し、周囲の敵に水属性ダメージを与え、一定時間動きを鈍くさせる
IDS_PROPSKILL_TXT_000274	ﾌﾚｲﾑｱﾛｰ
IDS_PROPSKILL_TXT_000275	炎の矢が爆発し、周囲の敵に一定時間継続ダメージを与える炎が立ち上がる
IDS_PROPSKILL_TXT_000276	ﾋﾟｴｰｼﾝｸﾞｱﾛｰ
IDS_PROPSKILL_TXT_000277	貫通性の矢を射て、直線上の複数の敵にダメージを与える
IDS_PROPSKILL_TXT_000278	ﾎﾟｲｽﾞﾝｱﾛｰ
IDS_PROPSKILL_TXT_000279	毒属性の矢を射て、継続的なダメージを与える
IDS_PROPSKILL_TXT_000280	ｻｲﾚﾝﾄｱﾛｰ
IDS_PROPSKILL_TXT_000281	強力なダメージを与えると共に、一定確率で沈黙状態(魔法が使用できない)にする。
IDS_PROPSKILL_TXT_000282	ﾈｲﾁｬﾘﾝｸﾞ
IDS_PROPSKILL_TXT_000283	属性魔法に対する抵抗率を上昇させる
IDS_PROPSKILL_TXT_000284	ﾄﾘﾌﾟﾙｼｮｯﾄ
IDS_PROPSKILL_TXT_000285	3本の矢を一度に発射し、敵に強力なダメージを与え、弾き飛ばす
IDS_PROPSKILL_TXT_000286	ﾌﾗｯｼｭ
IDS_PROPSKILL_TXT_000287	まばゆい閃光で視力を落とします。
IDS_PROPSKILL_TXT_000288	ｽﾀﾝｼﾝｸﾞﾙ
IDS_PROPSKILL_TXT_000289	対象一体を動けなくします。
IDS_PROPSKILL_TXT_000290	ｽﾀﾝｸﾞﾙｰﾌﾟ
IDS_PROPSKILL_TXT_000291	複数の対象を動けなくします。
IDS_PROPSKILL_TXT_000292	ﾀﾞﾒｰｼﾞ
IDS_PROPSKILL_TXT_000293	
IDS_PROPSKILL_TXT_000294	ｶｳﾝﾀｰｱﾀｯｸ
IDS_PROPSKILL_TXT_000295	敵の攻撃を避けながらカウンターで攻撃を行う。
IDS_PROPSKILL_TXT_000296	ﾉｯｸﾊﾞｯｸ
IDS_PROPSKILL_TXT_000297	攻撃と共に対象をはじき飛ばす
IDS_PROPSKILL_TXT_000298	ﾊﾞｰﾆﾝｸﾞﾌｨｰﾙﾄﾞ
