IDS_MMI_311	ペニャが不足しています。除去することができません。
IDS_MMI_126	トランシー
IDS_MMI_197	スペシャル精錬ボックスの交換
IDS_MMI_306	精錬できないアイテムです。
IDS_MMI_44	ジャンケンゲーム
IDS_MMI_56	ヒーロースキルアップ
IDS_MMI_268	アイテムの外見を変更する
IDS_MMI_94	ロード専用イベント
IDS_MMI_101	ロードの案内
IDS_MMI_107	ﾚｲﾝﾎﾞｰﾚｰｽ参加申請
IDS_MMI_112	ﾚｲﾝﾎﾞｰﾚｰｽ終了確認
IDS_MMI_109	ﾚｲﾝﾎﾞｰﾚｰｽのﾙｰﾙ
IDS_MMI_110	前回の順位
IDS_MMI_108	ﾚｲﾝﾎﾞｰﾚｰｽとは?
IDS_MMI_111	ﾚｲﾝﾎﾞｰﾚｰｽ賞金案内
IDS_MMI_115	脳トレ！計算地獄
IDS_MMI_118	ボボクとボボコ
IDS_MMI_114	ダイス＆ダイス
IDS_MMI_113	ジャンケンポン！
IDS_MMI_119	開運！阿弥陀如来の後光
IDS_MMI_116	タイムストッパー
IDS_MMI_117	スカイタイピング
IDS_MMI_102	返還金の案内
IDS_MMI_91	候補登録状況
IDS_MMI_92	候補入札
IDS_MMI_93	ロード投票
IDS_MMI_71	装備レベル減少の取り消し
IDS_MMI_307	精錬に失敗しました。
IDS_MMI_257	葉っぱを報酬アイテムと交換
IDS_MMI_270	町に移動
IDS_MMI_245	マドリガルマーケットへ
IDS_MMI_258	取り引き仲介ウィンドウ
IDS_MMI_8	場所指定
IDS_MMI_4	メッセージ
IDS_MMI_278	音符アイテムと報酬アイテムを交換する
IDS_MMI_279	フレミーのギターとスターダストギターを交換する
IDS_MMI_74	イベント用補助スキル
IDS_MMI_325	
IDS_MMI_224	梨の種400本、一杯目に見えるバケツ400個の梨の苗木に交換
IDS_MMI_226	柿の種300個、一杯目に見えるバケツ300個を柿の木の苗木に交換
IDS_MMI_104	収集ペット祝福の除去
IDS_MMI_96	卵のランダム変換
IDS_MMI_48	ペットにえさをあげます。
IDS_MMI_58	えさ製造機
IDS_MMI_50	ペットを戻す
IDS_MMI_77	ペット復活の巻物・引換券をもらう
IDS_MMI_78	ペット復活の巻物の交換
IDS_MMI_49	ペットの状態
IDS_MMI_23	ソケット
IDS_MMI_32	ソケットカードの除去
IDS_MMI_225	松の種1000個、一杯目に見えるバケツ1000をマツ苗木に交換
IDS_MMI_272	ジャンケンクーポンに交換
IDS_MMI_25	ファン･ポスト
IDS_MMI_24	一覧
IDS_MMI_1	クエスト
IDS_MMI_137	クイズ入場
IDS_MMI_139	町に移動
IDS_MMI_138	クイズ参加
IDS_MMI_16	ギルドランキング
IDS_MMI_18	ギルドその他のランキング
IDS_MMI_17	ギルド戦勝敗ランキング
IDS_MMI_47	パズルゲーム
IDS_MMI_152	
IDS_MMI_120	ペット改名の取り消し
IDS_MMI_14	修理
IDS_MMI_124	ﾏｲﾙｰﾑ退室
IDS_MMI_227	"50,000ペニャと古びた神器の武器を交換"
IDS_MMI_273	竜王系装飾装備交換
IDS_MMI_274	男の子用竜王マスクの交換
IDS_MMI_275	女の子用竜王マスクの交換
IDS_MMI_90	ギルド・オルタナティヴの案内
IDS_MMI_103	ｷﾞﾙﾄﾞ･ｵﾙﾀﾅﾃｨｳﾞ申請ｷｬﾝｾﾙ
IDS_MMI_87	ｷﾞﾙﾄﾞ･ｵﾙﾀﾅﾃｨｳﾞｴﾘｱへ入場
IDS_MMI_100	管理ギルド専用の狩場に入場
IDS_MMI_84	ｷﾞﾙﾄﾞ･ｵﾙﾀﾅﾃｨｳﾞに申請する
IDS_MMI_85	ｷﾞﾙﾄﾞ･ｵﾙﾀﾅﾃｨｳﾞ入札状況
IDS_MMI_86	ｷﾞﾙﾄﾞ･ｵﾙﾀﾅﾃｨｳﾞの参加者構成
IDS_MMI_88	
IDS_MMI_89	税率確認
IDS_MMI_22	指名手配リスト
IDS_MMI_54	スプレットウェポンへの変換
IDS_MMI_55	アルティマウェポンへの変換
IDS_MMI_53	宝石の抽出
IDS_MMI_52	アルティマウェポンのカスタマイズ
IDS_MMI_324	
IDS_MMI_327	
IDS_MMI_51	輝くオリハルコンの作成
IDS_MMI_328	
IDS_MMI_95	ｱﾙﾃｨﾏｳｪﾎﾟﾝの宝石除去
IDS_MMI_326	
IDS_MMI_72	ソケットにセットしたカードを除去
IDS_MMI_135	精錬補助システム(ｱｸｾｻﾘｰ)
IDS_MMI_323	
IDS_MMI_167	精錬補助システム(属性)
IDS_MMI_134	精錬補助システム(一般・ｱﾙﾃｨﾏ)
IDS_MMI_136	精錬補助システム(ｿｹｯﾄ)
IDS_MMI_283	精練された輝く星のリング交換
IDS_MMI_43	エンジェルの召喚
IDS_MMI_179	オファー抽出
IDS_MMI_182	シード製作
IDS_MMI_180	オファー製作
IDS_MMI_183	オファーシード製作
IDS_MMI_203	バルナピアッシング
IDS_MMI_178	バルナ精錬
IDS_MMI_181	シード製作およびアップグレード
IDS_MMI_146	テレポート
IDS_MMI_233	削除
IDS_MMI_234	全体削除
IDS_MMI_235	名前変更
IDS_MMI_236	閉じる
IDS_MMI_12	追尾
IDS_MMI_2	取引
IDS_MMI_246	OMG勇者セットの交換
IDS_MMI_242	ボックスを交換する
IDS_MMI_260	両手武器合成
IDS_MMI_261	両手武器合成のキャンセル
IDS_MMI_19	精錬
IDS_MMI_259	カボチャ10個と10万ペーニャのじゃんけんクーポンに交換
IDS_MMI_287	防具用パズルカード9枚を集めてくれば、等級に応じて防具交換カードと交換してあげますよ。
IDS_MMI_288	飛行用パズルカード9枚をを集めてくれば、等級に応じて飛行交換カードと交換してあげますよ。
IDS_MMI_123	友達のﾏｲﾙｰﾑに入室
IDS_MMI_122	ﾏｲﾙｰﾑ に入室
IDS_MMI_320	
IDS_MMI_217	武器カードの交換
IDS_MMI_218	ふわふわ花びら500個→コサージュ（ホワイト）
IDS_MMI_219	魔法の糸500個→コサージュ（イエロー）
IDS_MMI_220	染色剤500個→コサージュ（ブルー）
IDS_MMI_289	
IDS_MMI_290	
IDS_MMI_291	
IDS_MMI_292	
IDS_MMI_296	防具カードの交換(Cグレード)
IDS_MMI_294	防具カードの交換(Cグレード)
IDS_MMI_295	防具カードの交換(Cグレード)
IDS_MMI_193	ゾンビハンターコイン2個をゾンビハンターボックス2個に交換
IDS_MMI_194	ゾンビハンターコイン6個をゾンビハンターボックス12個に交換
IDS_MMI_195	ゾンビハンターコイン15個をゾンビハンターマント1個に交換
IDS_MMI_196	ゾンビハンターコイン35個をサバイバーマント1個に交換
