IDS_PROPITEM_TXT_000000	標準
IDS_PROPITEM_TXT_000070	プリッカー・ソード
IDS_PROPITEM_TXT_000071	
IDS_PROPITEM_TXT_000072	スティッチ・ソード
IDS_PROPITEM_TXT_000073	
IDS_PROPITEM_TXT_000074	サブブレード・ソード
IDS_PROPITEM_TXT_000075	
IDS_PROPITEM_TXT_000076	マルチブレード・ソード
IDS_PROPITEM_TXT_000077	
IDS_PROPITEM_TXT_000078	ビッグ・ソード
IDS_PROPITEM_TXT_000079	
IDS_PROPITEM_TXT_000080	パングリル・ソード
IDS_PROPITEM_TXT_000081	
IDS_PROPITEM_TXT_000082	バーバリアン・ソード
IDS_PROPITEM_TXT_000083	
IDS_PROPITEM_TXT_000084	デスブリンガー
IDS_PROPITEM_TXT_000085	
IDS_PROPITEM_TXT_000086	天中殺
IDS_PROPITEM_TXT_000087	
IDS_PROPITEM_TXT_000088	大牙
IDS_PROPITEM_TXT_000089	
IDS_PROPITEM_TXT_000090	ブルーシャイン
IDS_PROPITEM_TXT_000091	
IDS_PROPITEM_TXT_000092	ブルージェイド
IDS_PROPITEM_TXT_000093	
IDS_PROPITEM_TXT_000094	カオス・ブレード
IDS_PROPITEM_TXT_000095	
IDS_PROPITEM_TXT_000096	零
IDS_PROPITEM_TXT_000097	
IDS_PROPITEM_TXT_000098	ルベロン・ソード
IDS_PROPITEM_TXT_000099	
IDS_PROPITEM_TXT_000100	エモーリル・ソード
IDS_PROPITEM_TXT_000101	
IDS_PROPITEM_TXT_000102	カイカトー・ソード
IDS_PROPITEM_TXT_000103	
IDS_PROPITEM_TXT_000104	チェインシング・ソード
IDS_PROPITEM_TXT_000105	
IDS_PROPITEM_TXT_000106	エクシロウ・ソード
IDS_PROPITEM_TXT_000107	
IDS_PROPITEM_TXT_000108	ハーピオン・ソード
IDS_PROPITEM_TXT_000109	
IDS_PROPITEM_TXT_000110	破壊王
IDS_PROPITEM_TXT_000111	
IDS_PROPITEM_TXT_000112	シミター
IDS_PROPITEM_TXT_000113	
IDS_PROPITEM_TXT_000114	ルナシング・ソード
IDS_PROPITEM_TXT_000115	
IDS_PROPITEM_TXT_000116	黒影
IDS_PROPITEM_TXT_000117	
IDS_PROPITEM_TXT_000118	業火
IDS_PROPITEM_TXT_000119	
IDS_PROPITEM_TXT_000120	ホッター・ソード
IDS_PROPITEM_TXT_000121	
IDS_PROPITEM_TXT_000122	チェイン・アックス
IDS_PROPITEM_TXT_000123	
IDS_PROPITEM_TXT_000124	ロドニー・アックス
IDS_PROPITEM_TXT_000125	
IDS_PROPITEM_TXT_000126	スチール・アックス
IDS_PROPITEM_TXT_000127	
IDS_PROPITEM_TXT_000128	モロー・アックス
IDS_PROPITEM_TXT_000129	
IDS_PROPITEM_TXT_000130	クレニル・アックス
IDS_PROPITEM_TXT_000131	
IDS_PROPITEM_TXT_000132	カーニング・アックス
IDS_PROPITEM_TXT_000133	
IDS_PROPITEM_TXT_000134	スフィア・アックス
IDS_PROPITEM_TXT_000135	
IDS_PROPITEM_TXT_000136	シャディン・アックス
IDS_PROPITEM_TXT_000137	
IDS_PROPITEM_TXT_000138	ゴーン・アックス
IDS_PROPITEM_TXT_000139	
IDS_PROPITEM_TXT_000140	ブロンズ・アックス
IDS_PROPITEM_TXT_000141	
IDS_PROPITEM_TXT_000142	ヴェイン・アックス
IDS_PROPITEM_TXT_000143	
IDS_PROPITEM_TXT_000144	グラン・アックス
IDS_PROPITEM_TXT_000145	
IDS_PROPITEM_TXT_000146	テュワリング・アックス
IDS_PROPITEM_TXT_000147	
IDS_PROPITEM_TXT_000148	ドローン・アックス
IDS_PROPITEM_TXT_000149	
IDS_PROPITEM_TXT_000150	カーム・アックス
IDS_PROPITEM_TXT_000151	
IDS_PROPITEM_TXT_000152	プロエム・アックス
IDS_PROPITEM_TXT_000153	
IDS_PROPITEM_TXT_000154	バトル・アックス
IDS_PROPITEM_TXT_000155	
IDS_PROPITEM_TXT_000156	コリン・アックス
IDS_PROPITEM_TXT_000157	
IDS_PROPITEM_TXT_000158	アクション・アックス
IDS_PROPITEM_TXT_000159	
IDS_PROPITEM_TXT_000160	クロー・アックス
IDS_PROPITEM_TXT_000161	
IDS_PROPITEM_TXT_000162	ウォー・アックス
IDS_PROPITEM_TXT_000163	
IDS_PROPITEM_TXT_000164	ラプター・アックス
IDS_PROPITEM_TXT_000165	
IDS_PROPITEM_TXT_000166	ザイロン・アックス
IDS_PROPITEM_TXT_000167	
IDS_PROPITEM_TXT_000168	ボーク・アックス
IDS_PROPITEM_TXT_000169	
IDS_PROPITEM_TXT_000170	フォージ・アックス
IDS_PROPITEM_TXT_000171	
IDS_PROPITEM_TXT_000172	アーダリン・アックス
IDS_PROPITEM_TXT_000173	
IDS_PROPITEM_TXT_000174	ギャラクシー・アックス
IDS_PROPITEM_TXT_000175	
IDS_PROPITEM_TXT_000176	ドルフィン・アックス
IDS_PROPITEM_TXT_000177	
IDS_PROPITEM_TXT_000178	リブテン・アックス
IDS_PROPITEM_TXT_000179	
IDS_PROPITEM_TXT_000180	ボーンバー・アックス
IDS_PROPITEM_TXT_000181	
IDS_PROPITEM_TXT_000182	キャンテス・アックス
IDS_PROPITEM_TXT_000183	
IDS_PROPITEM_TXT_000184	ルキシオール・アックス
IDS_PROPITEM_TXT_000185	
IDS_PROPITEM_TXT_000186	ストーム・アックス
IDS_PROPITEM_TXT_000187	
IDS_PROPITEM_TXT_000188	エギゾースト・アックス
IDS_PROPITEM_TXT_000189	
IDS_PROPITEM_TXT_000190	ニードレック・アックス
IDS_PROPITEM_TXT_000191	
IDS_PROPITEM_TXT_000192	シャキーフィン・アックス
IDS_PROPITEM_TXT_000193	
IDS_PROPITEM_TXT_000194	ファンテージ・アックス
IDS_PROPITEM_TXT_000195	
IDS_PROPITEM_TXT_000196	ヒッチ・アックス
IDS_PROPITEM_TXT_000197	
IDS_PROPITEM_TXT_000198	バタフライ・アックス
IDS_PROPITEM_TXT_000199	
IDS_PROPITEM_TXT_000200	キャッチィ・アックス
IDS_PROPITEM_TXT_000201	
IDS_PROPITEM_TXT_000202	ドリフ・アックス
IDS_PROPITEM_TXT_000203	
IDS_PROPITEM_TXT_000204	フィールピ－ド・アックス
IDS_PROPITEM_TXT_000205	
IDS_PROPITEM_TXT_000206	セイントセイル・アックス
IDS_PROPITEM_TXT_000207	
IDS_PROPITEM_TXT_000208	ダークロ・アックス
IDS_PROPITEM_TXT_000209	
IDS_PROPITEM_TXT_000210	フレイパー・アックス
IDS_PROPITEM_TXT_000211	
IDS_PROPITEM_TXT_000212	ワトュラン・アックス
IDS_PROPITEM_TXT_000213	
IDS_PROPITEM_TXT_000214	ウィッチャー・アックス
IDS_PROPITEM_TXT_000215	
IDS_PROPITEM_TXT_000216	リッキー・アックス
IDS_PROPITEM_TXT_000217	
IDS_PROPITEM_TXT_000218	バスタード・ソード
IDS_PROPITEM_TXT_000219	
IDS_PROPITEM_TXT_000220	ツーハンド・ソード
IDS_PROPITEM_TXT_000221	
IDS_PROPITEM_TXT_000222	ダーコナイザー
IDS_PROPITEM_TXT_000223	
IDS_PROPITEM_TXT_000224	アダプタイザー
IDS_PROPITEM_TXT_000225	
IDS_PROPITEM_TXT_000226	ツヴァイゲイザー
IDS_PROPITEM_TXT_000227	
IDS_PROPITEM_TXT_000228	ケイルニーザー
IDS_PROPITEM_TXT_000229	
IDS_PROPITEM_TXT_000230	ゴースニーザー
IDS_PROPITEM_TXT_000231	
IDS_PROPITEM_TXT_000232	ハウンタイザー
IDS_PROPITEM_TXT_000233	
IDS_PROPITEM_TXT_000234	クロック・スレイヤー
IDS_PROPITEM_TXT_000235	
IDS_PROPITEM_TXT_000236	ツーハンド・アックス
IDS_PROPITEM_TXT_000237	
IDS_PROPITEM_TXT_000238	グレート・アックス
IDS_PROPITEM_TXT_000239	
IDS_PROPITEM_TXT_000240	ケルグニション
IDS_PROPITEM_TXT_000241	
IDS_PROPITEM_TXT_000242	ラークニション
IDS_PROPITEM_TXT_000243	
IDS_PROPITEM_TXT_000244	アヴェニション
IDS_PROPITEM_TXT_000245	
IDS_PROPITEM_TXT_000246	カーンネイション
IDS_PROPITEM_TXT_000247	
IDS_PROPITEM_TXT_000248	オルケニション
IDS_PROPITEM_TXT_000249	
IDS_PROPITEM_TXT_000250	リニション
IDS_PROPITEM_TXT_000251	
IDS_PROPITEM_TXT_000252	ハーディン・アックス
IDS_PROPITEM_TXT_000253	
IDS_PROPITEM_TXT_000254	メイ・スティック
IDS_PROPITEM_TXT_000255	
IDS_PROPITEM_TXT_000256	プライム・スティック
IDS_PROPITEM_TXT_000257	
IDS_PROPITEM_TXT_000258	シリン・スティック
IDS_PROPITEM_TXT_000259	
IDS_PROPITEM_TXT_000260	スカル・スティック
IDS_PROPITEM_TXT_000261	
IDS_PROPITEM_TXT_000262	ティム・スティック
IDS_PROPITEM_TXT_000263	
IDS_PROPITEM_TXT_000264	ヒューイ・スティック
IDS_PROPITEM_TXT_000265	
IDS_PROPITEM_TXT_000266	ボポル・スティック
IDS_PROPITEM_TXT_000267	
IDS_PROPITEM_TXT_000268	キュドス・スティック
IDS_PROPITEM_TXT_000269	
IDS_PROPITEM_TXT_000270	スピン・スティック
IDS_PROPITEM_TXT_000271	
IDS_PROPITEM_TXT_000272	セイラム・スティック
IDS_PROPITEM_TXT_000273	
IDS_PROPITEM_TXT_000274	ペロ・スティック
IDS_PROPITEM_TXT_000275	
IDS_PROPITEM_TXT_000276	セイント・スティック
IDS_PROPITEM_TXT_000277	
IDS_PROPITEM_TXT_000278	ゴーゴー・スティック
IDS_PROPITEM_TXT_000279	
IDS_PROPITEM_TXT_000280	フローリー・スティック
IDS_PROPITEM_TXT_000281	
IDS_PROPITEM_TXT_000282	ゲイル・スティック
IDS_PROPITEM_TXT_000283	
IDS_PROPITEM_TXT_000284	ナインゲイル・スティック
IDS_PROPITEM_TXT_000285	
IDS_PROPITEM_TXT_000286	ジャンヌ・スティック
IDS_PROPITEM_TXT_000287	
IDS_PROPITEM_TXT_000288	モス・スティック
IDS_PROPITEM_TXT_000289	
IDS_PROPITEM_TXT_000290	ヘイン・スティック
IDS_PROPITEM_TXT_000291	
IDS_PROPITEM_TXT_000292	シズル・スティック
IDS_PROPITEM_TXT_000293	
IDS_PROPITEM_TXT_000294	ペパーミン・スティック
IDS_PROPITEM_TXT_000295	
IDS_PROPITEM_TXT_000296	シーレン・スティック
IDS_PROPITEM_TXT_000297	
IDS_PROPITEM_TXT_000298	エクストリーム・スティック
IDS_PROPITEM_TXT_000299	
IDS_PROPITEM_TXT_000300	ピナクル・スティック
IDS_PROPITEM_TXT_000301	
IDS_PROPITEM_TXT_000302	メイプル・スティック
IDS_PROPITEM_TXT_000303	
IDS_PROPITEM_TXT_000304	レイブ・スティック
IDS_PROPITEM_TXT_000305	
IDS_PROPITEM_TXT_000306	チェリー・スティック
IDS_PROPITEM_TXT_000307	
IDS_PROPITEM_TXT_000308	ファンタ・スティック
IDS_PROPITEM_TXT_000309	
IDS_PROPITEM_TXT_000310	フェアミン・スティック
IDS_PROPITEM_TXT_000311	
IDS_PROPITEM_TXT_000312	モラルミン・スティック
IDS_PROPITEM_TXT_000313	
IDS_PROPITEM_TXT_000314	シャベル・スティック
IDS_PROPITEM_TXT_000315	
IDS_PROPITEM_TXT_000316	シャインウィング・スティック
IDS_PROPITEM_TXT_000317	
IDS_PROPITEM_TXT_000318	リクエアー・スティック
IDS_PROPITEM_TXT_000319	
IDS_PROPITEM_TXT_000320	シャドウ・スティック
IDS_PROPITEM_TXT_000321	
IDS_PROPITEM_TXT_000322	モレイン・スティック
IDS_PROPITEM_TXT_000323	
IDS_PROPITEM_TXT_000324	プリード・スティック
IDS_PROPITEM_TXT_000325	
IDS_PROPITEM_TXT_000326	ピアリン・スティック
IDS_PROPITEM_TXT_000327	
IDS_PROPITEM_TXT_000328	レオス・スティック
IDS_PROPITEM_TXT_000329	
IDS_PROPITEM_TXT_000330	レイバッド・スティック
IDS_PROPITEM_TXT_000331	
IDS_PROPITEM_TXT_000332	フォーラス・スティック
IDS_PROPITEM_TXT_000333	
IDS_PROPITEM_TXT_000334	ヴァイレム・スティック
IDS_PROPITEM_TXT_000335	
IDS_PROPITEM_TXT_000336	シャイト・スティック
IDS_PROPITEM_TXT_000337	
IDS_PROPITEM_TXT_000338	マレット・スティック
IDS_PROPITEM_TXT_000339	
IDS_PROPITEM_TXT_000340	ガーレイン・スティック
IDS_PROPITEM_TXT_000341	
IDS_PROPITEM_TXT_000342	グラス・ワンド
IDS_PROPITEM_TXT_000343	
IDS_PROPITEM_TXT_000344	シール・ワンド
IDS_PROPITEM_TXT_000345	
IDS_PROPITEM_TXT_000346	クリスタル・ワンド
IDS_PROPITEM_TXT_000347	
IDS_PROPITEM_TXT_000348	キュービック・ワンド
IDS_PROPITEM_TXT_000349	
IDS_PROPITEM_TXT_000350	パール・ワンド
IDS_PROPITEM_TXT_000351	
IDS_PROPITEM_TXT_000352	エピ・ワンド
IDS_PROPITEM_TXT_000353	
IDS_PROPITEM_TXT_000354	トパーズ・ワンド
IDS_PROPITEM_TXT_000355	
IDS_PROPITEM_TXT_000356	ニズ・ワンド
IDS_PROPITEM_TXT_000357	
IDS_PROPITEM_TXT_000358	キャッツアイ・ワンド
IDS_PROPITEM_TXT_000359	
IDS_PROPITEM_TXT_000360	ルビー・ワンド
IDS_PROPITEM_TXT_000361	
IDS_PROPITEM_TXT_000362	ブラッディ・ワンド
IDS_PROPITEM_TXT_000363	
IDS_PROPITEM_TXT_000364	カーリー・ワンド
IDS_PROPITEM_TXT_000365	
IDS_PROPITEM_TXT_000366	メル・ワンド
IDS_PROPITEM_TXT_000367	
IDS_PROPITEM_TXT_000368	ポリー・ワンド
IDS_PROPITEM_TXT_000369	
IDS_PROPITEM_TXT_000370	オーロラ・ワンド
IDS_PROPITEM_TXT_000371	
IDS_PROPITEM_TXT_000372	メカヒル・ワンド
IDS_PROPITEM_TXT_000373	
IDS_PROPITEM_TXT_000374	オパール・ワンド
IDS_PROPITEM_TXT_000375	
IDS_PROPITEM_TXT_000376	ナズ・ワンド
IDS_PROPITEM_TXT_000377	
IDS_PROPITEM_TXT_000378	ミスティ・ワンド
IDS_PROPITEM_TXT_000379	
IDS_PROPITEM_TXT_000380	ゼレム・ワンド
IDS_PROPITEM_TXT_000381	
IDS_PROPITEM_TXT_000382	レインボウ・ワンド
IDS_PROPITEM_TXT_000383	
IDS_PROPITEM_TXT_000384	ブルーボウ・ワンド
IDS_PROPITEM_TXT_000385	
IDS_PROPITEM_TXT_000386	ザイム・ワンド
IDS_PROPITEM_TXT_000387	
IDS_PROPITEM_TXT_000388	スプルヘイル・ワンド
IDS_PROPITEM_TXT_000389	
IDS_PROPITEM_TXT_000390	イリュージョン・ワンド
IDS_PROPITEM_TXT_000391	
IDS_PROPITEM_TXT_000392	ミラージュ・ワンド
IDS_PROPITEM_TXT_000393	
IDS_PROPITEM_TXT_000394	フルピム・ワンド
IDS_PROPITEM_TXT_000395	
IDS_PROPITEM_TXT_000396	アリス・ワンド
IDS_PROPITEM_TXT_000397	
IDS_PROPITEM_TXT_000398	ディバイン・ワンド
IDS_PROPITEM_TXT_000399	
IDS_PROPITEM_TXT_000400	モイラ・ワンド
IDS_PROPITEM_TXT_000401	
IDS_PROPITEM_TXT_000402	ネプラス・ワンド
IDS_PROPITEM_TXT_000403	
IDS_PROPITEM_TXT_000404	アルカディア・ワンド
IDS_PROPITEM_TXT_000405	
IDS_PROPITEM_TXT_000406	トリペイル・ワンド
IDS_PROPITEM_TXT_000407	
IDS_PROPITEM_TXT_000408	タリス・ワンド
IDS_PROPITEM_TXT_000409	
IDS_PROPITEM_TXT_000410	エルラド・ワンド
IDS_PROPITEM_TXT_000411	
IDS_PROPITEM_TXT_000412	ジャレイト・ワンド
IDS_PROPITEM_TXT_000413	
IDS_PROPITEM_TXT_000414	リスミル・ワンド
IDS_PROPITEM_TXT_000415	
IDS_PROPITEM_TXT_000416	クロリル・ワンド
IDS_PROPITEM_TXT_000417	
IDS_PROPITEM_TXT_000418	フェイカス・ワンド
IDS_PROPITEM_TXT_000419	
IDS_PROPITEM_TXT_000420	リキス・ワンド
IDS_PROPITEM_TXT_000421	
IDS_PROPITEM_TXT_000422	ブラックウィズ・ワンド
IDS_PROPITEM_TXT_000423	
IDS_PROPITEM_TXT_000424	ダリス・ワンド
IDS_PROPITEM_TXT_000425	
IDS_PROPITEM_TXT_000426	ホーラトュン・ワンド
IDS_PROPITEM_TXT_000427	
IDS_PROPITEM_TXT_000428	ローレイ・ワンド
IDS_PROPITEM_TXT_000429	
IDS_PROPITEM_TXT_000430	クロン・スタッフ
IDS_PROPITEM_TXT_000431	
IDS_PROPITEM_TXT_000432	マイル・スタッフ
IDS_PROPITEM_TXT_000433	
IDS_PROPITEM_TXT_000434	セイルウィング・スタッフ
IDS_PROPITEM_TXT_000435	
IDS_PROPITEM_TXT_000436	ナイル・スタッフ
IDS_PROPITEM_TXT_000437	
IDS_PROPITEM_TXT_000438	アイディー・スタッフ
IDS_PROPITEM_TXT_000439	
IDS_PROPITEM_TXT_000440	インナー・スタッフ
IDS_PROPITEM_TXT_000441	
IDS_PROPITEM_TXT_000442	シアー・スタッフ
IDS_PROPITEM_TXT_000443	
IDS_PROPITEM_TXT_000444	ヘラルド・スタッフ
IDS_PROPITEM_TXT_000445	
IDS_PROPITEM_TXT_000446	エゴ・スタッフ
IDS_PROPITEM_TXT_000447	
IDS_PROPITEM_TXT_000448	アドセルフ・スタッフ
IDS_PROPITEM_TXT_000449	
IDS_PROPITEM_TXT_000450	ソレイン・スタッフ
IDS_PROPITEM_TXT_000451	
IDS_PROPITEM_TXT_000452	サイン・スタッフ
IDS_PROPITEM_TXT_000453	
IDS_PROPITEM_TXT_000454	スペクター・スタッフ
IDS_PROPITEM_TXT_000455	
IDS_PROPITEM_TXT_000456	イグニス・スタッフ
IDS_PROPITEM_TXT_000457	
IDS_PROPITEM_TXT_000458	ジェシー・スタッフ
IDS_PROPITEM_TXT_000459	
IDS_PROPITEM_TXT_000460	ティーバ・スタッフ
IDS_PROPITEM_TXT_000461	
IDS_PROPITEM_TXT_000462	コズモ・スタッフ
IDS_PROPITEM_TXT_000463	
IDS_PROPITEM_TXT_000464	スレイン・スタッフ
IDS_PROPITEM_TXT_000465	
IDS_PROPITEM_TXT_000466	ウォータプール・スタッフ
IDS_PROPITEM_TXT_000467	
IDS_PROPITEM_TXT_000468	スターフィ・スタッフ
IDS_PROPITEM_TXT_000469	
IDS_PROPITEM_TXT_000470	オライン・スタッフ
IDS_PROPITEM_TXT_000471	
IDS_PROPITEM_TXT_000472	カーザム・スタッフ
IDS_PROPITEM_TXT_000473	
IDS_PROPITEM_TXT_000474	ウィズ・スタッフ
IDS_PROPITEM_TXT_000475	
IDS_PROPITEM_TXT_000476	アストラル・スタッフ
IDS_PROPITEM_TXT_000477	
IDS_PROPITEM_TXT_000478	ビッシャポ・スタッフ
IDS_PROPITEM_TXT_000479	
IDS_PROPITEM_TXT_000480	シェイカーン・スタッフ
IDS_PROPITEM_TXT_000481	
IDS_PROPITEM_TXT_000482	ガードフォール・スタッフ
IDS_PROPITEM_TXT_000483	
IDS_PROPITEM_TXT_000484	ツインキーン・スタッフ
IDS_PROPITEM_TXT_000485	
IDS_PROPITEM_TXT_000486	フローレル・スタッフ
IDS_PROPITEM_TXT_000487	
IDS_PROPITEM_TXT_000488	ルオフル・スタッフ
IDS_PROPITEM_TXT_000489	
IDS_PROPITEM_TXT_000490	バーディン・スタッフ
IDS_PROPITEM_TXT_000491	
IDS_PROPITEM_TXT_000492	フェザーウイング・スタッフ
IDS_PROPITEM_TXT_000493	
IDS_PROPITEM_TXT_000494	クロセック・スタッフ
IDS_PROPITEM_TXT_000495	
IDS_PROPITEM_TXT_000496	ホーリオス・スタッフ
IDS_PROPITEM_TXT_000497	
IDS_PROPITEM_TXT_000498	メイゼリア・スタッフ
IDS_PROPITEM_TXT_000499	
IDS_PROPITEM_TXT_000500	ポーテル・スタッフ
IDS_PROPITEM_TXT_000501	
IDS_PROPITEM_TXT_000502	ダークヒルド・スタッフ
IDS_PROPITEM_TXT_000503	
IDS_PROPITEM_TXT_000504	マリナー・スタッフ
IDS_PROPITEM_TXT_000505	
IDS_PROPITEM_TXT_000506	ヘキサゴン・スタッフ
IDS_PROPITEM_TXT_000507	
IDS_PROPITEM_TXT_000508	リモディック・スタッフ
IDS_PROPITEM_TXT_000509	
IDS_PROPITEM_TXT_000510	ファイラル・スタッフ
IDS_PROPITEM_TXT_000511	
IDS_PROPITEM_TXT_000512	エルフィン・スタッフ
IDS_PROPITEM_TXT_000513	
IDS_PROPITEM_TXT_000514	アンジェリカー・スタッフ
IDS_PROPITEM_TXT_000515	
IDS_PROPITEM_TXT_000516	フォーシャペン・スタッフ
IDS_PROPITEM_TXT_000517	
IDS_PROPITEM_TXT_000518	クラム・ナックル
IDS_PROPITEM_TXT_000519	
IDS_PROPITEM_TXT_000520	オバーラム・ナックル
IDS_PROPITEM_TXT_000521	
IDS_PROPITEM_TXT_000522	スペック・ナックル
IDS_PROPITEM_TXT_000523	
IDS_PROPITEM_TXT_000524	サーディン・ナックル
IDS_PROPITEM_TXT_000525	
IDS_PROPITEM_TXT_000526	ビートル・ナックル
IDS_PROPITEM_TXT_000527	
IDS_PROPITEM_TXT_000528	ツイット・ナックル
IDS_PROPITEM_TXT_000529	
IDS_PROPITEM_TXT_000530	スレッジ・ナックル
IDS_PROPITEM_TXT_000531	
IDS_PROPITEM_TXT_000532	ゼノ・ナックル
IDS_PROPITEM_TXT_000533	
IDS_PROPITEM_TXT_000534	スパイク・ナックル
IDS_PROPITEM_TXT_000535	
IDS_PROPITEM_TXT_000536	サイド・ナックル
IDS_PROPITEM_TXT_000537	
IDS_PROPITEM_TXT_000538	メガ・ナックル
IDS_PROPITEM_TXT_000539	
IDS_PROPITEM_TXT_000540	テイリン・ナックル
IDS_PROPITEM_TXT_000541	
IDS_PROPITEM_TXT_000542	ウィッジ・ナックル
IDS_PROPITEM_TXT_000543	
IDS_PROPITEM_TXT_000544	リグル・ナックル
IDS_PROPITEM_TXT_000545	
IDS_PROPITEM_TXT_000546	ロビン・ナックル
IDS_PROPITEM_TXT_000547	
IDS_PROPITEM_TXT_000548	ランパート・ナックル
IDS_PROPITEM_TXT_000549	
IDS_PROPITEM_TXT_000550	トロカル・ナックル
IDS_PROPITEM_TXT_000551	
IDS_PROPITEM_TXT_000552	レブナント・ナックル
IDS_PROPITEM_TXT_000553	
IDS_PROPITEM_TXT_000554	シャーク・ナックル
IDS_PROPITEM_TXT_000555	
IDS_PROPITEM_TXT_000556	マーベル・ナックル
IDS_PROPITEM_TXT_000557	
IDS_PROPITEM_TXT_000558	スプリン・ナックル
IDS_PROPITEM_TXT_000559	
IDS_PROPITEM_TXT_000560	オーバーパス・ナックル
IDS_PROPITEM_TXT_000561	
IDS_PROPITEM_TXT_000562	アズマ・ナックル
IDS_PROPITEM_TXT_000563	
IDS_PROPITEM_TXT_000564	グラビティ・ナックル
IDS_PROPITEM_TXT_000565	
IDS_PROPITEM_TXT_000566	スケール・ナックル
IDS_PROPITEM_TXT_000567	
IDS_PROPITEM_TXT_000568	コリーン・ナックル
IDS_PROPITEM_TXT_000569	
IDS_PROPITEM_TXT_000570	リドーンフィット・ナックル
IDS_PROPITEM_TXT_000571	
IDS_PROPITEM_TXT_000572	フィストンバー・ナックル
IDS_PROPITEM_TXT_000573	
IDS_PROPITEM_TXT_000574	サムルン・ナックル
IDS_PROPITEM_TXT_000575	
IDS_PROPITEM_TXT_000576	エドリン・ナックル
IDS_PROPITEM_TXT_000577	
IDS_PROPITEM_TXT_000578	ネクリージ・ナックル
IDS_PROPITEM_TXT_000579	
IDS_PROPITEM_TXT_000580	スケロック・ナックル
IDS_PROPITEM_TXT_000581	
IDS_PROPITEM_TXT_000582	クロスアイル・ナックル
IDS_PROPITEM_TXT_000583	
IDS_PROPITEM_TXT_000584	ゴールドロス・ナックル
IDS_PROPITEM_TXT_000585	
IDS_PROPITEM_TXT_000586	クラクリーン・ナックル
IDS_PROPITEM_TXT_000587	
IDS_PROPITEM_TXT_000588	ブリシーバー・ナックル
IDS_PROPITEM_TXT_000589	
IDS_PROPITEM_TXT_000590	クレッセント・ナックル
IDS_PROPITEM_TXT_000591	
IDS_PROPITEM_TXT_000592	ムーンキュート・ナックル
IDS_PROPITEM_TXT_000593	
IDS_PROPITEM_TXT_000594	ヴァイオリカー・ナックル
