IDS_PROPMOVER_TXT_000000	標準
IDS_PROPMOVER_TXT_000082	クリープ・ニャングニャング
IDS_PROPMOVER_TXT_000083	
IDS_PROPMOVER_TXT_000084	ジャイアント・ニャングニャング
IDS_PROPMOVER_TXT_000085	
IDS_PROPMOVER_TXT_000086	ヴァン
IDS_PROPMOVER_TXT_000087	
IDS_PROPMOVER_TXT_000088	キャプテン・ヴァン
IDS_PROPMOVER_TXT_000089	
IDS_PROPMOVER_TXT_000090	ボス・ヴァン
IDS_PROPMOVER_TXT_000091	
IDS_PROPMOVER_TXT_000092	ジャイアント・ヴァン
IDS_PROPMOVER_TXT_000093	
IDS_PROPMOVER_TXT_000094	スモール・ワッグサック
IDS_PROPMOVER_TXT_000095	
IDS_PROPMOVER_TXT_000096	ワッグサック
IDS_PROPMOVER_TXT_000097	
IDS_PROPMOVER_TXT_000098	キャプテン・ワッグサック
IDS_PROPMOVER_TXT_000099	
IDS_PROPMOVER_TXT_000100	ジャイアント・ワッグサック
IDS_PROPMOVER_TXT_000101	
IDS_PROPMOVER_TXT_000102	スモール・ミーア
IDS_PROPMOVER_TXT_000103	
IDS_PROPMOVER_TXT_000104	ミーア
IDS_PROPMOVER_TXT_000105	
IDS_PROPMOVER_TXT_000106	キャプテン・ミーア
IDS_PROPMOVER_TXT_000107	
IDS_PROPMOVER_TXT_000108	ジャイアント・ミーア
IDS_PROPMOVER_TXT_000109	
IDS_PROPMOVER_TXT_000110	古カボチャ男爵
IDS_PROPMOVER_TXT_000111	
IDS_PROPMOVER_TXT_000112	カボチャ男爵
IDS_PROPMOVER_TXT_000113	
IDS_PROPMOVER_TXT_000114	腐ったカボチャ男爵
IDS_PROPMOVER_TXT_000115	
IDS_PROPMOVER_TXT_000116	ジャイアント・カボチャ男爵
IDS_PROPMOVER_TXT_000117	
IDS_PROPMOVER_TXT_000118	レッドマンティスＣ
IDS_PROPMOVER_TXT_000119	
IDS_PROPMOVER_TXT_000120	レッドマンティスＢ
IDS_PROPMOVER_TXT_000121	
IDS_PROPMOVER_TXT_000122	レッドマンティスＡ
IDS_PROPMOVER_TXT_000123	
IDS_PROPMOVER_TXT_000124	レッドマンティス
IDS_PROPMOVER_TXT_000125	
IDS_PROPMOVER_TXT_000126	スモール・ジャックザハンマー
IDS_PROPMOVER_TXT_000127	
IDS_PROPMOVER_TXT_000128	ジャックザハンマー
IDS_PROPMOVER_TXT_000129	
IDS_PROPMOVER_TXT_000130	キャプテン・ジャックザハンマー
IDS_PROPMOVER_TXT_000131	
IDS_PROPMOVER_TXT_000132	ジャイアント・ジャックザハンマー
IDS_PROPMOVER_TXT_000133	
IDS_PROPMOVER_TXT_000134	スモール・ギッグルボックス
IDS_PROPMOVER_TXT_000135	
IDS_PROPMOVER_TXT_000136	ギッグルボックス
IDS_PROPMOVER_TXT_000137	
IDS_PROPMOVER_TXT_000138	キャプテン・ギッグルボックス
IDS_PROPMOVER_TXT_000139	
IDS_PROPMOVER_TXT_000140	ジャイアント・ギッグルボックス
IDS_PROPMOVER_TXT_000141	
IDS_PROPMOVER_TXT_000142	スモール・ロックマッスル
IDS_PROPMOVER_TXT_000143	
IDS_PROPMOVER_TXT_000144	ロックマッスル
IDS_PROPMOVER_TXT_000145	
IDS_PROPMOVER_TXT_000146	キャプテン・ロックマッスル
IDS_PROPMOVER_TXT_000147	
IDS_PROPMOVER_TXT_000148	ジャイアント・ロックマッスル
IDS_PROPMOVER_TXT_000149	
IDS_PROPMOVER_TXT_000150	スモール・ホボー
IDS_PROPMOVER_TXT_000151	
IDS_PROPMOVER_TXT_000152	ホボー
IDS_PROPMOVER_TXT_000153	
IDS_PROPMOVER_TXT_000154	キャプテン・ホボー
IDS_PROPMOVER_TXT_000155	
IDS_PROPMOVER_TXT_000156	ジャイアント・ホボー
IDS_PROPMOVER_TXT_000157	
IDS_PROPMOVER_TXT_000158	スモール・ダンブル
IDS_PROPMOVER_TXT_000159	
IDS_PROPMOVER_TXT_000160	ダンブル
IDS_PROPMOVER_TXT_000161	
IDS_PROPMOVER_TXT_000162	キャプテン・ダンブル
IDS_PROPMOVER_TXT_000163	
IDS_PROPMOVER_TXT_000164	ジャイアント・ダンブル
IDS_PROPMOVER_TXT_000165	
IDS_PROPMOVER_TXT_000166	スモール・トーテミア
IDS_PROPMOVER_TXT_000167	
IDS_PROPMOVER_TXT_000168	トーテミア
IDS_PROPMOVER_TXT_000169	
IDS_PROPMOVER_TXT_000170	キャプテン・トーテミア
IDS_PROPMOVER_TXT_000171	
IDS_PROPMOVER_TXT_000172	ジャイアント・トーテミア
IDS_PROPMOVER_TXT_000173	
IDS_PROPMOVER_TXT_000174	メイド・カードパペット
IDS_PROPMOVER_TXT_000175	
IDS_PROPMOVER_TXT_000176	カードパペット
IDS_PROPMOVER_TXT_000177	
IDS_PROPMOVER_TXT_000178	マネージャ・カードパペット
IDS_PROPMOVER_TXT_000179	
IDS_PROPMOVER_TXT_000180	ボス・カードパペット
IDS_PROPMOVER_TXT_000181	
IDS_PROPMOVER_TXT_000182	スモール・トムストンベアラー
IDS_PROPMOVER_TXT_000183	
IDS_PROPMOVER_TXT_000184	トムストンベアラー
IDS_PROPMOVER_TXT_000185	
IDS_PROPMOVER_TXT_000186	キャプテン・トムストンベアラー
IDS_PROPMOVER_TXT_000187	
IDS_PROPMOVER_TXT_000188	ジャイアント・トムストンベアラー
IDS_PROPMOVER_TXT_000189	
IDS_PROPMOVER_TXT_000190	バンタン・バスキュー
IDS_PROPMOVER_TXT_000191	
IDS_PROPMOVER_TXT_000192	バスキュー
IDS_PROPMOVER_TXT_000193	
IDS_PROPMOVER_TXT_000194	ランピング・バスキュー
IDS_PROPMOVER_TXT_000195	
IDS_PROPMOVER_TXT_000196	ジャイアント・バスキュー
IDS_PROPMOVER_TXT_000197	
IDS_PROPMOVER_TXT_000198	スモールラージ・プランクスター
IDS_PROPMOVER_TXT_000199	
IDS_PROPMOVER_TXT_000200	プランクスター
IDS_PROPMOVER_TXT_000201	
IDS_PROPMOVER_TXT_000202	マスターメイジ・プランクスター
IDS_PROPMOVER_TXT_000203	
IDS_PROPMOVER_TXT_000204	ジャイアントメイジ・プランクスター
IDS_PROPMOVER_TXT_000205	
IDS_PROPMOVER_TXT_000206	ラフ・ホイール
IDS_PROPMOVER_TXT_000207	
IDS_PROPMOVER_TXT_000208	ホイール
IDS_PROPMOVER_TXT_000209	
IDS_PROPMOVER_TXT_000210	バウンシング・ホイール
IDS_PROPMOVER_TXT_000211	
IDS_PROPMOVER_TXT_000212	ジャイアント・ホイール
IDS_PROPMOVER_TXT_000213	
IDS_PROPMOVER_TXT_000214	スモール・レイーナ
IDS_PROPMOVER_TXT_000215	
IDS_PROPMOVER_TXT_000216	レイーナ
IDS_PROPMOVER_TXT_000217	
IDS_PROPMOVER_TXT_000218	キャプテン・レイーナ
IDS_PROPMOVER_TXT_000219	
IDS_PROPMOVER_TXT_000220	ジャイアント・レイーナ
IDS_PROPMOVER_TXT_000221	
IDS_PROPMOVER_TXT_000222	スモール・スチームウォーカー
IDS_PROPMOVER_TXT_000223	
IDS_PROPMOVER_TXT_000224	スチームウォーカー
IDS_PROPMOVER_TXT_000225	
IDS_PROPMOVER_TXT_000226	キャプテン・スチームウォーカー
IDS_PROPMOVER_TXT_000227	
IDS_PROPMOVER_TXT_000228	ジャイアント・スチームウォーカー
IDS_PROPMOVER_TXT_000229	
IDS_PROPMOVER_TXT_000230	スモール・スチールナイト
IDS_PROPMOVER_TXT_000231	
IDS_PROPMOVER_TXT_000232	スチールナイト
IDS_PROPMOVER_TXT_000233	
IDS_PROPMOVER_TXT_000234	キャプテン・スチールナイト
IDS_PROPMOVER_TXT_000235	
IDS_PROPMOVER_TXT_000236	ジャイアント・スチールナイト
IDS_PROPMOVER_TXT_000237	
IDS_PROPMOVER_TXT_000238	スモール・ナッティフィール
IDS_PROPMOVER_TXT_000239	
IDS_PROPMOVER_TXT_000240	ナッティフィール
IDS_PROPMOVER_TXT_000241	
IDS_PROPMOVER_TXT_000242	キャプテン・ナッティフィール
IDS_PROPMOVER_TXT_000243	
IDS_PROPMOVER_TXT_000244	ジャイアント・ナッティフィール
IDS_PROPMOVER_TXT_000245	
IDS_PROPMOVER_TXT_000246	スモール・ドリラー
IDS_PROPMOVER_TXT_000247	
IDS_PROPMOVER_TXT_000248	ドリラー
IDS_PROPMOVER_TXT_000249	
IDS_PROPMOVER_TXT_000250	キャプテン・ドリラー
IDS_PROPMOVER_TXT_000251	
IDS_PROPMOVER_TXT_000252	ジャイアント・ドリラー
IDS_PROPMOVER_TXT_000253	
IDS_PROPMOVER_TXT_000254	スモール・ボルト
IDS_PROPMOVER_TXT_000255	
IDS_PROPMOVER_TXT_000256	ボルト
IDS_PROPMOVER_TXT_000257	
IDS_PROPMOVER_TXT_000258	キャプテン・ボルト
IDS_PROPMOVER_TXT_000259	
IDS_PROPMOVER_TXT_000260	ジャイアント・ボルト
IDS_PROPMOVER_TXT_000261	
IDS_PROPMOVER_TXT_000262	スモール・エルダーガード
IDS_PROPMOVER_TXT_000263	
IDS_PROPMOVER_TXT_000264	エルダーガード
IDS_PROPMOVER_TXT_000265	
IDS_PROPMOVER_TXT_000266	キャプテン・エルダーガード
IDS_PROPMOVER_TXT_000267	
IDS_PROPMOVER_TXT_000268	ジャイアント・エルダーガード
IDS_PROPMOVER_TXT_000269	
IDS_PROPMOVER_TXT_000270	スモール・ガーベイジパイダー
IDS_PROPMOVER_TXT_000271	
IDS_PROPMOVER_TXT_000272	ガーベイジパイダー
IDS_PROPMOVER_TXT_000273	
IDS_PROPMOVER_TXT_000274	キャプテン・ガーベイジパイダー
IDS_PROPMOVER_TXT_000275	
IDS_PROPMOVER_TXT_000276	ジャイアント・ガーベイジパイダー
IDS_PROPMOVER_TXT_000277	
IDS_PROPMOVER_TXT_000278	スモール・クレーンマシン
IDS_PROPMOVER_TXT_000279	
IDS_PROPMOVER_TXT_000280	クレーンマシン
IDS_PROPMOVER_TXT_000281	
IDS_PROPMOVER_TXT_000282	キャプテン・クレーンマシン
IDS_PROPMOVER_TXT_000283	
IDS_PROPMOVER_TXT_000284	ジャイアント・クレーンマシン
IDS_PROPMOVER_TXT_000285	
IDS_PROPMOVER_TXT_000286	スモール・モスビー
IDS_PROPMOVER_TXT_000287	
IDS_PROPMOVER_TXT_000288	モスビー
IDS_PROPMOVER_TXT_000289	
IDS_PROPMOVER_TXT_000290	キャプテン・モスビー
IDS_PROPMOVER_TXT_000291	
IDS_PROPMOVER_TXT_000292	ジャイアント・モスビー
IDS_PROPMOVER_TXT_000293	
IDS_PROPMOVER_TXT_000294	スモール・フリビーリーズン
IDS_PROPMOVER_TXT_000295	
IDS_PROPMOVER_TXT_000296	フリビーリーズン
IDS_PROPMOVER_TXT_000297	
IDS_PROPMOVER_TXT_000298	キャプテン・フリビーリーズン
IDS_PROPMOVER_TXT_000299	
IDS_PROPMOVER_TXT_000300	ジャイアント・フリビーリーズン
IDS_PROPMOVER_TXT_000301	
IDS_PROPMOVER_TXT_000302	スモール・ロケッペラー
IDS_PROPMOVER_TXT_000303	
IDS_PROPMOVER_TXT_000304	ロケッペラー
IDS_PROPMOVER_TXT_000305	
IDS_PROPMOVER_TXT_000306	キャプテン・ロケッペラー
IDS_PROPMOVER_TXT_000307	
IDS_PROPMOVER_TXT_000308	ジャイアント・ロケッペラー
IDS_PROPMOVER_TXT_000309	
IDS_PROPMOVER_TXT_000310	スモール・サーカスベア
IDS_PROPMOVER_TXT_000311	
IDS_PROPMOVER_TXT_000312	サーカスベア
IDS_PROPMOVER_TXT_000313	
IDS_PROPMOVER_TXT_000314	キャプテン・サーカスベア
IDS_PROPMOVER_TXT_000315	
IDS_PROPMOVER_TXT_000316	ジャイアント・サーカスベア
IDS_PROPMOVER_TXT_000317	
IDS_PROPMOVER_TXT_000318	スモール・ハーレークイン
IDS_PROPMOVER_TXT_000319	
IDS_PROPMOVER_TXT_000320	ハーレークイン
IDS_PROPMOVER_TXT_000321	
IDS_PROPMOVER_TXT_000322	キャプテン・ハーレークイン
IDS_PROPMOVER_TXT_000323	
IDS_PROPMOVER_TXT_000324	グレート・ハーレークイン
IDS_PROPMOVER_TXT_000325	
IDS_PROPMOVER_TXT_000326	スモール・グリーモン
IDS_PROPMOVER_TXT_000327	
IDS_PROPMOVER_TXT_000328	グリーモン
IDS_PROPMOVER_TXT_000329	
IDS_PROPMOVER_TXT_000330	キャプテン・グリーモン
IDS_PROPMOVER_TXT_000331	
IDS_PROPMOVER_TXT_000332	ジャイアント・グリーモン
IDS_PROPMOVER_TXT_000333	
IDS_PROPMOVER_TXT_000334	スモール・パイア
IDS_PROPMOVER_TXT_000335	
IDS_PROPMOVER_TXT_000336	パイア
IDS_PROPMOVER_TXT_000337	
IDS_PROPMOVER_TXT_000338	キャプテン・パイア
IDS_PROPMOVER_TXT_000339	
IDS_PROPMOVER_TXT_000340	ジャイアント・パイア
IDS_PROPMOVER_TXT_000341	
IDS_PROPMOVER_TXT_000342	スモール・クロードール
IDS_PROPMOVER_TXT_000343	
IDS_PROPMOVER_TXT_000344	クロードール
IDS_PROPMOVER_TXT_000345	
IDS_PROPMOVER_TXT_000346	キャプテン・クロードール
IDS_PROPMOVER_TXT_000347	
IDS_PROPMOVER_TXT_000348	ジャイアント・クロードール
IDS_PROPMOVER_TXT_000349	
IDS_PROPMOVER_TXT_000350	スモール・キャリアボム
IDS_PROPMOVER_TXT_000351	
IDS_PROPMOVER_TXT_000352	キャリアボム
IDS_PROPMOVER_TXT_000353	
IDS_PROPMOVER_TXT_000354	キャプテン・キャリアボム
IDS_PROPMOVER_TXT_000355	
IDS_PROPMOVER_TXT_000356	ジャイアント・キャリアボム
IDS_PROPMOVER_TXT_000357	
IDS_PROPMOVER_TXT_000358	スモール・ランページブッチャー
IDS_PROPMOVER_TXT_000359	
IDS_PROPMOVER_TXT_000360	ランページブッチャー
IDS_PROPMOVER_TXT_000361	
IDS_PROPMOVER_TXT_000362	キャプテン・ランページブッチャー
IDS_PROPMOVER_TXT_000363	
IDS_PROPMOVER_TXT_000364	ジャイアント・ランページブッチャー
IDS_PROPMOVER_TXT_000365	
IDS_PROPMOVER_TXT_000366	スモール・フロージスト
IDS_PROPMOVER_TXT_000367	
IDS_PROPMOVER_TXT_000368	フロージスト
IDS_PROPMOVER_TXT_000369	
IDS_PROPMOVER_TXT_000370	キャプテン・フロ－ジスト
IDS_PROPMOVER_TXT_000371	
IDS_PROPMOVER_TXT_000372	ジャイアント・フロージスト
IDS_PROPMOVER_TXT_000373	
IDS_PROPMOVER_TXT_000374	スモール・バーンバード
IDS_PROPMOVER_TXT_000375	
IDS_PROPMOVER_TXT_000376	バーンバード
IDS_PROPMOVER_TXT_000377	
IDS_PROPMOVER_TXT_000378	キャプテン・バーンバード
IDS_PROPMOVER_TXT_000379	
IDS_PROPMOVER_TXT_000380	ジャイアント・バーンバード
IDS_PROPMOVER_TXT_000381	
IDS_PROPMOVER_TXT_000382	クロックワークス
IDS_PROPMOVER_TXT_000383	
IDS_PROPMOVER_TXT_000384	スモール・バケットフット
IDS_PROPMOVER_TXT_000385	
IDS_PROPMOVER_TXT_000386	バケットフット
IDS_PROPMOVER_TXT_000387	
IDS_PROPMOVER_TXT_000388	キャプテン・バケットフット
IDS_PROPMOVER_TXT_000389	
IDS_PROPMOVER_TXT_000390	ジャイアント・バケットフット
IDS_PROPMOVER_TXT_000391	
IDS_PROPMOVER_TXT_000392	スモール・ナックトビークル
IDS_PROPMOVER_TXT_000393	
IDS_PROPMOVER_TXT_000394	ナックトビークル
IDS_PROPMOVER_TXT_000395	
IDS_PROPMOVER_TXT_000396	キャプテン・ナックトビークル
IDS_PROPMOVER_TXT_000397	
IDS_PROPMOVER_TXT_000398	ジャイアント・ナックトビークル
IDS_PROPMOVER_TXT_000399	
IDS_PROPMOVER_TXT_000400	ヤング・シーラカ
IDS_PROPMOVER_TXT_000401	
IDS_PROPMOVER_TXT_000402	シーラカ
IDS_PROPMOVER_TXT_000403	
IDS_PROPMOVER_TXT_000404	グロウアップ・シーラカ
IDS_PROPMOVER_TXT_000405	
IDS_PROPMOVER_TXT_000406	ジャイアント・シーラカ
IDS_PROPMOVER_TXT_000407	
IDS_PROPMOVER_TXT_000408	スモール・ライゼム
IDS_PROPMOVER_TXT_000409	
IDS_PROPMOVER_TXT_000410	ライゼム
IDS_PROPMOVER_TXT_000411	
IDS_PROPMOVER_TXT_000412	キャプテン・ライゼム
IDS_PROPMOVER_TXT_000413	
IDS_PROPMOVER_TXT_000414	ジャイアント・ライゼム
IDS_PROPMOVER_TXT_000415	
IDS_PROPMOVER_TXT_000416	スモール・ゾンビー
IDS_PROPMOVER_TXT_000417	
IDS_PROPMOVER_TXT_000418	ゾンビー
IDS_PROPMOVER_TXT_000419	
IDS_PROPMOVER_TXT_000420	キャプテン・ゾンビー
IDS_PROPMOVER_TXT_000421	
IDS_PROPMOVER_TXT_000422	ジャイアント・ゾンビー
IDS_PROPMOVER_TXT_000423	
IDS_PROPMOVER_TXT_000424	スモール・フライバット
IDS_PROPMOVER_TXT_000425	
IDS_PROPMOVER_TXT_000426	フライバット
IDS_PROPMOVER_TXT_000427	
IDS_PROPMOVER_TXT_000428	キャプテン・フライバット
IDS_PROPMOVER_TXT_000429	
IDS_PROPMOVER_TXT_000430	ジャイアント・フライバット
IDS_PROPMOVER_TXT_000431	
IDS_PROPMOVER_TXT_000432	スモール・バクロウ
IDS_PROPMOVER_TXT_000433	
IDS_PROPMOVER_TXT_000434	バクロウ
IDS_PROPMOVER_TXT_000435	
IDS_PROPMOVER_TXT_000436	キャプテン・バクロウ
IDS_PROPMOVER_TXT_000437	
IDS_PROPMOVER_TXT_000438	ジャイアント・バクロウ
IDS_PROPMOVER_TXT_000439	
IDS_PROPMOVER_TXT_000440	スモール・スコーピオン
IDS_PROPMOVER_TXT_000441	
IDS_PROPMOVER_TXT_000442	スコーピオン
IDS_PROPMOVER_TXT_000443	
IDS_PROPMOVER_TXT_000444	キャプテン・スコーピオン
IDS_PROPMOVER_TXT_000445	
IDS_PROPMOVER_TXT_000446	ジャイアント・スコーピオン
IDS_PROPMOVER_TXT_000447	
IDS_PROPMOVER_TXT_000448	スモール・トランフォーマ
IDS_PROPMOVER_TXT_000449	
IDS_PROPMOVER_TXT_000450	トランフォーマ
IDS_PROPMOVER_TXT_000451	
IDS_PROPMOVER_TXT_000452	キャプテン・トランフォーマ
IDS_PROPMOVER_TXT_000453	
IDS_PROPMOVER_TXT_000454	ジャイアント・トランフォーマ
IDS_PROPMOVER_TXT_000455	
IDS_PROPMOVER_TXT_000456	ミネラル・キャッチャー
IDS_PROPMOVER_TXT_000457	
IDS_PROPMOVER_TXT_000458	エランス・キャッチャー
IDS_PROPMOVER_TXT_000459	
IDS_PROPMOVER_TXT_000460	ケラセック・キャッチャー
IDS_PROPMOVER_TXT_000461	
IDS_PROPMOVER_TXT_000462	グルー・キャッチャー
IDS_PROPMOVER_TXT_000463	
IDS_PROPMOVER_TXT_000464	スモール・グルルン
IDS_PROPMOVER_TXT_000465	
IDS_PROPMOVER_TXT_000466	グルルン
IDS_PROPMOVER_TXT_000467	
IDS_PROPMOVER_TXT_000468	キャプテン・グルルン
IDS_PROPMOVER_TXT_000469	
IDS_PROPMOVER_TXT_000470	ジャイアント・グルルン
IDS_PROPMOVER_TXT_000471	
IDS_PROPMOVER_TXT_000472	スモール・ダンプ
IDS_PROPMOVER_TXT_000473	
IDS_PROPMOVER_TXT_000474	ダンプ
IDS_PROPMOVER_TXT_000475	
IDS_PROPMOVER_TXT_000476	キャプテン・ダンプ
IDS_PROPMOVER_TXT_000477	
IDS_PROPMOVER_TXT_000478	ジャイアント・ダンプ
IDS_PROPMOVER_TXT_000479	
IDS_PROPMOVER_TXT_000480	スモール・ノートレー
IDS_PROPMOVER_TXT_000481	
IDS_PROPMOVER_TXT_000482	ノートレー
IDS_PROPMOVER_TXT_000483	
IDS_PROPMOVER_TXT_000484	キャプテン・ノートレー
IDS_PROPMOVER_TXT_000485	
IDS_PROPMOVER_TXT_000486	ジャイアント・ノートレー
IDS_PROPMOVER_TXT_000487	
IDS_PROPMOVER_TXT_000488	スモール・ブウ
IDS_PROPMOVER_TXT_000489	
IDS_PROPMOVER_TXT_000490	ブウ
IDS_PROPMOVER_TXT_000491	
IDS_PROPMOVER_TXT_000492	キャプテン・ブウ
IDS_PROPMOVER_TXT_000493	
IDS_PROPMOVER_TXT_000494	ジャイアント・ブウ
IDS_PROPMOVER_TXT_000495	
IDS_PROPMOVER_TXT_000496	スモール・ホップル
IDS_PROPMOVER_TXT_000497	
IDS_PROPMOVER_TXT_000498	ホップル
IDS_PROPMOVER_TXT_000499	
IDS_PROPMOVER_TXT_000500	キャプテン・ホップル
IDS_PROPMOVER_TXT_000501	
IDS_PROPMOVER_TXT_000502	ジャイアント・ホップル
IDS_PROPMOVER_TXT_000503	
IDS_PROPMOVER_TXT_000504	スモール・マッシュポワ
IDS_PROPMOVER_TXT_000505	
IDS_PROPMOVER_TXT_000506	マッシュポワ
IDS_PROPMOVER_TXT_000507	
IDS_PROPMOVER_TXT_000508	キャプテン・マッシュポワ
IDS_PROPMOVER_TXT_000509	
IDS_PROPMOVER_TXT_000510	ジャイアント・マッシュポワ
IDS_PROPMOVER_TXT_000511	
IDS_PROPMOVER_TXT_000512	スモール・アイレン
IDS_PROPMOVER_TXT_000513	
IDS_PROPMOVER_TXT_000514	アイレン
IDS_PROPMOVER_TXT_000515	
IDS_PROPMOVER_TXT_000516	キャプテン・アイレン
IDS_PROPMOVER_TXT_000517	
IDS_PROPMOVER_TXT_000518	ジャイアント・アイレン
IDS_PROPMOVER_TXT_000519	
IDS_PROPMOVER_TXT_000520	スモール・ワタングカ
IDS_PROPMOVER_TXT_000521	
IDS_PROPMOVER_TXT_000522	ワタングカ
IDS_PROPMOVER_TXT_000523	
IDS_PROPMOVER_TXT_000524	キャプテン・ワタングカ
IDS_PROPMOVER_TXT_000525	
IDS_PROPMOVER_TXT_000526	ジャイアント・ワタングカ
IDS_PROPMOVER_TXT_000527	
IDS_PROPMOVER_TXT_000528	スモール・アンティクエリー
IDS_PROPMOVER_TXT_000529	
IDS_PROPMOVER_TXT_000530	アンティクエリー
IDS_PROPMOVER_TXT_000531	
IDS_PROPMOVER_TXT_000532	キャプテン・アンティクエリー
IDS_PROPMOVER_TXT_000533	
IDS_PROPMOVER_TXT_000534	ジャイアント・アンティクエリー
IDS_PROPMOVER_TXT_000535	
IDS_PROPMOVER_TXT_000536	スモール・ルイア
IDS_PROPMOVER_TXT_000537	
IDS_PROPMOVER_TXT_000538	ルイア
IDS_PROPMOVER_TXT_000539	
IDS_PROPMOVER_TXT_000540	キャプテン・ルイア
IDS_PROPMOVER_TXT_000541	
IDS_PROPMOVER_TXT_000542	ジャイアント・ルイア
IDS_PROPMOVER_TXT_000543	
IDS_PROPMOVER_TXT_000544	スモール・ゴングリー
IDS_PROPMOVER_TXT_000545	
IDS_PROPMOVER_TXT_000546	ゴングリー
IDS_PROPMOVER_TXT_000547	
IDS_PROPMOVER_TXT_000548	キャプテン・ゴングリー
IDS_PROPMOVER_TXT_000549	
IDS_PROPMOVER_TXT_000550	ジャイアント・ゴングリー
IDS_PROPMOVER_TXT_000551	
IDS_PROPMOVER_TXT_000552	スモール・シューハンマー
IDS_PROPMOVER_TXT_000553	
IDS_PROPMOVER_TXT_000554	シューハンマー
IDS_PROPMOVER_TXT_000555	
IDS_PROPMOVER_TXT_000556	キャプテン・シューハンマー
IDS_PROPMOVER_TXT_000557	
IDS_PROPMOVER_TXT_000558	ジャイアント・シューハンマー
IDS_PROPMOVER_TXT_000559	
