IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000	エランパークス\n（ダーコン第1地区）
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000053	ヒルリド山脈の北部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000054	
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000055	勇気の谷の東部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000056	勇気の谷\nシヴァーモンスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000057	シヴァーモンスターの何かが隠されているという祭壇\n神秘なる不思議な力を持つ伝道師が存在します。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000058	セイントモーニング\nセイントホール
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000059	セイントモーニング最高峰の建築物で、5年の歳月をかけ建設されました。\nまた、内部には、シティーホールと総合研究所があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000060	セイントモーニング
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000061	セイントモーニング大陸の中心街です。\n過去2度に渡る戦争によって、フラリスから独立しました。\n貿易がとても盛んですが、穏やかな人が多く豊かな街です。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000062	セイントモーニング\nステーション
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000063	マドリガル最高峰の規模を誇るステーションです。\nセイントモーニングが、マドリガル貿易の中心となる一番の理由は、この港にあります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000064	セイントモーニング広場
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000065	セイントモーニングの市立広場です。\n市民達の憩い場であり、集う場所としても知られています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000066	セイントモーニング\nマドリガル歴史協会
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000067	マドリガルの歴史全てを管轄している機関で、\n歴史の研究を主としています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000068	フラリス\n謎の祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000069	何の為に創られた祭壇かは謎ですが、ここで採取した岩石は、\nある事件の証拠として使用できるようです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000070	～リシスの庭～
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000071	リシスの庭と呼ばれるところです。\n一時期は美しくて豊富なところでしたが、時計ゼンマイの分裂で廃墟となってしまいました。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000072	夢幻の砂漠
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000073	いくつかの石造建物が散在する砂漠地帯です。\n噂によると、この砂漠の下に神殿が埋められているそうです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000074	どこからか、土を掘っている音が聞こえてきます。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000075	夢幻の砂漠の入り口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000076	石造物がいっぱいの砂漠の入り口。誰によって造られたかは謎のままです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000077	ヒルリド山脈の南部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000078	セイントモーニングの屋根と呼ばれているヒルリド山脈の南部地帯\n夢幻の砂漠の入り口と沈黙の高原があります。　
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000079	沈黙の高原
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000080	セイントモーニングで、唯一飛行ができない地区です。\n調査団によると、とある原因により発生した強力な重力により、\nここを飛ぼうとしたらその重力によって墜落してしまうそうです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000081	シェードの丘
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000082	シェードなる人物が、1日で創ったと言われている伝説の丘\nセイントモーニングの人々は、彼がいにしえのピエロだろうと言っている。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000083	安全領域です。敵から保護されます。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000084	カボチャ男爵の居住地
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000085	セイントモーニングでの都市生活に飽き、移住して来た人たちが作った町です。\nしかし、奇妙な姿をしたカボチャモンスターの襲撃で、ひどい惨状となってしまいました。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000086	ヒルリド山脈の中部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000087	セイントモーニングの屋根と呼ばれているヒルリド山脈の中部地帯
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000088	マグミアント
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000089	ダーコンの中でも最も危険な溶岩地帯。\n有毒ガスが充満しているため、一般の人は立ち入りを禁じられています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000090	ジェスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000091	ジェスターの栄光を称えるため、作られた祭壇です。\n<ホメイト>という司祭がここを管理しています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000092	ブレッキン
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000093	かつては大規模なエランスの採掘場として賑わっていましたが、\nエランスの枯渇した今となっては、訪れる者がいない土地です。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000094	アリアンス
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000095	エランスの成分が水に溶け出し、幻想的な青い水で満たされています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000096	エンシェントツリー
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000097	マドリガルで最も巨大な古樹です。\nその神秘性により、古代マドリガルでは神として信仰を集めていました。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000098	デッドウィルダニス
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000099	地中から死のガス「ケルディラン」が吹き出す危険な土地です。\nここは、死に満たされています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000100	エンシェントナイト
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000101	地中から湧き出す不思議なエネルギーにより、\n植物が変異して巨大化した土地です。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000102	ラオラの家
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000103	大魔導師<ラオラ>の家です。\n周りは、神秘のオーラに包まれています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000104	レンジャーの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000105	レンジャーの栄光を称えるため、作られた祭壇です。\n<ルピン>という司祭がここを管理しています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000106	ヘルエットツリー
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000107	エランスの魔力を蓄えた木です。\nこの木の発する魔力により、辺り一帯が青く輝いています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000108	センディル西部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000109	ヘルエットの影響を受けて川が青く輝いています。\nまた、その魔力により大きなキノコ型の樹木が林立しています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000110	ヘルエット
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000111	エランスの影響により青い光が漂う地域です。\nエランスの魔力により異常な変異を遂げた生物が多数生息しています。\n西の端には、神秘的な樹木「ヘルエットツリー」があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000112	センディル中部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000113	正体の知れないエネルギーが湧き出る区域が存在する地域です。\n誰もその正体を知らず、また、知ることもできません。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000114	センディル東部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000115	キノコの突然変異種に囲まれた聖地、「ミレイ」があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000116	ミレイ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000117	巨大なキノコの突然変異種に囲まれた聖地です。\n英雄戦争の際に、ここで英雄が勝利をしたと伝えられています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000118	ガルディア
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000119	英雄の守護者が静かに見守っている場所です。\nここは、英雄達の最後の戦いがあったと言われています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000120	守護者の部屋
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000121	英雄の魂が眠る場所と言われています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000122	リングマスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000123	リングマスターのソウルスートンを保管する場所\nリングマスター英雄エーエンヌの崇拝者たちが\n毎年ここを巡礼する。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000124	エレメンターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000125	エレメンターのソウルスートンを保管する場所\nエレメンター英雄リルリッップの崇拝者たちが\n毎年ここを巡礼する。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000126	レンジャーの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000127	レンジャーのソウルスートンを保管する場所\nレンジャー英雄ハイナンの崇拝者たちが\n毎年ここを巡礼する。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000128	ビルポスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000129	ビルポスターのソウルスートンを保管する場所\nビルポスター英雄ロエンテルの崇拝者たちが\n毎年ここを巡礼する。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000130	ブレードの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000131	ブレードのソウルスートンを保管する場所\nブレード英雄へレンの崇拝者たちが\n毎年ここを巡礼する。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000132	ナイトの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000133	ナイトのソウルスートンを保管する場所\nナイト英雄ビレイアンの崇拝者たちが\n毎年ここを巡礼する。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000134	キオン傭兵団
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000135	テサルが導いているマドリガル最高の用兵団\n団員が多くわけではないが、一人一人がみんな最高の\n実力者で構成されている。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000136	ダーコン\n(ダーコン第2地区)
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000137	ダーコン大陸の行政都市\n機会の騒音のせいで、市民の大体が\n軟調を持っている。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000138	エイエンブルケーブ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000139	神ならざる人の手によって造られた洞窟\nクロックワーク戦争によって大陸は荒れ果て、\nミュータントモンスターがはびこるようになった。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000140	エイエンブルケーブ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000141	神ならざる人の手によって造られた洞窟\nクロックワーク戦争によって大陸は荒れ果て、\nミュータントモンスターがはびこるようになった。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000142	エイエンブルケーブ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000143	神ならざる人の手によって造られた洞窟\nクロックワーク戦争によって大陸は荒れ果て、\nミュータントモンスターがはびこるようになった。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000144	キプラ荒原
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000145	乱開発で自然環境が大分破壊された。\nエランス生産公団エランペクスがある。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000146	ゴウダン山脈
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000147	ダーコン大陸で最も広大な山脈
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000148	ゴウダン山脈
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000149	ダーコン大陸で最も広大な山脈
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000150	キプラ荒原
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000151	乱開発で自然環境が大分破壊された。\nエランス生産公団エランペクスがある。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000152	奈落～歯車の永久牢獄
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000153	クロックワークス戦争で負けたクロックワークスが\n封印されているケージ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000154	フラリスの天文台
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000155	賢者の館
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000156	セイントモーニング\n古代文書管理所
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000157	セイントモーニング\n双月の夜の小劇場
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000158	ネオ・ロードヴァンのアジト\n(ダーコン第1地区)
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000159	ジェスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000160	ムーの谷\n(ダーコン第3地区)
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000161	採集地域
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000162	採集地域
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000163	採集地域
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000164	アミナスダンジョンの入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000165	奈落のアミナスダンジョンの入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000166	モトラヌス・ベースキャンプ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000167	ハーモニンの入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000168	エスティア
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000169	グレイブヤード
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000170	エスティア
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000171	ドレイクダンジョン入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000172	ルイナスの丘入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000173	アトラスの丘入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000174	カイルルン草原
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000175	エルリウンタウン
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000176	ベヒモス神殿入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000177	ベヒモス神殿入口
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000178	カルガスダンジョン
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000179	ルエンデラキャンプ
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000180	バハラ砂漠
