IDS_PROPSKILL_TXT_000000	重擊
IDS_PROPSKILL_TXT_000093	藉助精靈的力量，使移動速度變快
IDS_PROPSKILL_TXT_000094	靈敏術
IDS_PROPSKILL_TXT_000095	藉助精靈的力量，提升迴避率
IDS_PROPSKILL_TXT_000096	第三眼
IDS_PROPSKILL_TXT_000097	藉助精靈的力量，提高命中率
IDS_PROPSKILL_TXT_000098	大怒神
IDS_PROPSKILL_TXT_000099	藉助精靈的力量瞬間爆發出威力
IDS_PROPSKILL_TXT_000100	風精的祝福
IDS_PROPSKILL_TXT_000101	讓對方的攻擊速度上升
IDS_PROPSKILL_TXT_000102	祝福的洗禮
IDS_PROPSKILL_TXT_000103	生命之水降臨在每個隊伍成員的身上，使所有的隊友回復大量的HP
IDS_PROPSKILL_TXT_000104	天神之戒
IDS_PROPSKILL_TXT_000105	對敵人施展一次，即可讓敵人受到的損害值變成兩倍
IDS_PROPSKILL_TXT_000106	天神之盾
IDS_PROPSKILL_TXT_000107	物理防禦力提升
IDS_PROPSKILL_TXT_000108	天神之護
IDS_PROPSKILL_TXT_000109	魔法防禦力提升
IDS_PROPSKILL_TXT_000110	攻擊強化
IDS_PROPSKILL_TXT_000111	物理攻擊力提升
IDS_PROPSKILL_TXT_000112	眾神的守護
IDS_PROPSKILL_TXT_000113	解除所有異常狀態
IDS_PROPSKILL_TXT_000114	戰士之歌
IDS_PROPSKILL_TXT_000115	吟唱戰歌，讓有效範圍內的隊友變成狂戰士
IDS_PROPSKILL_TXT_000116	神聖領域
IDS_PROPSKILL_TXT_000117	設置一個神聖的結界，讓進入結界的怪物持續受到傷害
IDS_PROPSKILL_TXT_000118	火龍拳
IDS_PROPSKILL_TXT_000119	拳頭冒出火花，同時往前衝刺進行強力的攻擊
IDS_PROPSKILL_TXT_000120	橫衝直撞
IDS_PROPSKILL_TXT_000121	進行直線性的範圍攻擊
IDS_PROPSKILL_TXT_000122	血之狂舞
IDS_PROPSKILL_TXT_000123	讓敵人嚴重出血，並有持續失血的效果
IDS_PROPSKILL_TXT_000124	百裂拳
IDS_PROPSKILL_TXT_000125	依照等級增加打擊數
IDS_PROPSKILL_TXT_000126	戰力強化
IDS_PROPSKILL_TXT_000127	限定時間內提升攻擊力，降低防禦力
IDS_PROPSKILL_TXT_000128	挑釁
IDS_PROPSKILL_TXT_000129	將敵人的防禦力降低，但卻會提升攻擊力
IDS_PROPSKILL_TXT_000130	波動拳
IDS_PROPSKILL_TXT_000131	將自己周圍的怪物, 利用氣的波動進行攻擊
IDS_PROPSKILL_TXT_000132	羅煞狂爆拳
IDS_PROPSKILL_TXT_000133	消耗所有的MP來製造最大的傷害
IDS_PROPSKILL_TXT_000134	火焰迴旋
IDS_PROPSKILL_TXT_000135	施展火屬性的魔法迴旋刀刃
IDS_PROPSKILL_TXT_000136	自體焚燒
IDS_PROPSKILL_TXT_000137	召喚熱氣來持續傷害對方
IDS_PROPSKILL_TXT_000138	疾風之刃
IDS_PROPSKILL_TXT_000139	施展風屬性魔法刀刃
IDS_PROPSKILL_TXT_000140	颶風爆
IDS_PROPSKILL_TXT_000141	施展強大颶風，將對方擊退
IDS_PROPSKILL_TXT_000142	風之傳送
IDS_PROPSKILL_TXT_000143	使用魔法之風瞬間移動到指定的地點 (指標範圍內)
IDS_PROPSKILL_TXT_000144	冰刃
IDS_PROPSKILL_TXT_000145	藉助水精靈的力量攻擊敵人
IDS_PROPSKILL_TXT_000146	電光球
IDS_PROPSKILL_TXT_000147	藉助雷精靈的力量攻擊敵人
IDS_PROPSKILL_TXT_000148	大地的懲罰
IDS_PROPSKILL_TXT_000149	藉助大地精靈的力量攻擊敵人， 一定機率內將敵人擊暈
IDS_PROPSKILL_TXT_000150	念力球
IDS_PROPSKILL_TXT_000151	集中精神力發動無屬性攻擊
IDS_PROPSKILL_TXT_000152	火神之怒
IDS_PROPSKILL_TXT_000153	發射強化的火球使敵人變成火燒狀態
IDS_PROPSKILL_TXT_000154	風刃之劍
IDS_PROPSKILL_TXT_000155	利用銳利的風刃來貫通敵人的身體
IDS_PROPSKILL_TXT_000156	水球術
IDS_PROPSKILL_TXT_000157	收集空氣中的水氣做成水球後發射
IDS_PROPSKILL_TXT_000158	水龍之柱
IDS_PROPSKILL_TXT_000159	召喚水柱攻擊對方，敵人的身體會持續維持被淋濕的狀態
IDS_PROPSKILL_TXT_000160	高壓電光球
IDS_PROPSKILL_TXT_000161	將雷電壓縮成球體後發射，並讓敵人受到強烈的傷害
IDS_PROPSKILL_TXT_000162	雷擊術
IDS_PROPSKILL_TXT_000163	看起來與一般攻擊一樣，但是施展後會讓敵人的身體持續被雷電包圍
IDS_PROPSKILL_TXT_000164	石神降臨
IDS_PROPSKILL_TXT_000165	召喚出巨大的石頭並丟向敵人，被打到的敵人身體會粉碎
IDS_PROPSKILL_TXT_000166	大地之手
IDS_PROPSKILL_TXT_000167	召喚大地精靈，並讓對方的動作封鎖起來
IDS_PROPSKILL_TXT_000168	心靈恐懼
IDS_PROPSKILL_TXT_000169	召喚出惡魔的幻影，使敵人心發恐慌來減弱攻擊力
IDS_PROPSKILL_TXT_000170	釘影術
IDS_PROPSKILL_TXT_000171	擾亂敵人的眼睛，使敵人暫時無法移動
IDS_PROPSKILL_TXT_000172	念力爆炸
IDS_PROPSKILL_TXT_000173	將精神力瞬間爆發後，發出強力的攻擊
IDS_PROPSKILL_TXT_000174	念力牆
IDS_PROPSKILL_TXT_000175	利用強大的念力，製造出一面隱形牆，使敵人無法靠近
IDS_PROPSKILL_TXT_000176	幻影冥魅
IDS_PROPSKILL_TXT_000177	依照自身的mp多寡來計算敵人所受到的傷害
IDS_PROPSKILL_TXT_000178	降頭魔咒
IDS_PROPSKILL_TXT_000179	針對魔法或技能的攻擊，將會以一定的機率把傷害值用兩倍的方式反擊回去
IDS_PROPSKILL_TXT_000180	命運輪盤
IDS_PROPSKILL_TXT_000181	對敵人發動命運輪盤，若敵人中了，將會受到強力的傷害，但是失敗時將會讓自己受到傷害
IDS_PROPSKILL_TXT_000182	絕對結界
IDS_PROPSKILL_TXT_000183	將敵人拉進自己的精神世界，使所有進入結界的敵人受到嚴重的傷害
IDS_PROPSKILL_TXT_000184	火鳳凰
IDS_PROPSKILL_TXT_000185	召喚火鳥對敵人進行火屬性攻擊
IDS_PROPSKILL_TXT_000186	火屬性研究
IDS_PROPSKILL_TXT_000187	提升火屬性的攻擊力
IDS_PROPSKILL_TXT_000188	火龍吐息
IDS_PROPSKILL_TXT_000189	在一定範圍內召喚出火燄，使敵人持續受到傷害
IDS_PROPSKILL_TXT_000190	天之裂痕
IDS_PROPSKILL_TXT_000191	施展強力的雷震，讓怪物受到強大的傷害
IDS_PROPSKILL_TXT_000192	雷屬性研究
IDS_PROPSKILL_TXT_000193	提升雷屬性的攻擊力
IDS_PROPSKILL_TXT_000194	雷鳴落震
IDS_PROPSKILL_TXT_000195	召喚出強烈的電磁場，使周圍所有的怪物受到攻擊，並引起麻痺使防禦力降低
IDS_PROPSKILL_TXT_000196	石槍術
IDS_PROPSKILL_TXT_000197	將銳利的石槍投向敵人
IDS_PROPSKILL_TXT_000198	地屬性研究
IDS_PROPSKILL_TXT_000199	提升地屬性的攻擊力
IDS_PROPSKILL_TXT_000200	天搖地動
IDS_PROPSKILL_TXT_000201	在一定範圍內製造大地震，使敵人受到傷害
IDS_PROPSKILL_TXT_000202	冰劍術
IDS_PROPSKILL_TXT_000203	將水氣凝聚成冰塊，投向對方進行攻擊
IDS_PROPSKILL_TXT_000204	水屬性研究
IDS_PROPSKILL_TXT_000205	提升水屬性的攻擊力
IDS_PROPSKILL_TXT_000206	毒雲密佈
IDS_PROPSKILL_TXT_000207	召喚毒雲，並使用風與毒進行攻擊
IDS_PROPSKILL_TXT_000208	真空之擊
IDS_PROPSKILL_TXT_000209	把對方的周圍變成真空狀態後，進行風屬性攻擊
IDS_PROPSKILL_TXT_000210	風屬性研究
IDS_PROPSKILL_TXT_000211	提升風屬性的攻擊力
IDS_PROPSKILL_TXT_000212	狂風怒吼
IDS_PROPSKILL_TXT_000213	有效時間內，將特定地區變成強風區域，使所有該區範圍內的敵人，移動速度變慢
IDS_PROPSKILL_TXT_000214	紅石星塵
IDS_PROPSKILL_TXT_000215	召喚隕石來攻擊周圍所有的敵人，使敵人受到火與地屬性的攻擊
IDS_PROPSKILL_TXT_000216	雷風狂襲
IDS_PROPSKILL_TXT_000217	讓周圍所有的敵人受到風與雷的攻擊
IDS_PROPSKILL_TXT_000218	沙塵風暴
IDS_PROPSKILL_TXT_000219	引發沙塵風暴，讓周圍所有的敵人受到風與地屬性的攻擊
IDS_PROPSKILL_TXT_000220	雪山崩塌
IDS_PROPSKILL_TXT_000221	引發雪崩，使周圍所有的敵人受到水與地屬性的攻擊，並有昏眩的效果
IDS_PROPSKILL_TXT_000222	溜刃研習
IDS_PROPSKILL_TXT_000223	增加溜刃的攻擊力
IDS_PROPSKILL_TXT_000224	弓箭研習
IDS_PROPSKILL_TXT_000225	增加弓箭的攻擊力
IDS_PROPSKILL_TXT_000226	幻影術
IDS_PROPSKILL_TXT_000227	施展出幻影，並隱身黑暗處
IDS_PROPSKILL_TXT_000228	亂箭射殺
IDS_PROPSKILL_TXT_000229	沒有指定的目標，隨意發射箭
IDS_PROPSKILL_TXT_000230	加速術
IDS_PROPSKILL_TXT_000231	增加移動速度
IDS_PROPSKILL_TXT_000232	狙擊
IDS_PROPSKILL_TXT_000233	機率性的發射出兩倍攻擊力且精準的箭
IDS_PROPSKILL_TXT_000234	緩速術
IDS_PROPSKILL_TXT_000235	使對方的移動速度與攻擊速度變低
IDS_PROPSKILL_TXT_000236	沉默射擊
IDS_PROPSKILL_TXT_000237	必須在幻影術的狀態下施展，施展後幻影術的狀態會被解除
IDS_PROPSKILL_TXT_000238	絕對防禦
IDS_PROPSKILL_TXT_000239	隔擋率上升
IDS_PROPSKILL_TXT_000240	箭雨
IDS_PROPSKILL_TXT_000241	向天空發射箭矢，使箭矢像雨般降落在敵人的頭上
IDS_PROPSKILL_TXT_000242	十字爆氣
IDS_PROPSKILL_TXT_000243	集中溜刃的氣，發射強大的爆擊
IDS_PROPSKILL_TXT_000244	自動射擊
IDS_PROPSKILL_TXT_000245	定點連續發射箭矢，有一定的機率可使敵人中暗黑屬性傷害
IDS_PROPSKILL_TXT_000246	強奪
IDS_PROPSKILL_TXT_000247	只能在對方的背後施展，且需在幻影術狀態之下才可做使用。使用後，會有一定的機率偷竊金幣以及給予致命的傷害值
IDS_PROPSKILL_TXT_000248	逆襲
IDS_PROPSKILL_TXT_000249	迴避一次的攻擊，並強力的反擊對方
IDS_PROPSKILL_TXT_000250	致命之舞
IDS_PROPSKILL_TXT_000251	可讓敵人受到致命的攻擊，並持續的出血
IDS_PROPSKILL_TXT_000252	零距離
IDS_PROPSKILL_TXT_000253	利用溜刃把對方拉到自己的前面
IDS_PROPSKILL_TXT_000254	爆擊之舞
IDS_PROPSKILL_TXT_000255	增加溜刃的爆擊率
IDS_PROPSKILL_TXT_000256	毒性溜溜
IDS_PROPSKILL_TXT_000257	在溜刃上追加毒屬性使攻擊力提升，有一定機率使敵人中毒
IDS_PROPSKILL_TXT_000258	出血
IDS_PROPSKILL_TXT_000259	在溜刃上追加致命的屬性，使敵人受到持續性的傷害
IDS_PROPSKILL_TXT_000260	吸血溜溜
IDS_PROPSKILL_TXT_000261	在溜刃上追加吸血的效果，並且提升攻擊力，可追加吸收對方HP的效果
IDS_PROPSKILL_TXT_000262	背後突襲
IDS_PROPSKILL_TXT_000263	必須在敵人的背後使用此技能，施展後可機率性的使敵人短暫暈眩
IDS_PROPSKILL_TXT_000264	砸錢攻擊
IDS_PROPSKILL_TXT_000265	無視防禦力的進行攻擊，打擊出多少傷害值，就必須付出相同數值的金幣。
IDS_PROPSKILL_TXT_000266	逃脫
IDS_PROPSKILL_TXT_000267	解除自己移動速度變慢的狀態
IDS_PROPSKILL_TXT_000268	投魂一擊
IDS_PROPSKILL_TXT_000269	使用幻影術的狀態之下，解除幻影術的同時使用才可施展成功。有爆擊的傷害力，並且在一定機率下，使出雙倍攻擊
IDS_PROPSKILL_TXT_000270	光速射擊
IDS_PROPSKILL_TXT_000271	限制時間內，使射擊弓箭的速度變快
IDS_PROPSKILL_TXT_000272	冰箭
IDS_PROPSKILL_TXT_000273	具有爆發的威力，可讓周圍的所有怪物受到冷氣的傷害，並且有使敵人的速度遲緩的追加效果
IDS_PROPSKILL_TXT_000274	聖火之箭
IDS_PROPSKILL_TXT_000275	區域攻擊法術，具有爆發的威力，並且像火龍吐息般，使敵人持續受到火的傷害
IDS_PROPSKILL_TXT_000276	箭矢貫通
IDS_PROPSKILL_TXT_000277	貫通目標，並讓縱向的所有敵人都受到傷害
IDS_PROPSKILL_TXT_000278	毒箭
IDS_PROPSKILL_TXT_000279	讓對方感染毒，並且持續的受到傷害
IDS_PROPSKILL_TXT_000280	沉默之箭
IDS_PROPSKILL_TXT_000281	進行強力的攻擊，並且追加沉默的效果（中了沉默狀態就無法使用魔法）
IDS_PROPSKILL_TXT_000282	自然之道
IDS_PROPSKILL_TXT_000283	提升屬性魔法的抵抗力
IDS_PROPSKILL_TXT_000284	三連矢
IDS_PROPSKILL_TXT_000285	一次發射三支箭，使威力增強
IDS_PROPSKILL_TXT_000286	閃光彈
IDS_PROPSKILL_TXT_000287	讓眼睛無法睜開
IDS_PROPSKILL_TXT_000288	定身(單)
IDS_PROPSKILL_TXT_000289	無法移動的狀態
IDS_PROPSKILL_TXT_000290	定身(雙)
IDS_PROPSKILL_TXT_000291	無法移動的狀態
IDS_PROPSKILL_TXT_000292	傷害
IDS_PROPSKILL_TXT_000293	
IDS_PROPSKILL_TXT_000294	逆襲攻擊
IDS_PROPSKILL_TXT_000295	等待敵人的攻擊後，使用敵人的縫隙攻擊
IDS_PROPSKILL_TXT_000296	推出
IDS_PROPSKILL_TXT_000297	退倒敵人
IDS_PROPSKILL_TXT_000298	火龍吐息
IDS_PROPSKILL_TXT_000299	在一定範圍內召喚出火燄，使敵人持續受到傷害
IDS_PROPSKILL_TXT_000300	一般毒
IDS_PROPSKILL_TXT_000301	在一定的時間內，受到毒的攻擊
IDS_PROPSKILL_TXT_000302	擊暈
IDS_PROPSKILL_TXT_000303	無法移動的狀態
IDS_PROPSKILL_TXT_000304	出血
IDS_PROPSKILL_TXT_000305	在一定的時間內，受到出血的攻擊
IDS_PROPSKILL_TXT_000306	吸血
IDS_PROPSKILL_TXT_000307	無法移動的狀態
IDS_PROPSKILL_TXT_000308	Swordcross
IDS_PROPSKILL_TXT_000309	
IDS_PROPSKILL_TXT_000310	毒針
IDS_PROPSKILL_TXT_000311	在一定的時間內，受到毒的攻擊
IDS_PROPSKILL_TXT_000312	出血
IDS_PROPSKILL_TXT_000313	在一定的時間內，受到出血的攻擊
IDS_PROPSKILL_TXT_000314	降速
IDS_PROPSKILL_TXT_000315	降低攻擊速度與施展速度
IDS_PROPSKILL_TXT_000316	降速
IDS_PROPSKILL_TXT_000317	降低攻擊速度與施展速度
IDS_PROPSKILL_TXT_000318	定身(雙)
IDS_PROPSKILL_TXT_000319	無法移動的狀態
IDS_PROPSKILL_TXT_000320	魔音傳腦
IDS_PROPSKILL_TXT_000321	施展後造成目標中毒效果，並維持一段時間
IDS_PROPSKILL_TXT_000322	定身(雙)
IDS_PROPSKILL_TXT_000323	無法移動的狀態
IDS_PROPSKILL_TXT_000324	毒菇菇的瘋狂
IDS_PROPSKILL_TXT_000325	增加攻擊力與攻擊速度
IDS_PROPSKILL_TXT_000326	樹皮的保護
IDS_PROPSKILL_TXT_000327	被樹皮保護著，將低對物理的攻擊
IDS_PROPSKILL_TXT_000328	解除BUFF
IDS_PROPSKILL_TXT_000329	
IDS_PROPSKILL_TXT_000330	解除BUFF X
IDS_PROPSKILL_TXT_000331	
IDS_PROPSKILL_TXT_000332	Buff作用
IDS_PROPSKILL_TXT_000333	
IDS_PROPSKILL_TXT_000334	暴風防禦
IDS_PROPSKILL_TXT_000335	防禦力會暴增，但是無法移動。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000336	拖曳之術
IDS_PROPSKILL_TXT_000337	可以把對方拉到自己的面前。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000338	沉默之術
IDS_PROPSKILL_TXT_000339	中此狀態者，無法使用魔法技能。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000340	鷹之眼
IDS_PROPSKILL_TXT_000341	增加弓箭攻擊的距離。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000342	弱化魔抗
IDS_PROPSKILL_TXT_000343	降低對方魔法防禦力50%。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000344	石化之術
IDS_PROPSKILL_TXT_000345	中此狀態者呈現石化狀態，無法進行任何動作。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000346	相消 
IDS_PROPSKILL_TXT_000347	刪除對方的援助技能。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000348	歸還
IDS_PROPSKILL_TXT_000349	移動至鄰近的村莊。(MP和FP全滿才能發動本技能,施展技能後MP和FP消耗到0)
IDS_PROPSKILL_TXT_000350	火傷
IDS_PROPSKILL_TXT_000351	在一定時間內，受到持續性的傷害。
IDS_PROPSKILL_TXT_000352	單手武器精通
IDS_PROPSKILL_TXT_000353	裝備單手武器時，攻擊力上升。
IDS_PROPSKILL_TXT_000354	雙手武器精通
IDS_PROPSKILL_TXT_000355	裝備雙手武器時，攻擊力上升。
IDS_PROPSKILL_TXT_000356	溜刃武器精通
IDS_PROPSKILL_TXT_000357	裝備溜刃時，攻擊力上升。
IDS_PROPSKILL_TXT_000358	弓箭武器精通
IDS_PROPSKILL_TXT_000359	裝備弓箭時，攻擊力上升。
IDS_PROPSKILL_TXT_000360	智力修練精通
IDS_PROPSKILL_TXT_000361	提昇自己的智力。
IDS_PROPSKILL_TXT_000362	智力修練精通
IDS_PROPSKILL_TXT_000363	提昇自己的智力。
IDS_PROPSKILL_TXT_000364	拳套武器精通
IDS_PROPSKILL_TXT_000365	裝備拳套時，攻擊力上升。
IDS_PROPSKILL_TXT_000366	賢者的祝福
IDS_PROPSKILL_TXT_000367	一定的機率，刪除團員的封鎖。
IDS_PROPSKILL_TXT_000368	風精之舞(活動用)
IDS_PROPSKILL_TXT_000369	提昇對方移動速度
IDS_PROPSKILL_TXT_000370	風精的祝福(活動用)
IDS_PROPSKILL_TXT_000371	提昇對方攻擊速度
IDS_PROPSKILL_TXT_000372	強化述(活動用)
IDS_PROPSKILL_TXT_000373	提昇對方體力
IDS_PROPSKILL_TXT_000374	第三眼(活動用)
IDS_PROPSKILL_TXT_000375	提昇對方命中率
IDS_PROPSKILL_TXT_000376	虜獲獵物
IDS_PROPSKILL_TXT_000377	讓對方移動到自己前面，使仇恨值增加。但是仇恨值只作用在仇恨直相關的怪物身上。
IDS_PROPSKILL_TXT_000378	聖怒爆擊
IDS_PROPSKILL_TXT_000379	給予對方重重的傷害。
IDS_PROPSKILL_TXT_000380	破滅盾擊
IDS_PROPSKILL_TXT_000381	用盾牌打擊對方，在一定機率下會使其陷入昏厥狀態。
IDS_PROPSKILL_TXT_000382	挑釁
IDS_PROPSKILL_TXT_000383	誘發對方的憤怒，使仇恨值提高。但是仇恨值只作用在仇恨直相關的怪物身上。
IDS_PROPSKILL_TXT_000384	神聖屏障
IDS_PROPSKILL_TXT_000385	施展者的防禦力在 5分鐘內大幅提升。
IDS_PROPSKILL_TXT_000386	聖光毀滅
IDS_PROPSKILL_TXT_000387	讓施展者周圍的所有敵人受到傷害。
IDS_PROPSKILL_TXT_000388	十字暗襲
IDS_PROPSKILL_TXT_000389	給予被選擇的對象重重的傷害。
IDS_PROPSKILL_TXT_000390	幻影風暴
IDS_PROPSKILL_TXT_000391	讓施展者周維的多數敵人受到傷害。
IDS_PROPSKILL_TXT_000392	強襲姿態
IDS_PROPSKILL_TXT_000393	施展者的攻擊力在 5分鐘內大幅提升。
IDS_PROPSKILL_TXT_000394	風之怒
IDS_PROPSKILL_TXT_000395	給予對方重重的傷害。
IDS_PROPSKILL_TXT_000396	影之步
IDS_PROPSKILL_TXT_000397	施展者的隔擋率在 5分鐘內提升。
IDS_PROPSKILL_TXT_000398	隼之銳
IDS_PROPSKILL_TXT_000399	施展者的命中率在 5分鐘內提升。
IDS_PROPSKILL_TXT_000400	奇襲
IDS_PROPSKILL_TXT_000401	在對方的背後進行襲擊攻擊。
IDS_PROPSKILL_TXT_000402	獵鷹突襲
IDS_PROPSKILL_TXT_000403	讓對方周便的所有人受到傷害。
IDS_PROPSKILL_TXT_000404	射手狂熱
IDS_PROPSKILL_TXT_000405	施展者的攻擊力在 5分鐘內大幅提升。
IDS_PROPSKILL_TXT_000406	射手靈魂
IDS_PROPSKILL_TXT_000407	施展者的命中率在 5分鐘內提升。
IDS_PROPSKILL_TXT_000408	鷹眼
