IDS_PROPITEM_TXT_000000	一般
IDS_PROPITEM_TXT_000104	銀狼環長劍
IDS_PROPITEM_TXT_000105	
IDS_PROPITEM_TXT_000106	龍麟長劍
IDS_PROPITEM_TXT_000107	
IDS_PROPITEM_TXT_000108	皮銨長劍
IDS_PROPITEM_TXT_000109	
IDS_PROPITEM_TXT_000110	天山長劍
IDS_PROPITEM_TXT_000111	
IDS_PROPITEM_TXT_000112	瑪斯特長劍
IDS_PROPITEM_TXT_000113	
IDS_PROPITEM_TXT_000114	魯娜兵劍
IDS_PROPITEM_TXT_000115	
IDS_PROPITEM_TXT_000116	月魂冰劍
IDS_PROPITEM_TXT_000117	
IDS_PROPITEM_TXT_000118	雷紋之劍
IDS_PROPITEM_TXT_000119	
IDS_PROPITEM_TXT_000120	俠客風之劍
IDS_PROPITEM_TXT_000121	
IDS_PROPITEM_TXT_000122	卡臨斧
IDS_PROPITEM_TXT_000123	
IDS_PROPITEM_TXT_000124	羅德尼斧
IDS_PROPITEM_TXT_000125	
IDS_PROPITEM_TXT_000126	鋼斧
IDS_PROPITEM_TXT_000127	
IDS_PROPITEM_TXT_000128	摩羅斧
IDS_PROPITEM_TXT_000129	
IDS_PROPITEM_TXT_000130	克雷寧斧
IDS_PROPITEM_TXT_000131	
IDS_PROPITEM_TXT_000132	雷格斧
IDS_PROPITEM_TXT_000133	
IDS_PROPITEM_TXT_000134	塞比勒斧
IDS_PROPITEM_TXT_000135	
IDS_PROPITEM_TXT_000136	薩丁斧
IDS_PROPITEM_TXT_000137	
IDS_PROPITEM_TXT_000138	勾崙斧
IDS_PROPITEM_TXT_000139	
IDS_PROPITEM_TXT_000140	希爾斧
IDS_PROPITEM_TXT_000141	
IDS_PROPITEM_TXT_000142	貝因斧
IDS_PROPITEM_TXT_000143	
IDS_PROPITEM_TXT_000144	戈朗斧
IDS_PROPITEM_TXT_000145	
IDS_PROPITEM_TXT_000146	土伶斧
IDS_PROPITEM_TXT_000147	
IDS_PROPITEM_TXT_000148	德隆斧
IDS_PROPITEM_TXT_000149	
IDS_PROPITEM_TXT_000150	馬歐斧
IDS_PROPITEM_TXT_000151	
IDS_PROPITEM_TXT_000152	普羅昂斧
IDS_PROPITEM_TXT_000153	
IDS_PROPITEM_TXT_000154	珮特爾斧
IDS_PROPITEM_TXT_000155	
IDS_PROPITEM_TXT_000156	可琳斧
IDS_PROPITEM_TXT_000157	
IDS_PROPITEM_TXT_000158	艾森斧
IDS_PROPITEM_TXT_000159	
IDS_PROPITEM_TXT_000160	戈洛奧斧
IDS_PROPITEM_TXT_000161	
IDS_PROPITEM_TXT_000162	沃斧
IDS_PROPITEM_TXT_000163	
IDS_PROPITEM_TXT_000164	艾貝雷
IDS_PROPITEM_TXT_000165	
IDS_PROPITEM_TXT_000166	扎伊魯斧
IDS_PROPITEM_TXT_000167	
IDS_PROPITEM_TXT_000168	波肯斧
IDS_PROPITEM_TXT_000169	
IDS_PROPITEM_TXT_000170	海拉斯斧
IDS_PROPITEM_TXT_000171	
IDS_PROPITEM_TXT_000172	亞德林斧
IDS_PROPITEM_TXT_000173	
IDS_PROPITEM_TXT_000174	凱樂士斧
IDS_PROPITEM_TXT_000175	
IDS_PROPITEM_TXT_000176	幽靈之斧
IDS_PROPITEM_TXT_000177	
IDS_PROPITEM_TXT_000178	金鈍斧
IDS_PROPITEM_TXT_000179	
IDS_PROPITEM_TXT_000180	蝴蝶斧
IDS_PROPITEM_TXT_000181	
IDS_PROPITEM_TXT_000182	肯堤士斧
IDS_PROPITEM_TXT_000183	
IDS_PROPITEM_TXT_000184	雷西亞斧
IDS_PROPITEM_TXT_000185	
IDS_PROPITEM_TXT_000186	石鞘斧
IDS_PROPITEM_TXT_000187	
IDS_PROPITEM_TXT_000188	艾西特斧
IDS_PROPITEM_TXT_000189	
IDS_PROPITEM_TXT_000190	普羅斯斧
IDS_PROPITEM_TXT_000191	
IDS_PROPITEM_TXT_000192	綺繽斧
IDS_PROPITEM_TXT_000193	
IDS_PROPITEM_TXT_000194	狄畢納斧
IDS_PROPITEM_TXT_000195	
IDS_PROPITEM_TXT_000196	鬼器斧
IDS_PROPITEM_TXT_000197	
IDS_PROPITEM_TXT_000198	坎培諾斧
IDS_PROPITEM_TXT_000199	
IDS_PROPITEM_TXT_000200	綠咒之斧
IDS_PROPITEM_TXT_000201	
IDS_PROPITEM_TXT_000202	柏德斧
IDS_PROPITEM_TXT_000203	
IDS_PROPITEM_TXT_000204	翡翠之斧
IDS_PROPITEM_TXT_000205	
IDS_PROPITEM_TXT_000206	德蘭伊斧
IDS_PROPITEM_TXT_000207	
IDS_PROPITEM_TXT_000208	柯羅斧
IDS_PROPITEM_TXT_000209	
IDS_PROPITEM_TXT_000210	伏萊魔斧
IDS_PROPITEM_TXT_000211	
IDS_PROPITEM_TXT_000212	水鏈斧
IDS_PROPITEM_TXT_000213	
IDS_PROPITEM_TXT_000214	瑞奇斧
IDS_PROPITEM_TXT_000215	
IDS_PROPITEM_TXT_000216	馬克斧
IDS_PROPITEM_TXT_000217	
IDS_PROPITEM_TXT_000218	巴斯塔劍
IDS_PROPITEM_TXT_000219	
IDS_PROPITEM_TXT_000220	雙手劍
IDS_PROPITEM_TXT_000221	
IDS_PROPITEM_TXT_000222	闇幽劍
IDS_PROPITEM_TXT_000223	
IDS_PROPITEM_TXT_000224	艾德提劍
IDS_PROPITEM_TXT_000225	
IDS_PROPITEM_TXT_000226	扎古劍
IDS_PROPITEM_TXT_000227	
IDS_PROPITEM_TXT_000228	卡雷恩劍
IDS_PROPITEM_TXT_000229	
IDS_PROPITEM_TXT_000230	古提尼劍
IDS_PROPITEM_TXT_000231	
IDS_PROPITEM_TXT_000232	赫云坦傑劍
IDS_PROPITEM_TXT_000233	
IDS_PROPITEM_TXT_000234	時空斬
IDS_PROPITEM_TXT_000235	
IDS_PROPITEM_TXT_000236	雙手斧
IDS_PROPITEM_TXT_000237	
IDS_PROPITEM_TXT_000238	葛雷特斧
IDS_PROPITEM_TXT_000239	
IDS_PROPITEM_TXT_000240	克格斧
IDS_PROPITEM_TXT_000241	
IDS_PROPITEM_TXT_000242	羅克尼斧
IDS_PROPITEM_TXT_000243	
IDS_PROPITEM_TXT_000244	歐伯納斧
IDS_PROPITEM_TXT_000245	
IDS_PROPITEM_TXT_000246	卡奈斧
IDS_PROPITEM_TXT_000247	
IDS_PROPITEM_TXT_000248	獸人斧
IDS_PROPITEM_TXT_000249	
IDS_PROPITEM_TXT_000250	里伶斧
IDS_PROPITEM_TXT_000251	
IDS_PROPITEM_TXT_000252	哈德斧
IDS_PROPITEM_TXT_000253	
IDS_PROPITEM_TXT_000254	玫思法棒
IDS_PROPITEM_TXT_000255	
IDS_PROPITEM_TXT_000256	普林法棒
IDS_PROPITEM_TXT_000257	
IDS_PROPITEM_TXT_000258	席琳法棒
IDS_PROPITEM_TXT_000259	
IDS_PROPITEM_TXT_000260	斯克爾法棒
IDS_PROPITEM_TXT_000261	
IDS_PROPITEM_TXT_000262	帝姆法棒
IDS_PROPITEM_TXT_000263	
IDS_PROPITEM_TXT_000264	休伊法棒
IDS_PROPITEM_TXT_000265	
IDS_PROPITEM_TXT_000266	貝尼法棒
IDS_PROPITEM_TXT_000267	
IDS_PROPITEM_TXT_000268	米洛法棒
IDS_PROPITEM_TXT_000269	
IDS_PROPITEM_TXT_000270	史雷爾法棒
IDS_PROPITEM_TXT_000271	
IDS_PROPITEM_TXT_000272	塞伊法棒
IDS_PROPITEM_TXT_000273	
IDS_PROPITEM_TXT_000274	珮羅法棒
IDS_PROPITEM_TXT_000275	
IDS_PROPITEM_TXT_000276	神聖法棒
IDS_PROPITEM_TXT_000277	
IDS_PROPITEM_TXT_000278	光影法棒
IDS_PROPITEM_TXT_000279	
IDS_PROPITEM_TXT_000280	普羅里法棒
IDS_PROPITEM_TXT_000281	
IDS_PROPITEM_TXT_000282	凱因法棒
IDS_PROPITEM_TXT_000283	
IDS_PROPITEM_TXT_000284	奈格斯法棒
IDS_PROPITEM_TXT_000285	
IDS_PROPITEM_TXT_000286	瓦卡法棒
IDS_PROPITEM_TXT_000287	
IDS_PROPITEM_TXT_000288	模溯法棒
IDS_PROPITEM_TXT_000289	
IDS_PROPITEM_TXT_000290	海因法棒
IDS_PROPITEM_TXT_000291	
IDS_PROPITEM_TXT_000292	席茲法棒
IDS_PROPITEM_TXT_000293	
IDS_PROPITEM_TXT_000294	珮玻冥法棒
IDS_PROPITEM_TXT_000295	
IDS_PROPITEM_TXT_000296	夕萊因法棒
IDS_PROPITEM_TXT_000297	
IDS_PROPITEM_TXT_000298	翌斯特林法棒
IDS_PROPITEM_TXT_000299	
IDS_PROPITEM_TXT_000300	皮諾克法棒
IDS_PROPITEM_TXT_000301	
IDS_PROPITEM_TXT_000302	魔拉法棒
IDS_PROPITEM_TXT_000303	
IDS_PROPITEM_TXT_000304	雷普法棒
IDS_PROPITEM_TXT_000305	
IDS_PROPITEM_TXT_000306	櫻桃法棒
IDS_PROPITEM_TXT_000307	
IDS_PROPITEM_TXT_000308	幻夢法棒
IDS_PROPITEM_TXT_000309	
IDS_PROPITEM_TXT_000310	珮爾麻因法棒
IDS_PROPITEM_TXT_000311	
IDS_PROPITEM_TXT_000312	魔藍迪法棒
IDS_PROPITEM_TXT_000313	
IDS_PROPITEM_TXT_000314	巴魯法棒
IDS_PROPITEM_TXT_000315	
IDS_PROPITEM_TXT_000316	巴哈斯法棒
IDS_PROPITEM_TXT_000317	
IDS_PROPITEM_TXT_000318	咕嚕法棒
IDS_PROPITEM_TXT_000319	
IDS_PROPITEM_TXT_000320	藍犽法棒
IDS_PROPITEM_TXT_000321	
IDS_PROPITEM_TXT_000322	天音法棒
IDS_PROPITEM_TXT_000323	
IDS_PROPITEM_TXT_000324	神曲法棒
IDS_PROPITEM_TXT_000325	
IDS_PROPITEM_TXT_000326	碧德琳法棒
IDS_PROPITEM_TXT_000327	
IDS_PROPITEM_TXT_000328	奧魯法棒
IDS_PROPITEM_TXT_000329	
IDS_PROPITEM_TXT_000330	星冰樂法棒
IDS_PROPITEM_TXT_000331	
IDS_PROPITEM_TXT_000332	六角法棒
IDS_PROPITEM_TXT_000333	
IDS_PROPITEM_TXT_000334	蘿莉法棒
IDS_PROPITEM_TXT_000335	
IDS_PROPITEM_TXT_000336	紫荊法棒
IDS_PROPITEM_TXT_000337	
IDS_PROPITEM_TXT_000338	馬雷特法棒
IDS_PROPITEM_TXT_000339	
IDS_PROPITEM_TXT_000340	格雷因法棒
IDS_PROPITEM_TXT_000341	
IDS_PROPITEM_TXT_000342	克羅司法杖
IDS_PROPITEM_TXT_000343	
IDS_PROPITEM_TXT_000344	席爾法杖
IDS_PROPITEM_TXT_000345	
IDS_PROPITEM_TXT_000346	水晶法杖
IDS_PROPITEM_TXT_000347	
IDS_PROPITEM_TXT_000348	鑽晶法杖
IDS_PROPITEM_TXT_000349	
IDS_PROPITEM_TXT_000350	粉嫩法杖
IDS_PROPITEM_TXT_000351	
IDS_PROPITEM_TXT_000352	愛圮法杖
IDS_PROPITEM_TXT_000353	
IDS_PROPITEM_TXT_000354	托帕茲法杖
IDS_PROPITEM_TXT_000355	
IDS_PROPITEM_TXT_000356	尼茲法杖
IDS_PROPITEM_TXT_000357	
IDS_PROPITEM_TXT_000358	貓眼法杖
IDS_PROPITEM_TXT_000359	
IDS_PROPITEM_TXT_000360	翡翠法杖
IDS_PROPITEM_TXT_000361	
IDS_PROPITEM_TXT_000362	染血法杖
IDS_PROPITEM_TXT_000363	
IDS_PROPITEM_TXT_000364	卡利斯法杖
IDS_PROPITEM_TXT_000365	
IDS_PROPITEM_TXT_000366	梅樂法杖
IDS_PROPITEM_TXT_000367	
IDS_PROPITEM_TXT_000368	波利法杖
IDS_PROPITEM_TXT_000369	
IDS_PROPITEM_TXT_000370	奧羅拉法杖
IDS_PROPITEM_TXT_000371	
IDS_PROPITEM_TXT_000372	梅卡西法杖
IDS_PROPITEM_TXT_000373	
IDS_PROPITEM_TXT_000374	歐佩法杖
IDS_PROPITEM_TXT_000375	
IDS_PROPITEM_TXT_000376	那茲法杖
IDS_PROPITEM_TXT_000377	
IDS_PROPITEM_TXT_000378	迷思提法杖
IDS_PROPITEM_TXT_000379	
IDS_PROPITEM_TXT_000380	傑琳法杖
IDS_PROPITEM_TXT_000381	
IDS_PROPITEM_TXT_000382	七彩法杖
IDS_PROPITEM_TXT_000383	
IDS_PROPITEM_TXT_000384	彩虹法杖
IDS_PROPITEM_TXT_000385	
IDS_PROPITEM_TXT_000386	紫瑩法杖
IDS_PROPITEM_TXT_000387	
IDS_PROPITEM_TXT_000388	司波海伊法杖
IDS_PROPITEM_TXT_000389	
IDS_PROPITEM_TXT_000390	耶魯傑法杖
IDS_PROPITEM_TXT_000391	
IDS_PROPITEM_TXT_000392	米拉吉法杖
IDS_PROPITEM_TXT_000393	
IDS_PROPITEM_TXT_000394	聖潔法杖
IDS_PROPITEM_TXT_000395	
IDS_PROPITEM_TXT_000396	亞利斯法杖
IDS_PROPITEM_TXT_000397	
IDS_PROPITEM_TXT_000398	迪巴因法杖
IDS_PROPITEM_TXT_000399	
IDS_PROPITEM_TXT_000400	雅瑪法杖
IDS_PROPITEM_TXT_000401	
IDS_PROPITEM_TXT_000402	內波勒斯法杖
IDS_PROPITEM_TXT_000403	
IDS_PROPITEM_TXT_000404	亞哪迪爾法杖
IDS_PROPITEM_TXT_000405	
IDS_PROPITEM_TXT_000406	熔岩法杖
IDS_PROPITEM_TXT_000407	
IDS_PROPITEM_TXT_000408	魂妖法杖
IDS_PROPITEM_TXT_000409	
IDS_PROPITEM_TXT_000410	蔓陀法杖
IDS_PROPITEM_TXT_000411	
IDS_PROPITEM_TXT_000412	冰滴法杖
IDS_PROPITEM_TXT_000413	
IDS_PROPITEM_TXT_000414	幸運法杖
IDS_PROPITEM_TXT_000415	
IDS_PROPITEM_TXT_000416	藍楪法杖
IDS_PROPITEM_TXT_000417	
IDS_PROPITEM_TXT_000418	庫洛斯法杖
IDS_PROPITEM_TXT_000419	
IDS_PROPITEM_TXT_000420	迷思法杖
IDS_PROPITEM_TXT_000421	
IDS_PROPITEM_TXT_000422	旋風法杖
IDS_PROPITEM_TXT_000423	
IDS_PROPITEM_TXT_000424	挪吒法杖
IDS_PROPITEM_TXT_000425	
IDS_PROPITEM_TXT_000426	太陽法杖
IDS_PROPITEM_TXT_000427	
IDS_PROPITEM_TXT_000428	嚕啦啦法杖
IDS_PROPITEM_TXT_000429	
IDS_PROPITEM_TXT_000430	克倫權杖
IDS_PROPITEM_TXT_000431	
IDS_PROPITEM_TXT_000432	麻伊權杖
IDS_PROPITEM_TXT_000433	
IDS_PROPITEM_TXT_000434	塞伊文權杖
IDS_PROPITEM_TXT_000435	
IDS_PROPITEM_TXT_000436	德拉權杖
IDS_PROPITEM_TXT_000437	
IDS_PROPITEM_TXT_000438	羅黛蒂權杖
IDS_PROPITEM_TXT_000439	
IDS_PROPITEM_TXT_000440	因內司權杖
IDS_PROPITEM_TXT_000441	
IDS_PROPITEM_TXT_000442	希爾權杖
IDS_PROPITEM_TXT_000443	
IDS_PROPITEM_TXT_000444	海樂得權杖
IDS_PROPITEM_TXT_000445	
IDS_PROPITEM_TXT_000446	艾古權杖
IDS_PROPITEM_TXT_000447	
IDS_PROPITEM_TXT_000448	艾德雪普權杖
IDS_PROPITEM_TXT_000449	
IDS_PROPITEM_TXT_000450	索雷德權杖
IDS_PROPITEM_TXT_000451	
IDS_PROPITEM_TXT_000452	薩因權杖
IDS_PROPITEM_TXT_000453	
IDS_PROPITEM_TXT_000454	司派特權杖
IDS_PROPITEM_TXT_000455	
IDS_PROPITEM_TXT_000456	伊葛妮絲權杖
IDS_PROPITEM_TXT_000457	
IDS_PROPITEM_TXT_000458	傑西權杖
IDS_PROPITEM_TXT_000459	
IDS_PROPITEM_TXT_000460	汰巴權杖
IDS_PROPITEM_TXT_000461	
IDS_PROPITEM_TXT_000462	克斯摩斯權杖
IDS_PROPITEM_TXT_000463	
IDS_PROPITEM_TXT_000464	格拉雷權杖
IDS_PROPITEM_TXT_000465	
IDS_PROPITEM_TXT_000466	威特普權杖
IDS_PROPITEM_TXT_000467	
IDS_PROPITEM_TXT_000468	帝傑斯權杖
IDS_PROPITEM_TXT_000469	
IDS_PROPITEM_TXT_000470	奧琳權杖
IDS_PROPITEM_TXT_000471	
IDS_PROPITEM_TXT_000472	哈爾瑪權杖
IDS_PROPITEM_TXT_000473	
IDS_PROPITEM_TXT_000474	維茲權杖
IDS_PROPITEM_TXT_000475	
IDS_PROPITEM_TXT_000476	阿斯特洛權杖
IDS_PROPITEM_TXT_000477	
IDS_PROPITEM_TXT_000478	粉晶權杖
IDS_PROPITEM_TXT_000479	
IDS_PROPITEM_TXT_000480	薔薇權杖
IDS_PROPITEM_TXT_000481	
IDS_PROPITEM_TXT_000482	綠蜻蜓權杖
IDS_PROPITEM_TXT_000483	
IDS_PROPITEM_TXT_000484	枯葉權杖
IDS_PROPITEM_TXT_000485	
IDS_PROPITEM_TXT_000486	米諾斯權杖
IDS_PROPITEM_TXT_000487	
IDS_PROPITEM_TXT_000488	奈羅權杖
IDS_PROPITEM_TXT_000489	
IDS_PROPITEM_TXT_000490	三角權杖
IDS_PROPITEM_TXT_000491	
IDS_PROPITEM_TXT_000492	羽翼權杖
IDS_PROPITEM_TXT_000493	
IDS_PROPITEM_TXT_000494	庫薩斯權杖
IDS_PROPITEM_TXT_000495	
IDS_PROPITEM_TXT_000496	伊莉雅權杖
IDS_PROPITEM_TXT_000497	
IDS_PROPITEM_TXT_000498	凱因斯權杖
IDS_PROPITEM_TXT_000499	
IDS_PROPITEM_TXT_000500	紅眼權杖
IDS_PROPITEM_TXT_000501	
IDS_PROPITEM_TXT_000502	契德斯權杖
IDS_PROPITEM_TXT_000503	
IDS_PROPITEM_TXT_000504	法利羅斯權杖
IDS_PROPITEM_TXT_000505	
IDS_PROPITEM_TXT_000506	荷花權杖
IDS_PROPITEM_TXT_000507	
IDS_PROPITEM_TXT_000508	瑞笛司權杖
IDS_PROPITEM_TXT_000509	
IDS_PROPITEM_TXT_000510	妃歐蕾權杖
IDS_PROPITEM_TXT_000511	
IDS_PROPITEM_TXT_000512	蘭里斯權杖
IDS_PROPITEM_TXT_000513	
IDS_PROPITEM_TXT_000514	霍克斯權杖
IDS_PROPITEM_TXT_000515	
IDS_PROPITEM_TXT_000516	瑟芬權杖
IDS_PROPITEM_TXT_000517	
IDS_PROPITEM_TXT_000518	克嵐拳套
IDS_PROPITEM_TXT_000519	
IDS_PROPITEM_TXT_000520	奧柏嵐拳套
IDS_PROPITEM_TXT_000521	
IDS_PROPITEM_TXT_000522	司派特拳套
IDS_PROPITEM_TXT_000523	
IDS_PROPITEM_TXT_000524	薩丁拳套
IDS_PROPITEM_TXT_000525	
IDS_PROPITEM_TXT_000526	比特拳套
IDS_PROPITEM_TXT_000527	
IDS_PROPITEM_TXT_000528	特維拳套
IDS_PROPITEM_TXT_000529	
IDS_PROPITEM_TXT_000530	史萊茲拳套
IDS_PROPITEM_TXT_000531	
IDS_PROPITEM_TXT_000532	傑諾拳套
IDS_PROPITEM_TXT_000533	
IDS_PROPITEM_TXT_000534	史帕克拳套
IDS_PROPITEM_TXT_000535	
IDS_PROPITEM_TXT_000536	薩伊德拳套
IDS_PROPITEM_TXT_000537	
IDS_PROPITEM_TXT_000538	梅嘉拳套
IDS_PROPITEM_TXT_000539	
IDS_PROPITEM_TXT_000540	鈦林拳套
IDS_PROPITEM_TXT_000541	
IDS_PROPITEM_TXT_000542	維茲拳套
IDS_PROPITEM_TXT_000543	
IDS_PROPITEM_TXT_000544	利可拳套
IDS_PROPITEM_TXT_000545	
IDS_PROPITEM_TXT_000546	羅賓拳套
IDS_PROPITEM_TXT_000547	
IDS_PROPITEM_TXT_000548	凱特拳套
IDS_PROPITEM_TXT_000549	
IDS_PROPITEM_TXT_000550	特羅凱拳套
IDS_PROPITEM_TXT_000551	
IDS_PROPITEM_TXT_000552	傑尼斯拳套
IDS_PROPITEM_TXT_000553	
IDS_PROPITEM_TXT_000554	紗克拳套
IDS_PROPITEM_TXT_000555	
IDS_PROPITEM_TXT_000556	魔柏爾拳套
IDS_PROPITEM_TXT_000557	
IDS_PROPITEM_TXT_000558	司波林拳套
IDS_PROPITEM_TXT_000559	
IDS_PROPITEM_TXT_000560	奧柏佩斯拳套
IDS_PROPITEM_TXT_000561	
IDS_PROPITEM_TXT_000562	亞茲麻拳套
IDS_PROPITEM_TXT_000563	
IDS_PROPITEM_TXT_000564	葛萊比提拳套
IDS_PROPITEM_TXT_000565	
IDS_PROPITEM_TXT_000566	弒血拳套
IDS_PROPITEM_TXT_000567	
IDS_PROPITEM_TXT_000568	格鬥拳套
IDS_PROPITEM_TXT_000569	
IDS_PROPITEM_TXT_000570	安姆拳套
IDS_PROPITEM_TXT_000571	
IDS_PROPITEM_TXT_000572	獅頭拳套
IDS_PROPITEM_TXT_000573	
IDS_PROPITEM_TXT_000574	黑慕拳套
IDS_PROPITEM_TXT_000575	
IDS_PROPITEM_TXT_000576	大車輪拳套
IDS_PROPITEM_TXT_000577	
IDS_PROPITEM_TXT_000578	骷髏拳套
IDS_PROPITEM_TXT_000579	
IDS_PROPITEM_TXT_000580	人面拳套
IDS_PROPITEM_TXT_000581	
IDS_PROPITEM_TXT_000582	落日拳套
IDS_PROPITEM_TXT_000583	
IDS_PROPITEM_TXT_000584	金莎拳套
IDS_PROPITEM_TXT_000585	
IDS_PROPITEM_TXT_000586	羅琳拳套
IDS_PROPITEM_TXT_000587	
IDS_PROPITEM_TXT_000588	塞司拳套
IDS_PROPITEM_TXT_000589	
IDS_PROPITEM_TXT_000590	凱莉拳套
IDS_PROPITEM_TXT_000591	
IDS_PROPITEM_TXT_000592	溫斯頓拳套
IDS_PROPITEM_TXT_000593	
IDS_PROPITEM_TXT_000594	布拉蕾拳套
IDS_PROPITEM_TXT_000595	
IDS_PROPITEM_TXT_000596	鬼魂拳套
IDS_PROPITEM_TXT_000597	
IDS_PROPITEM_TXT_000598	鎢鎂拳套
IDS_PROPITEM_TXT_000599	
IDS_PROPITEM_TXT_000600	奴利塔拳套
IDS_PROPITEM_TXT_000601	
IDS_PROPITEM_TXT_000602	符咒拳套
IDS_PROPITEM_TXT_000603	
IDS_PROPITEM_TXT_000604	佛地魔拳套
IDS_PROPITEM_TXT_000605	
IDS_PROPITEM_TXT_000606	木製溜刃
IDS_PROPITEM_TXT_000607	
IDS_PROPITEM_TXT_000608	強化木製溜刃
IDS_PROPITEM_TXT_000609	
IDS_PROPITEM_TXT_000610	鐵製溜刃
IDS_PROPITEM_TXT_000611	
IDS_PROPITEM_TXT_000612	強化鐵製溜刃
IDS_PROPITEM_TXT_000613	
IDS_PROPITEM_TXT_000614	刺蝟溜刃
IDS_PROPITEM_TXT_000615	
IDS_PROPITEM_TXT_000616	強化刺溜刃
IDS_PROPITEM_TXT_000617	
IDS_PROPITEM_TXT_000618	虎爪溜刃
IDS_PROPITEM_TXT_000619	
IDS_PROPITEM_TXT_000620	強化虎爪溜刃
IDS_PROPITEM_TXT_000621	
