IDS_PROPSKILL_TXT_000000	Прямой выпад
IDS_PROPSKILL_TXT_000131	Наносит урон окружающим вас врагам.
IDS_PROPSKILL_TXT_000132	Удар мастера
IDS_PROPSKILL_TXT_000133	Могучий удар, требующий абсолютной сосредоточенности. Отнимает всю ману без остатка.
IDS_PROPSKILL_TXT_000134	Огненный шар
IDS_PROPSKILL_TXT_000135	Наносит противнику урон огнем.
IDS_PROPSKILL_TXT_000136	Огненный вулкан
IDS_PROPSKILL_TXT_000137	Наносит противнику постепенный урон огнем.
IDS_PROPSKILL_TXT_000138	Воздушный клинок
IDS_PROPSKILL_TXT_000139	Атака дальнего боя. Наносит урон ветром.
IDS_PROPSKILL_TXT_000140	Порыв ветра
IDS_PROPSKILL_TXT_000141	Атака дальнего боя, отбрасывающая противника.
IDS_PROPSKILL_TXT_000142	Блик
IDS_PROPSKILL_TXT_000143	Позволяет мгновенно перенестись в выбранное место в пределах определенного радиуса.
IDS_PROPSKILL_TXT_000144	Ледяная стрела
IDS_PROPSKILL_TXT_000145	Наносит противнику урон водой.
IDS_PROPSKILL_TXT_000146	Шаровая молния
IDS_PROPSKILL_TXT_000147	Статическое электричество собирается в небольшой шар, наносящий легкий урон.
IDS_PROPSKILL_TXT_000148	Каменный шип
IDS_PROPSKILL_TXT_000149	Наносит противнику урон землей. С некоторой вероятностью может оглушить врага.
IDS_PROPSKILL_TXT_000150	Пси-удар
IDS_PROPSKILL_TXT_000151	Атака дальнего боя. Наносит противнику урон пси-энергией.
IDS_PROPSKILL_TXT_000152	Огненные объятия
IDS_PROPSKILL_TXT_000153	Наносит противнику урон огнем и на несколько секунд снижает сопротивление стихии воды.
IDS_PROPSKILL_TXT_000154	Воздушная стрела
IDS_PROPSKILL_TXT_000155	Атака дальнего боя. Наносит урон ветром.
IDS_PROPSKILL_TXT_000156	Водяной шар
IDS_PROPSKILL_TXT_000157	Атака дальнего боя. Стихия воды. Наносит противнику несколько ударов подряд.
IDS_PROPSKILL_TXT_000158	Гейзер
IDS_PROPSKILL_TXT_000159	На противника обрушиваются струи воды, наносящие урон и снижающие сопротивление стихии молнии.
IDS_PROPSKILL_TXT_000160	Клубок молний
IDS_PROPSKILL_TXT_000161	Наносит противнику урон молниями.
IDS_PROPSKILL_TXT_000162	Электрошок
IDS_PROPSKILL_TXT_000163	Быстрый удар молнией, наносящий урон и на несколько секунд снижающий сопротивление цели стихии земли.
IDS_PROPSKILL_TXT_000164	Камнепад
IDS_PROPSKILL_TXT_000165	На противника обрушиваются камни.
IDS_PROPSKILL_TXT_000166	Корни
IDS_PROPSKILL_TXT_000167	Корни опутывают ноги и мешают двигаться.
IDS_PROPSKILL_TXT_000168	Демонолог
IDS_PROPSKILL_TXT_000169	Наносит противнику урон пси-энергией.
IDS_PROPSKILL_TXT_000170	Сглаз
IDS_PROPSKILL_TXT_000171	Позволяет держать противника на расстоянии.
IDS_PROPSKILL_TXT_000172	Пси-взрыв
IDS_PROPSKILL_TXT_000173	Наносит противнику значительный урон пси-энергией.
IDS_PROPSKILL_TXT_000174	Пси-заслон
IDS_PROPSKILL_TXT_000175	Позволяет возвести заслон. Если противник коснется его, то получит урон и будет отброшен назад.
IDS_PROPSKILL_TXT_000176	Спиритический взрыв
IDS_PROPSKILL_TXT_000177	Наносит противнику урон. Размер урона зависит от количества маны.
IDS_PROPSKILL_TXT_000178	Палач
IDS_PROPSKILL_TXT_000179	Наносит противнику урон в два раза больше полученного.
IDS_PROPSKILL_TXT_000180	Иллюзорный мир
IDS_PROPSKILL_TXT_000181	Затягивает врага в иллюзорный мир, где противник получает значительный урон.
IDS_PROPSKILL_TXT_000182	Пси-генератор
IDS_PROPSKILL_TXT_000183	Ослепляет всех врагов, находящихся рядом с заклинателем, и наносит им значительный урон.
IDS_PROPSKILL_TXT_000184	Огненная птица
IDS_PROPSKILL_TXT_000185	Наносит противнику урон огнем.
IDS_PROPSKILL_TXT_000186	Властелин огня
IDS_PROPSKILL_TXT_000187	Повышает силу заклинаний стихии огня.
IDS_PROPSKILL_TXT_000188	Горящая земля
IDS_PROPSKILL_TXT_000189	Наносит постепенный урон огнем.
IDS_PROPSKILL_TXT_000190	Удар молнии
IDS_PROPSKILL_TXT_000191	Наносит противнику урон молнией.
IDS_PROPSKILL_TXT_000192	Властелин молний
IDS_PROPSKILL_TXT_000193	Повышает силу заклинаний стихии молний.
IDS_PROPSKILL_TXT_000194	Цепная молния
IDS_PROPSKILL_TXT_000195	Наносит всем находящимся поблизости врагам урон молнией и снижает их защиту.
IDS_PROPSKILL_TXT_000196	Каменное копье
IDS_PROPSKILL_TXT_000197	Наносит противнику урон землей.
IDS_PROPSKILL_TXT_000198	Властелин земли
IDS_PROPSKILL_TXT_000199	Повышает силу заклинаний стихии земли.
IDS_PROPSKILL_TXT_000200	Дрожь земли
IDS_PROPSKILL_TXT_000201	Наносит урон по области.
IDS_PROPSKILL_TXT_000202	Ледяные укусы
IDS_PROPSKILL_TXT_000203	Наносит противнику урон водой.
IDS_PROPSKILL_TXT_000204	Властелин воды
IDS_PROPSKILL_TXT_000205	Повышает силу заклинаний стихии воды.
IDS_PROPSKILL_TXT_000206	Ядовитое облако
IDS_PROPSKILL_TXT_000207	Наносит урон по области.
IDS_PROPSKILL_TXT_000208	Пустота
IDS_PROPSKILL_TXT_000209	Создает вокруг цели область, в которой невозможно дышать. Противник получает урон.
IDS_PROPSKILL_TXT_000210	Властелин ветра
IDS_PROPSKILL_TXT_000211	Повышает силу заклинаний стихии ветра.
IDS_PROPSKILL_TXT_000212	Смерч
IDS_PROPSKILL_TXT_000213	Наносит всем находящимся поблизости врагам урон ветром и замедляет их.
IDS_PROPSKILL_TXT_000214	Метеоритный дождь
IDS_PROPSKILL_TXT_000215	На врагов обрушивается метеоритный дождь, наносящий урон огнем и землей.
IDS_PROPSKILL_TXT_000216	Грозовая буря
IDS_PROPSKILL_TXT_000217	На врагов обрушивается грозовая буря, наносящая урон молниями и ветром.
IDS_PROPSKILL_TXT_000218	Самум
IDS_PROPSKILL_TXT_000219	На врагов обрушивается песчаная буря, наносящая урон ветром и землей.
IDS_PROPSKILL_TXT_000220	Буран
IDS_PROPSKILL_TXT_000221	На врагов обрушивается буран, наносящий урон водой и землей, а также оглушающий их.
IDS_PROPSKILL_TXT_000222	Йо-Йода
IDS_PROPSKILL_TXT_000223	Повышает урон и точность при использовании йо-йо.
IDS_PROPSKILL_TXT_000224	Мастер стрельбы
IDS_PROPSKILL_TXT_000225	Повышает урон и скорость атаки при стрельбе из лука.
IDS_PROPSKILL_TXT_000226	Иллюзия пустоты
IDS_PROPSKILL_TXT_000227	Позволяет на короткое время становиться невидимым.
IDS_PROPSKILL_TXT_000228	Сеятель стрел
IDS_PROPSKILL_TXT_000229	Позволяет выпустить сразу несколько стрел. Точность стрельбы при этом падает.
IDS_PROPSKILL_TXT_000230	Бегун
IDS_PROPSKILL_TXT_000231	На короткое время повышает скорость бега.
IDS_PROPSKILL_TXT_000232	Прицельный выстрел
IDS_PROPSKILL_TXT_000233	Этот выстрел требует времени на подготовку, зато наносит двойной урон.
IDS_PROPSKILL_TXT_000234	Замедление
IDS_PROPSKILL_TXT_000235	Замедляет противника.
IDS_PROPSKILL_TXT_000236	Бесшумный выстрел
IDS_PROPSKILL_TXT_000237	Позволяет застать противника врасплох. Наносит больше урона при использовании Иллюзии пустоты.
IDS_PROPSKILL_TXT_000238	Мастер блокирования
IDS_PROPSKILL_TXT_000239	Повышает вероятность блокирования ударов противника.
IDS_PROPSKILL_TXT_000240	Ливень стрел
IDS_PROPSKILL_TXT_000241	Позволяет обрушить на противника ливень стрел, наносящий постепенный урон.
IDS_PROPSKILL_TXT_000242	Перекрестные нити
IDS_PROPSKILL_TXT_000243	Оглушающий удар йо-йо.
IDS_PROPSKILL_TXT_000244	Очередь
IDS_PROPSKILL_TXT_000245	Быстрые выстрелы, позволяющие ослепить врага.
IDS_PROPSKILL_TXT_000246	Кража
IDS_PROPSKILL_TXT_000247	Позволяет подобраться к противнику со спины и стянуть у него пенни. Возможно только при использовании Иллюзии пустоты.
IDS_PROPSKILL_TXT_000248	Контратака
IDS_PROPSKILL_TXT_000249	Дополнительный удар в ответ на удар врага.
IDS_PROPSKILL_TXT_000250	Смертоносная нить
IDS_PROPSKILL_TXT_000251	Сильный удар йо-йо. Противник будет получать постепенный урон.
IDS_PROPSKILL_TXT_000252	Лассо
IDS_PROPSKILL_TXT_000253	Притягивает противника к вам. Требуется йо-йо.
IDS_PROPSKILL_TXT_000254	Критические удары
IDS_PROPSKILL_TXT_000255	Повышает вероятность нанести критический урон.
IDS_PROPSKILL_TXT_000256	Ядовитая йо-йо
IDS_PROPSKILL_TXT_000257	На оружие наносится яд. Это повышает причиняемый им урон и позволяет отравить противника.
IDS_PROPSKILL_TXT_000258	Кровавая йо-йо
IDS_PROPSKILL_TXT_000259	Повышает причиняемый йо-йо урон и вызывает у противника кровотечение.
IDS_PROPSKILL_TXT_000260	Кровожадная йо-йо
IDS_PROPSKILL_TXT_000261	Удары йо-йо вытягивают из противника здоровье.
IDS_PROPSKILL_TXT_000262	Удар в спину
IDS_PROPSKILL_TXT_000263	Удар в спину, позволяющий оглушить противника.
IDS_PROPSKILL_TXT_000264	Удар на пенни
IDS_PROPSKILL_TXT_000265	Сильный удар йо-йо. Расходует пенни.
IDS_PROPSKILL_TXT_000266	Побег
IDS_PROPSKILL_TXT_000267	Позволяет вырваться из корней или ловушки.
IDS_PROPSKILL_TXT_000268	Удар в слабое место
IDS_PROPSKILL_TXT_000269	Внезапная атака, доступная только при использовании Иллюзии пустоты.
IDS_PROPSKILL_TXT_000270	Быстрая стрельба
IDS_PROPSKILL_TXT_000271	Скорость стрельбы временно повышается.
IDS_PROPSKILL_TXT_000272	Обледенелая стрела
IDS_PROPSKILL_TXT_000273	Обледенелая стрела замедляет противника.
IDS_PROPSKILL_TXT_000274	Пламенеющая стрела
IDS_PROPSKILL_TXT_000275	Зачаровывает стрелы арканом огня. Наносит урон не только цели, но и окружающим ее противникам.
IDS_PROPSKILL_TXT_000276	Пронзающая стрела
IDS_PROPSKILL_TXT_000277	Наносит значительный урон цели и всем врагам, которые находятся на линии полета стрелы.
IDS_PROPSKILL_TXT_000278	Отравленная стрела
IDS_PROPSKILL_TXT_000279	Наносит сильный урон, а затем постепенный урон ядом.
IDS_PROPSKILL_TXT_000280	Глушащая стрела
IDS_PROPSKILL_TXT_000281	Глушащая стрела не дает противнику читать заклинания.
IDS_PROPSKILL_TXT_000282	Помощь природы
IDS_PROPSKILL_TXT_000283	Повышает сопротивление магии стихий.
IDS_PROPSKILL_TXT_000284	Тройной выстрел
IDS_PROPSKILL_TXT_000285	Позволяет выпустить сразу три стрелы.
IDS_PROPSKILL_TXT_000286	Вспышка
IDS_PROPSKILL_TXT_000287	Вы ослеплены вспышкой света.
IDS_PROPSKILL_TXT_000288	Оглушение
IDS_PROPSKILL_TXT_000289	Вы оглушены и не можете двигаться.
IDS_PROPSKILL_TXT_000290	Групповое оглушение
IDS_PROPSKILL_TXT_000291	Вы оглушены и не можете двигаться.
IDS_PROPSKILL_TXT_000292	Урон
IDS_PROPSKILL_TXT_000293	
IDS_PROPSKILL_TXT_000294	Контратака
IDS_PROPSKILL_TXT_000295	Дополнительный удар в ответ на удар врага.
IDS_PROPSKILL_TXT_000296	Откидывание
IDS_PROPSKILL_TXT_000297	Вас откинуло назад.
IDS_PROPSKILL_TXT_000298	Горящая земля
IDS_PROPSKILL_TXT_000299	Вы получаете постепенный урон.
IDS_PROPSKILL_TXT_000300	Яд
IDS_PROPSKILL_TXT_000301	Вы получаете постепенный урон.
IDS_PROPSKILL_TXT_000302	Оглушение
IDS_PROPSKILL_TXT_000303	Вы оглушены и не можете двигаться.
IDS_PROPSKILL_TXT_000304	Кровотечение
IDS_PROPSKILL_TXT_000305	Вы получаете постепенный урон.
IDS_PROPSKILL_TXT_000306	Кража здоровья
IDS_PROPSKILL_TXT_000307	Жизнь постепенно покидает вас.
IDS_PROPSKILL_TXT_000308	Скрещенные мечи
IDS_PROPSKILL_TXT_000309	
IDS_PROPSKILL_TXT_000310	Ядовитый укус
IDS_PROPSKILL_TXT_000311	Вы получаете постепенный урон.
IDS_PROPSKILL_TXT_000312	Кровотечение
IDS_PROPSKILL_TXT_000313	Вы получаете постепенный урон.
IDS_PROPSKILL_TXT_000314	Замедление атаки
IDS_PROPSKILL_TXT_000315	Скорость атаки и восстановления умений снижена.
IDS_PROPSKILL_TXT_000316	Замедление атаки
IDS_PROPSKILL_TXT_000317	Скорость атаки и восстановления умений снижена.
IDS_PROPSKILL_TXT_000318	Групповое оглушение
IDS_PROPSKILL_TXT_000319	Вы лишились сознания.
IDS_PROPSKILL_TXT_000320	Яд Кр-ра
IDS_PROPSKILL_TXT_000321	Вы получаете постепенный урон.
IDS_PROPSKILL_TXT_000322	Групповое оглушение
IDS_PROPSKILL_TXT_000323	Вы оглушены и не можете двигаться.
IDS_PROPSKILL_TXT_000324	Гриб-берсерк
IDS_PROPSKILL_TXT_000325	Скорость и сила атаки повышены.
IDS_PROPSKILL_TXT_000326	Прочная кора
IDS_PROPSKILL_TXT_000327	Кора обволакивает тело, повышая защиту.
IDS_PROPSKILL_TXT_000328	Снятие эффектов
IDS_PROPSKILL_TXT_000329	
IDS_PROPSKILL_TXT_000330	Снятие эффектов Х
IDS_PROPSKILL_TXT_000331	
IDS_PROPSKILL_TXT_000332	Включение эффектов
IDS_PROPSKILL_TXT_000333	
IDS_PROPSKILL_TXT_000334	Абсолютная защита
IDS_PROPSKILL_TXT_000335	Защита повышается, но вы не можете двигаться.
IDS_PROPSKILL_TXT_000336	Притягивание
IDS_PROPSKILL_TXT_000337	Вы притягиваете цель к себе.
IDS_PROPSKILL_TXT_000338	Немота
IDS_PROPSKILL_TXT_000339	Цель не может читать заклинания.
IDS_PROPSKILL_TXT_000340	Ястребиный взор
IDS_PROPSKILL_TXT_000341	Повышает дальность стрельбы из лука.
IDS_PROPSKILL_TXT_000342	Проклятие разума
IDS_PROPSKILL_TXT_000343	Защита цели от магии снижается на 50%.
IDS_PROPSKILL_TXT_000344	Каменные ноги
IDS_PROPSKILL_TXT_000345	Цель не может двигаться.
IDS_PROPSKILL_TXT_000346	Распыление
IDS_PROPSKILL_TXT_000347	Все эффекты, наложенные на цель, исчезают. PVP: исчезают несколько эффектов (до 16), количество зависит от уровней игроков, умения и от удачи. Шанс срабатывания зависит от уровня умения (45% на 5ур.)
IDS_PROPSKILL_TXT_000348	Возвращение
IDS_PROPSKILL_TXT_000349	Перемещение в ближайший город.
IDS_PROPSKILL_TXT_000350	Ожог
IDS_PROPSKILL_TXT_000351	Наносит постепенный урон.
IDS_PROPSKILL_TXT_000352	Гранд-мастер одноручного оружия
IDS_PROPSKILL_TXT_000353	Повышает урон, наносимый одноручным оружием.
IDS_PROPSKILL_TXT_000354	Гранд-мастер двуручного оружия
IDS_PROPSKILL_TXT_000355	Повышает урон, наносимый двуручным оружием.
IDS_PROPSKILL_TXT_000356	Гранд-мастер йо-йо
IDS_PROPSKILL_TXT_000357	Повышает урон, наносимый йо-йо.
IDS_PROPSKILL_TXT_000358	Гранд-мастер стрельбы
IDS_PROPSKILL_TXT_000359	Повышает урон при стрельбе из лука.
IDS_PROPSKILL_TXT_000360	Сверх-мощный интеллект
IDS_PROPSKILL_TXT_000361	Повышает интеллект.
IDS_PROPSKILL_TXT_000362	Сверх-мощный интеллект
IDS_PROPSKILL_TXT_000363	Повышает интеллект.
IDS_PROPSKILL_TXT_000364	Гранд-мастер перчатки
IDS_PROPSKILL_TXT_000365	Повышает урон при использовании перчатки.
IDS_PROPSKILL_TXT_000366	Благословение мудреца
IDS_PROPSKILL_TXT_000367	Снимает случайный отрицательный эффект с игрока труппы.
IDS_PROPSKILL_TXT_000368	Скороход (событие)
IDS_PROPSKILL_TXT_000369	Повышает скорость бега.
IDS_PROPSKILL_TXT_000370	Спешка (событие)
IDS_PROPSKILL_TXT_000371	Повышает скорость атак.
IDS_PROPSKILL_TXT_000372	Тяжеловес (событие)
IDS_PROPSKILL_TXT_000373	Повышает выносливость.
IDS_PROPSKILL_TXT_000374	Меткость (событие)
IDS_PROPSKILL_TXT_000375	Повышает точность атак.
IDS_PROPSKILL_TXT_000376	Притяжение
IDS_PROPSKILL_TXT_000377	Позволяет притянуть врага к себе.
IDS_PROPSKILL_TXT_000378	Неистовый удар
IDS_PROPSKILL_TXT_000379	Наносит врагу значительный урон.
IDS_PROPSKILL_TXT_000380	Динамит
IDS_PROPSKILL_TXT_000381	Удар щитом, позволяющий с некоторой вероятностью оглушить цель.
IDS_PROPSKILL_TXT_000382	Провокация
IDS_PROPSKILL_TXT_000383	Позволяет разгневать врага и повысить уровень угрозы.
IDS_PROPSKILL_TXT_000384	Доспехи бога
IDS_PROPSKILL_TXT_000385	Вы чувствуете, что даже самая сильная магия противника вам нипочем. [Ур.1: +500 к защите от магии; ур. 5: +700 к защите от магии на 5 минут.]
IDS_PROPSKILL_TXT_000386	Ударная волна
IDS_PROPSKILL_TXT_000387	Круговая атака, позволяющая с некоторой вероятностью оглушить врагов на 2 секунды. Требуется двуручный меч или секира.
IDS_PROPSKILL_TXT_000388	Уноси готовенького
IDS_PROPSKILL_TXT_000389	Наносит цели значительный урон.
IDS_PROPSKILL_TXT_000390	Вихрь клинков
IDS_PROPSKILL_TXT_000391	Наносит урон окружающим врагам.
IDS_PROPSKILL_TXT_000392	Исступление
IDS_PROPSKILL_TXT_000393	Исступление охватывает вас, и вы начинаете сражаться с удвоенной яростью. [Ур. 1: +350 к силе атаки; ур. 5: +650 к силе атаки на 5 минут.]
IDS_PROPSKILL_TXT_000394	Ураган
IDS_PROPSKILL_TXT_000395	Мощная магическая атака.
IDS_PROPSKILL_TXT_000396	Молниеносные рефлексы
IDS_PROPSKILL_TXT_000397	Вы чувствуете, что способны отразить любой удар противника. [Ур. 1: +10% к блокированию; ур. 5: +30% к блокированию на 5 минут.]
IDS_PROPSKILL_TXT_000398	Сосредоточенность
IDS_PROPSKILL_TXT_000399	Вы предельно сосредотачиваетесь и обретаете небывалую меткость. [Ур. 1: +10% к точности; ур. 5: +30% к точности на 5 минут.]
IDS_PROPSKILL_TXT_000400	Коварный удар
IDS_PROPSKILL_TXT_000401	Позволяет нанести цели удар в спину. Урон зависит от силы и от ловкости.
IDS_PROPSKILL_TXT_000402	Град стрел
IDS_PROPSKILL_TXT_000403	Наносит урон всем окружающим врагам.
IDS_PROPSKILL_TXT_000404	Стальная тетива
IDS_PROPSKILL_TXT_000405	Вы меняете тетиву своего оружия на стальную и начинаете стрелять с невероятной мощью. [Ур. 1: +250 к силе атаки; ур. 5: +450 к силе атаки на 5 минут.]
IDS_PROPSKILL_TXT_000406	Концентрация
IDS_PROPSKILL_TXT_000407	Вы предельно концентрируетесь и начинаете класть стрелу за стрелой точно в яблочко. [Ур. 1: +10% к точности; ур. 5: +30% к точности на 5 минут.]
IDS_PROPSKILL_TXT_000408	Дальнобойщик
IDS_PROPSKILL_TXT_000409	Отдаленные цели начинают казаться совсем близкими, и ваши стрелы достают их без труда. [Ур. 1: +10% к дальности стрельбы; ур. 5: +30% к дальности стрельбы на 5 минут.]
IDS_PROPSKILL_TXT_000410	Воззвание к Райс
