IDS_PROPCTRL_TXT_000000	Маленький сундук с сокровищами
IDS_PROPCTRL_TXT_000189	
IDS_PROPCTRL_TXT_000190	Ванна 'Лорд-М'
IDS_PROPCTRL_TXT_000191	
IDS_PROPCTRL_TXT_000192	Шкаф 'Лорд-М'
IDS_PROPCTRL_TXT_000193	
IDS_PROPCTRL_TXT_000194	Трюмо 'Лорд-М'
IDS_PROPCTRL_TXT_000195	
IDS_PROPCTRL_TXT_000196	Кровать 'Лорд-М'
IDS_PROPCTRL_TXT_000197	
IDS_PROPCTRL_TXT_000198	Столик 'Лорд-М'
IDS_PROPCTRL_TXT_000199	
IDS_PROPCTRL_TXT_000200	Пол 'Лорд-М'
IDS_PROPCTRL_TXT_000201	
IDS_PROPCTRL_TXT_000202	Обои 'Лорд-М'

IDS_PROPCTRL_TXT_000204	Кушетка 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000205	
IDS_PROPCTRL_TXT_000206	Шкафчик 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000207	
IDS_PROPCTRL_TXT_000208	Тумбочка 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000209	
IDS_PROPCTRL_TXT_000210	Стул 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000211	
IDS_PROPCTRL_TXT_000212	Стол 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000213	
IDS_PROPCTRL_TXT_000214	Ванна 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000215	
IDS_PROPCTRL_TXT_000216	Шкаф 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000217	
IDS_PROPCTRL_TXT_000218	Трюмо 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000219	
IDS_PROPCTRL_TXT_000220	Кровать 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000221	
IDS_PROPCTRL_TXT_000222	Столик 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000223	
IDS_PROPCTRL_TXT_000224	Пол 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000225	
IDS_PROPCTRL_TXT_000226	Обои 'Дуб-II' (7д.)
IDS_PROPCTRL_TXT_000227	
IDS_PROPCTRL_TXT_000228	Кушетка 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000229	
IDS_PROPCTRL_TXT_000230	Шкафчик 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000231	
IDS_PROPCTRL_TXT_000232	Тумбочка 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000233	
IDS_PROPCTRL_TXT_000234	Стул 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000235	
IDS_PROPCTRL_TXT_000236	Стол 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000237	
IDS_PROPCTRL_TXT_000238	Ванна 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000239	
IDS_PROPCTRL_TXT_000240	Шкаф 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000241	
IDS_PROPCTRL_TXT_000242	Трюмо 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000243	
IDS_PROPCTRL_TXT_000244	Кровать 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000245	
IDS_PROPCTRL_TXT_000246	Столик 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000247	
IDS_PROPCTRL_TXT_000248	Пол 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000249	
IDS_PROPCTRL_TXT_000250	Обои 'Лорд-II' (7д.)
IDS_PROPCTRL_TXT_000251	
IDS_PROPCTRL_TXT_000252	
IDS_PROPCTRL_TXT_000253	
IDS_PROPCTRL_TXT_000254	
IDS_PROPCTRL_TXT_000255	
IDS_PROPCTRL_TXT_000256	
IDS_PROPCTRL_TXT_000257	
