IDS_PROPMOVER_TXT_000000	По умолчанию
IDS_PROPMOVER_TXT_000125	
IDS_PROPMOVER_TXT_000126	Слабый Кувалда Джек
IDS_PROPMOVER_TXT_000127	
IDS_PROPMOVER_TXT_000128	Кувалда Джек
IDS_PROPMOVER_TXT_000129	
IDS_PROPMOVER_TXT_000130	Ужасный Кувалда Джек
IDS_PROPMOVER_TXT_000131	
IDS_PROPMOVER_TXT_000132	Гигантский Кувалда Джек
IDS_PROPMOVER_TXT_000133	
IDS_PROPMOVER_TXT_000134	Слабый хохотун
IDS_PROPMOVER_TXT_000135	
IDS_PROPMOVER_TXT_000136	Хохотун
IDS_PROPMOVER_TXT_000137	
IDS_PROPMOVER_TXT_000138	Сильный хохотун
IDS_PROPMOVER_TXT_000139	
IDS_PROPMOVER_TXT_000140	Громадный хохотун
IDS_PROPMOVER_TXT_000141	
IDS_PROPMOVER_TXT_000142	Слабый камнетавр
IDS_PROPMOVER_TXT_000143	
IDS_PROPMOVER_TXT_000144	Камнетавр
IDS_PROPMOVER_TXT_000145	
IDS_PROPMOVER_TXT_000146	Сильный камнетавр
IDS_PROPMOVER_TXT_000147	
IDS_PROPMOVER_TXT_000148	Громадный камнетавр
IDS_PROPMOVER_TXT_000149	
IDS_PROPMOVER_TXT_000150	Слабый однорукий бандит
IDS_PROPMOVER_TXT_000151	
IDS_PROPMOVER_TXT_000152	Однорукий бандит
IDS_PROPMOVER_TXT_000153	
IDS_PROPMOVER_TXT_000154	Сильный однорукий бандит
IDS_PROPMOVER_TXT_000155	
IDS_PROPMOVER_TXT_000156	Гигантский однорукий бандит
IDS_PROPMOVER_TXT_000157	
IDS_PROPMOVER_TXT_000158	Слабая быказа-рогаза
IDS_PROPMOVER_TXT_000159	
IDS_PROPMOVER_TXT_000160	Быказа-рогаза
IDS_PROPMOVER_TXT_000161	
IDS_PROPMOVER_TXT_000162	Сильная быказа-рогаза
IDS_PROPMOVER_TXT_000163	
IDS_PROPMOVER_TXT_000164	Гигантская быказа-рогаза
IDS_PROPMOVER_TXT_000165	
IDS_PROPMOVER_TXT_000166	Слабый истукан
IDS_PROPMOVER_TXT_000167	
IDS_PROPMOVER_TXT_000168	Истукан
IDS_PROPMOVER_TXT_000169	
IDS_PROPMOVER_TXT_000170	Сильный истукан
IDS_PROPMOVER_TXT_000171	
IDS_PROPMOVER_TXT_000172	Гигантский истукан
IDS_PROPMOVER_TXT_000173	
IDS_PROPMOVER_TXT_000174	Слабая заводная кукла
IDS_PROPMOVER_TXT_000175	
IDS_PROPMOVER_TXT_000176	Заводная кукла
IDS_PROPMOVER_TXT_000177	
IDS_PROPMOVER_TXT_000178	Сильная заводная кукла
IDS_PROPMOVER_TXT_000179	
IDS_PROPMOVER_TXT_000180	Гигантская заводная кукла
IDS_PROPMOVER_TXT_000181	
IDS_PROPMOVER_TXT_000182	Слабый гробокоп
IDS_PROPMOVER_TXT_000183	
IDS_PROPMOVER_TXT_000184	Гробокоп
IDS_PROPMOVER_TXT_000185	
IDS_PROPMOVER_TXT_000186	Сильный гробокоп
IDS_PROPMOVER_TXT_000187	
IDS_PROPMOVER_TXT_000188	Гигантский гробокоп
IDS_PROPMOVER_TXT_000189	
IDS_PROPMOVER_TXT_000190	Слабый стрелорк
IDS_PROPMOVER_TXT_000191	
IDS_PROPMOVER_TXT_000192	Стрелорк
IDS_PROPMOVER_TXT_000193	
IDS_PROPMOVER_TXT_000194	Сильный стрелорк
IDS_PROPMOVER_TXT_000195	
IDS_PROPMOVER_TXT_000196	Гигантский стрелорк
IDS_PROPMOVER_TXT_000197	
IDS_PROPMOVER_TXT_000198	Слабый паяц
IDS_PROPMOVER_TXT_000199	
IDS_PROPMOVER_TXT_000200	Паяц
IDS_PROPMOVER_TXT_000201	
IDS_PROPMOVER_TXT_000202	Сильный паяц
IDS_PROPMOVER_TXT_000203	
IDS_PROPMOVER_TXT_000204	Гигантский паяц
IDS_PROPMOVER_TXT_000205	
IDS_PROPMOVER_TXT_000206	Слабый ушатрон
IDS_PROPMOVER_TXT_000207	
IDS_PROPMOVER_TXT_000208	Ушатрон
IDS_PROPMOVER_TXT_000209	
IDS_PROPMOVER_TXT_000210	Сильный ушатрон
IDS_PROPMOVER_TXT_000211	
IDS_PROPMOVER_TXT_000212	Гигантский ушатрон
IDS_PROPMOVER_TXT_000213	
IDS_PROPMOVER_TXT_000214	Слабая лиена
IDS_PROPMOVER_TXT_000215	
IDS_PROPMOVER_TXT_000216	Лиена
IDS_PROPMOVER_TXT_000217	
IDS_PROPMOVER_TXT_000218	Сильная лиена
IDS_PROPMOVER_TXT_000219	
IDS_PROPMOVER_TXT_000220	Громадная лиена
IDS_PROPMOVER_TXT_000221	
IDS_PROPMOVER_TXT_000222	Слабый паробот
IDS_PROPMOVER_TXT_000223	
IDS_PROPMOVER_TXT_000224	Паробот
IDS_PROPMOVER_TXT_000225	
IDS_PROPMOVER_TXT_000226	Сильный паробот
IDS_PROPMOVER_TXT_000227	
IDS_PROPMOVER_TXT_000228	Гигантский паробот
IDS_PROPMOVER_TXT_000229	
IDS_PROPMOVER_TXT_000230	Слабый стальной курицырь
IDS_PROPMOVER_TXT_000231	
IDS_PROPMOVER_TXT_000232	Стальной курицырь
IDS_PROPMOVER_TXT_000233	
IDS_PROPMOVER_TXT_000234	Сильный стальной курицырь
IDS_PROPMOVER_TXT_000235	
IDS_PROPMOVER_TXT_000236	Гигантский стальной курицырь
IDS_PROPMOVER_TXT_000237	
IDS_PROPMOVER_TXT_000238	Малый шестекрут
IDS_PROPMOVER_TXT_000239	
IDS_PROPMOVER_TXT_000240	Шестекрут
IDS_PROPMOVER_TXT_000241	
IDS_PROPMOVER_TXT_000242	Сильный шестекрут
IDS_PROPMOVER_TXT_000243	
IDS_PROPMOVER_TXT_000244	Гигантский шестекрут
IDS_PROPMOVER_TXT_000245	
IDS_PROPMOVER_TXT_000246	Слабый бур
IDS_PROPMOVER_TXT_000247	
IDS_PROPMOVER_TXT_000248	Бур
IDS_PROPMOVER_TXT_000249	
IDS_PROPMOVER_TXT_000250	Сильный бур
IDS_PROPMOVER_TXT_000251	
IDS_PROPMOVER_TXT_000252	Гигантский бур
IDS_PROPMOVER_TXT_000253	
IDS_PROPMOVER_TXT_000254	Слабый вольт
IDS_PROPMOVER_TXT_000255	
IDS_PROPMOVER_TXT_000256	Вольт
IDS_PROPMOVER_TXT_000257	
IDS_PROPMOVER_TXT_000258	Сильный вольт
IDS_PROPMOVER_TXT_000259	
IDS_PROPMOVER_TXT_000260	Гигантский вольт
IDS_PROPMOVER_TXT_000261	
IDS_PROPMOVER_TXT_000262	Слабый железный страж
IDS_PROPMOVER_TXT_000263	
IDS_PROPMOVER_TXT_000264	Железный страж
IDS_PROPMOVER_TXT_000265	
IDS_PROPMOVER_TXT_000266	Сильный железный страж
IDS_PROPMOVER_TXT_000267	
IDS_PROPMOVER_TXT_000268	Гигантский железный страж
IDS_PROPMOVER_TXT_000269	
IDS_PROPMOVER_TXT_000270	Слабый мусоробот
IDS_PROPMOVER_TXT_000271	
IDS_PROPMOVER_TXT_000272	Мусоробот
IDS_PROPMOVER_TXT_000273	
IDS_PROPMOVER_TXT_000274	Сильный мусоробот
IDS_PROPMOVER_TXT_000275	
IDS_PROPMOVER_TXT_000276	Гигантский мусоробот
IDS_PROPMOVER_TXT_000277	
IDS_PROPMOVER_TXT_000278	Слабый краноход
IDS_PROPMOVER_TXT_000279	
IDS_PROPMOVER_TXT_000280	Краноход
IDS_PROPMOVER_TXT_000281	
IDS_PROPMOVER_TXT_000282	Сильный краноход
IDS_PROPMOVER_TXT_000283	
IDS_PROPMOVER_TXT_000284	Гигантский краноход
IDS_PROPMOVER_TXT_000285	
IDS_PROPMOVER_TXT_000286	Слабый мухаон
IDS_PROPMOVER_TXT_000287	
IDS_PROPMOVER_TXT_000288	Мухаон
IDS_PROPMOVER_TXT_000289	
IDS_PROPMOVER_TXT_000290	Сильный мухаон
IDS_PROPMOVER_TXT_000291	
IDS_PROPMOVER_TXT_000292	Громадный мухаон
IDS_PROPMOVER_TXT_000293	
IDS_PROPMOVER_TXT_000294	Слабый хвостокол
IDS_PROPMOVER_TXT_000295	
IDS_PROPMOVER_TXT_000296	Хвостокол
IDS_PROPMOVER_TXT_000297	
IDS_PROPMOVER_TXT_000298	Сильный хвостокол
IDS_PROPMOVER_TXT_000299	
IDS_PROPMOVER_TXT_000300	Громадный хвостокол
IDS_PROPMOVER_TXT_000301	
IDS_PROPMOVER_TXT_000302	Слабый пропеллац
IDS_PROPMOVER_TXT_000303	
IDS_PROPMOVER_TXT_000304	Пропеллац
IDS_PROPMOVER_TXT_000305	
IDS_PROPMOVER_TXT_000306	Сильный пропеллац
IDS_PROPMOVER_TXT_000307	
IDS_PROPMOVER_TXT_000308	Громадный пропеллац
IDS_PROPMOVER_TXT_000309	
IDS_PROPMOVER_TXT_000310	Слабый цирковой медедь
IDS_PROPMOVER_TXT_000311	
IDS_PROPMOVER_TXT_000312	Цирковой медведь
IDS_PROPMOVER_TXT_000313	
IDS_PROPMOVER_TXT_000314	Сильный цирковой медведь
IDS_PROPMOVER_TXT_000315	
IDS_PROPMOVER_TXT_000316	Громадный цирковой медведь
IDS_PROPMOVER_TXT_000317	
IDS_PROPMOVER_TXT_000318	Слабый клоун
IDS_PROPMOVER_TXT_000319	
IDS_PROPMOVER_TXT_000320	Клоун
IDS_PROPMOVER_TXT_000321	
IDS_PROPMOVER_TXT_000322	Сильный клоун
IDS_PROPMOVER_TXT_000323	
IDS_PROPMOVER_TXT_000324	Гигантский клоун
IDS_PROPMOVER_TXT_000325	
IDS_PROPMOVER_TXT_000326	Слабый илий
IDS_PROPMOVER_TXT_000327	
IDS_PROPMOVER_TXT_000328	Илий
IDS_PROPMOVER_TXT_000329	
IDS_PROPMOVER_TXT_000330	Сильный илий
IDS_PROPMOVER_TXT_000331	
IDS_PROPMOVER_TXT_000332	Громадный илий
IDS_PROPMOVER_TXT_000333	
IDS_PROPMOVER_TXT_000334	Слабый глыбень
IDS_PROPMOVER_TXT_000335	
IDS_PROPMOVER_TXT_000336	Глыбень
IDS_PROPMOVER_TXT_000337	
IDS_PROPMOVER_TXT_000338	Сильный глыбень
IDS_PROPMOVER_TXT_000339	
IDS_PROPMOVER_TXT_000340	Громадный глыбень
IDS_PROPMOVER_TXT_000341	
IDS_PROPMOVER_TXT_000342	Слабый голем
IDS_PROPMOVER_TXT_000343	
IDS_PROPMOVER_TXT_000344	Голем
IDS_PROPMOVER_TXT_000345	
IDS_PROPMOVER_TXT_000346	Сильный голем
IDS_PROPMOVER_TXT_000347	
IDS_PROPMOVER_TXT_000348	Громадный голем
IDS_PROPMOVER_TXT_000349	
IDS_PROPMOVER_TXT_000350	Слабый бомбот
IDS_PROPMOVER_TXT_000351	
IDS_PROPMOVER_TXT_000352	Бомбот
IDS_PROPMOVER_TXT_000353	
IDS_PROPMOVER_TXT_000354	Сильный бомбот
IDS_PROPMOVER_TXT_000355	
IDS_PROPMOVER_TXT_000356	Гигантский бомбот
IDS_PROPMOVER_TXT_000357	
IDS_PROPMOVER_TXT_000358	Слабый злопух
IDS_PROPMOVER_TXT_000359	
IDS_PROPMOVER_TXT_000360	Злопух
IDS_PROPMOVER_TXT_000361	
IDS_PROPMOVER_TXT_000362	Сильный злопух
IDS_PROPMOVER_TXT_000363	
IDS_PROPMOVER_TXT_000364	Гигантский злопух
IDS_PROPMOVER_TXT_000365	
IDS_PROPMOVER_TXT_000366	Слабый злопух
IDS_PROPMOVER_TXT_000367	
IDS_PROPMOVER_TXT_000368	Злопух
IDS_PROPMOVER_TXT_000369	
IDS_PROPMOVER_TXT_000370	Сильный злопух
IDS_PROPMOVER_TXT_000371	
IDS_PROPMOVER_TXT_000372	Гигантский злопух
IDS_PROPMOVER_TXT_000373	
IDS_PROPMOVER_TXT_000374	Слабый злопух
IDS_PROPMOVER_TXT_000375	
IDS_PROPMOVER_TXT_000376	Злопух
IDS_PROPMOVER_TXT_000377	
IDS_PROPMOVER_TXT_000378	Сильный злопух
IDS_PROPMOVER_TXT_000379	
IDS_PROPMOVER_TXT_000380	Гигантский злопух
IDS_PROPMOVER_TXT_000381	
IDS_PROPMOVER_TXT_000382	Часонизм
IDS_PROPMOVER_TXT_000383	
IDS_PROPMOVER_TXT_000384	Слабый ведрон
IDS_PROPMOVER_TXT_000385	
IDS_PROPMOVER_TXT_000386	Ведрон
IDS_PROPMOVER_TXT_000387	
IDS_PROPMOVER_TXT_000388	Сильный ведрон
IDS_PROPMOVER_TXT_000389	
IDS_PROPMOVER_TXT_000390	Громадный ведрон
IDS_PROPMOVER_TXT_000391	
IDS_PROPMOVER_TXT_000392	Слабый шлак
IDS_PROPMOVER_TXT_000393	
IDS_PROPMOVER_TXT_000394	Шлак
IDS_PROPMOVER_TXT_000395	
IDS_PROPMOVER_TXT_000396	Сильный шлак
IDS_PROPMOVER_TXT_000397	
IDS_PROPMOVER_TXT_000398	Громадный шлак
IDS_PROPMOVER_TXT_000399	
IDS_PROPMOVER_TXT_000400	Слабая зубатка
IDS_PROPMOVER_TXT_000401	
IDS_PROPMOVER_TXT_000402	Зубатка
IDS_PROPMOVER_TXT_000403	
IDS_PROPMOVER_TXT_000404	Сильная зубатка
IDS_PROPMOVER_TXT_000405	
IDS_PROPMOVER_TXT_000406	Гигантская зубатка
IDS_PROPMOVER_TXT_000407	
IDS_PROPMOVER_TXT_000408	Слабый каменталь
IDS_PROPMOVER_TXT_000409	
IDS_PROPMOVER_TXT_000410	Каменталь
IDS_PROPMOVER_TXT_000411	
IDS_PROPMOVER_TXT_000412	Сильный каменталь
IDS_PROPMOVER_TXT_000413	
IDS_PROPMOVER_TXT_000414	Громадный каменталь
IDS_PROPMOVER_TXT_000415	
IDS_PROPMOVER_TXT_000416	Слабый зомбойщик
IDS_PROPMOVER_TXT_000417	
IDS_PROPMOVER_TXT_000418	Зомбойщик
IDS_PROPMOVER_TXT_000419	
IDS_PROPMOVER_TXT_000420	Сильный зомбойщик
IDS_PROPMOVER_TXT_000421	
IDS_PROPMOVER_TXT_000422	Громадный зомбойщик
IDS_PROPMOVER_TXT_000423	
IDS_PROPMOVER_TXT_000424	Слабый циклопырь
IDS_PROPMOVER_TXT_000425	
IDS_PROPMOVER_TXT_000426	Циклопырь
IDS_PROPMOVER_TXT_000427	
IDS_PROPMOVER_TXT_000428	Сильный циклопырь
IDS_PROPMOVER_TXT_000429	
IDS_PROPMOVER_TXT_000430	Громадный циклопырь
IDS_PROPMOVER_TXT_000431	
IDS_PROPMOVER_TXT_000432	Слабый тавродемон
IDS_PROPMOVER_TXT_000433	
IDS_PROPMOVER_TXT_000434	Тавродемон
IDS_PROPMOVER_TXT_000435	
IDS_PROPMOVER_TXT_000436	Сильный тавродемон
IDS_PROPMOVER_TXT_000437	
IDS_PROPMOVER_TXT_000438	Громадный тавродемон
IDS_PROPMOVER_TXT_000439	
IDS_PROPMOVER_TXT_000440	Слабый скорпихвост
IDS_PROPMOVER_TXT_000441	
IDS_PROPMOVER_TXT_000442	Скорпихвост
IDS_PROPMOVER_TXT_000443	
IDS_PROPMOVER_TXT_000444	Сильный скорпихвост
IDS_PROPMOVER_TXT_000445	
IDS_PROPMOVER_TXT_000446	Громадный скорпихвост
IDS_PROPMOVER_TXT_000447	
IDS_PROPMOVER_TXT_000448	Слабый дезинфектор
IDS_PROPMOVER_TXT_000449	
IDS_PROPMOVER_TXT_000450	Дезинфектор
IDS_PROPMOVER_TXT_000451	
IDS_PROPMOVER_TXT_000452	Сильный дезинфектор
IDS_PROPMOVER_TXT_000453	
IDS_PROPMOVER_TXT_000454	Гигантский дезинфектор
IDS_PROPMOVER_TXT_000455	
IDS_PROPMOVER_TXT_000456	Рудеит
IDS_PROPMOVER_TXT_000457	
IDS_PROPMOVER_TXT_000458	Эронит
IDS_PROPMOVER_TXT_000459	
IDS_PROPMOVER_TXT_000460	Кразеит
IDS_PROPMOVER_TXT_000461	
IDS_PROPMOVER_TXT_000462	Гуронит
IDS_PROPMOVER_TXT_000463	
IDS_PROPMOVER_TXT_000464	Слабый гр-р
IDS_PROPMOVER_TXT_000465	
IDS_PROPMOVER_TXT_000466	Гр-р
IDS_PROPMOVER_TXT_000467	
IDS_PROPMOVER_TXT_000468	Сильный гр-р
IDS_PROPMOVER_TXT_000469	
IDS_PROPMOVER_TXT_000470	Громадный гр-р
IDS_PROPMOVER_TXT_000471	
IDS_PROPMOVER_TXT_000472	Слабый трактотрон
IDS_PROPMOVER_TXT_000473	
IDS_PROPMOVER_TXT_000474	Трактотрон
IDS_PROPMOVER_TXT_000475	
IDS_PROPMOVER_TXT_000476	Сильный трактотрон
IDS_PROPMOVER_TXT_000477	
IDS_PROPMOVER_TXT_000478	Гигантский трактотрон
IDS_PROPMOVER_TXT_000479	
IDS_PROPMOVER_TXT_000480	Слабая белка-пилотяга
IDS_PROPMOVER_TXT_000481	
IDS_PROPMOVER_TXT_000482	Белка-пилотяга
IDS_PROPMOVER_TXT_000483	
IDS_PROPMOVER_TXT_000484	Сильная белка-пилотяга
IDS_PROPMOVER_TXT_000485	
IDS_PROPMOVER_TXT_000486	Громадная белка-пилотяга
IDS_PROPMOVER_TXT_000487	
IDS_PROPMOVER_TXT_000488	Слабая задушица
IDS_PROPMOVER_TXT_000489	
IDS_PROPMOVER_TXT_000490	Задушица
IDS_PROPMOVER_TXT_000491	
IDS_PROPMOVER_TXT_000492	Сильная задушица
IDS_PROPMOVER_TXT_000493	
IDS_PROPMOVER_TXT_000494	Громадная задушица
IDS_PROPMOVER_TXT_000495	
IDS_PROPMOVER_TXT_000496	Слабый сарранч
IDS_PROPMOVER_TXT_000497	
IDS_PROPMOVER_TXT_000498	Сарранч
IDS_PROPMOVER_TXT_000499	
IDS_PROPMOVER_TXT_000500	Сильный сарранч
IDS_PROPMOVER_TXT_000501	
IDS_PROPMOVER_TXT_000502	Громадный сарранч
IDS_PROPMOVER_TXT_000503	
IDS_PROPMOVER_TXT_000504	Слабый подгрызиновик
IDS_PROPMOVER_TXT_000505	
IDS_PROPMOVER_TXT_000506	Подгрызиновик
IDS_PROPMOVER_TXT_000507	
IDS_PROPMOVER_TXT_000508	Сильный подгрызиновик
IDS_PROPMOVER_TXT_000509	
IDS_PROPMOVER_TXT_000510	Громадный подгрызиновик
IDS_PROPMOVER_TXT_000511	
IDS_PROPMOVER_TXT_000512	Слабая жужелица
IDS_PROPMOVER_TXT_000513	
IDS_PROPMOVER_TXT_000514	Жужелица
IDS_PROPMOVER_TXT_000515	
IDS_PROPMOVER_TXT_000516	Сильная жужелица
IDS_PROPMOVER_TXT_000517	
IDS_PROPMOVER_TXT_000518	Громадная жужелица
IDS_PROPMOVER_TXT_000519	
IDS_PROPMOVER_TXT_000520	Слабый Ва-танка
IDS_PROPMOVER_TXT_000521	
IDS_PROPMOVER_TXT_000522	Ва-танка
IDS_PROPMOVER_TXT_000523	
IDS_PROPMOVER_TXT_000524	Сильный Ва-танка
IDS_PROPMOVER_TXT_000525	
IDS_PROPMOVER_TXT_000526	Гигантский Ва-танка
IDS_PROPMOVER_TXT_000527	
IDS_PROPMOVER_TXT_000528	Слабый мутэнт
IDS_PROPMOVER_TXT_000529	
IDS_PROPMOVER_TXT_000530	Мутэнт
IDS_PROPMOVER_TXT_000531	
IDS_PROPMOVER_TXT_000532	Сильный мутэнт
IDS_PROPMOVER_TXT_000533	
IDS_PROPMOVER_TXT_000534	Громадный мутэнт
IDS_PROPMOVER_TXT_000535	
IDS_PROPMOVER_TXT_000536	Слабый лавлин
IDS_PROPMOVER_TXT_000537	
IDS_PROPMOVER_TXT_000538	Лавлин
IDS_PROPMOVER_TXT_000539	
IDS_PROPMOVER_TXT_000540	Сильный лавлин
IDS_PROPMOVER_TXT_000541	
IDS_PROPMOVER_TXT_000542	Громадный лавлин
IDS_PROPMOVER_TXT_000543	
IDS_PROPMOVER_TXT_000544	Слабый армадон
IDS_PROPMOVER_TXT_000545	
IDS_PROPMOVER_TXT_000546	Армадон
IDS_PROPMOVER_TXT_000547	
IDS_PROPMOVER_TXT_000548	Сильный армадон
IDS_PROPMOVER_TXT_000549	
IDS_PROPMOVER_TXT_000550	Громадный армадон
IDS_PROPMOVER_TXT_000551	
IDS_PROPMOVER_TXT_000552	Слабый сталефант
IDS_PROPMOVER_TXT_000553	
IDS_PROPMOVER_TXT_000554	Сталефант
IDS_PROPMOVER_TXT_000555	
IDS_PROPMOVER_TXT_000556	Сильный сталефант
IDS_PROPMOVER_TXT_000557	
IDS_PROPMOVER_TXT_000558	Громадный сталефант
IDS_PROPMOVER_TXT_000559	
IDS_PROPMOVER_TXT_000560	Слабый вогробушек
IDS_PROPMOVER_TXT_000561	
IDS_PROPMOVER_TXT_000562	Вогробушек
IDS_PROPMOVER_TXT_000563	
IDS_PROPMOVER_TXT_000564	Сильный вогробушек
IDS_PROPMOVER_TXT_000565	
IDS_PROPMOVER_TXT_000566	Громадный вогробушек
IDS_PROPMOVER_TXT_000567	
IDS_PROPMOVER_TXT_000568	Слабый эктор
IDS_PROPMOVER_TXT_000569	
IDS_PROPMOVER_TXT_000570	Эктор
IDS_PROPMOVER_TXT_000571	
IDS_PROPMOVER_TXT_000572	Сильный эктор
IDS_PROPMOVER_TXT_000573	
IDS_PROPMOVER_TXT_000574	Гигантский эктор
IDS_PROPMOVER_TXT_000575	
IDS_PROPMOVER_TXT_000576	Поваренок Кромсатти
IDS_PROPMOVER_TXT_000577	
IDS_PROPMOVER_TXT_000578	Младший повар Кромсатти
IDS_PROPMOVER_TXT_000579	
IDS_PROPMOVER_TXT_000580	Повар Кромсатти
IDS_PROPMOVER_TXT_000581	
IDS_PROPMOVER_TXT_000582	Старший повар Кромсатти
IDS_PROPMOVER_TXT_000583	
