ids_language_code	RU
ids_ui_shop_title	Торговля
ids_ui_shop_itemslist	Предметы
ids_ui_tooltip_price	Цена: %s
ids_ui_tooltip_sellprice	Цена продажи: %s
ids_ui_shop_filter	Поиск
ids_ui_shop_level	По ур.
ids_ui_shop_gender	По полу
ids_ui_shop_itemprice	Цена предмета
ids_ui_sellitem_title	Подтверждение продажи
ids_ui_sellitem_confirm	Продать предмет?
ids_ui_sellitem_qty	Количество
ids_ui_sellitem_price	Цена продажи:
ids_ui_msgbox_valid	OK
ids_ui_buyitem_title	Подтвердите покупку
ids_ui_buyitem_confirm	Купить предмет?
ids_ui_buyitem_price	Цена
ids_ui_option_grass	Grass (Beta)
ids_ui_option_showlogin	Players login
ids_ui_tooltip_max_hp	Запас ОЗ
ids_ui_tooltip_max_mp	Запас ОМ
ids_ui_tooltip_max_fp	Запас ОЭ
ids_ui_tooltip_speed	Скорость
ids_ui_tooltip_atkspeed	Скорость атаки
ids_ui_tooltip_blockmelee	Блокирование в бл. бою
ids_ui_tooltip_hitrate	Меткость
ids_ui_display_buffs	Show/hide buffs
ids_ui_selectjob_title	Select new job
