IDS_MMI_311	반짝 반짝 카드 교환
IDS_MMI_274	용왕가면(남) 성능교환
IDS_MMI_275	용왕가면(여) 성능교환
IDS_MMI_90	비밀의 방 안내
IDS_MMI_103	비밀의 방 신청취소
IDS_MMI_87	비밀의 방 입장
IDS_MMI_100	점령길드 전용 사냥터 입장
IDS_MMI_84	비밀의 방 신청하기
IDS_MMI_85	비밀의 방 신청현황
IDS_MMI_86	비밀의 방 참가자 구성
IDS_MMI_88	
IDS_MMI_89	세율 확인
IDS_MMI_22	현상범 리스트 보기
IDS_MMI_54	유니크 웨폰 변환
IDS_MMI_55	얼터멋 웨폰 변환
IDS_MMI_53	보석 추출
IDS_MMI_52	얼터멋 웨폰 보석 합성
IDS_MMI_324	코스튬 보석합성
IDS_MMI_327	코스튬 합성
IDS_MMI_51	빛나는 오리칼쿰 생성
IDS_MMI_328	절대 강화 스크롤 합성
IDS_MMI_95	얼터멋 웨폰 보석 제거
IDS_MMI_326	코스튬 보석 제거
IDS_MMI_72	피어싱 옵션 제거
IDS_MMI_135	안전제련(액세서리)
IDS_MMI_323	안전 제련(코스튬)
IDS_MMI_167	안전제련(속성)
IDS_MMI_134	안전제련(일반)
IDS_MMI_136	안전제련(피어싱)
IDS_MMI_283	제련된 베가의 빛으로 아이템 교환
IDS_MMI_43	엔젤 소환
IDS_MMI_179	오퍼 추출
IDS_MMI_182	시드 제작
IDS_MMI_180	오퍼 제작
IDS_MMI_183	오퍼시드 제작
IDS_MMI_203	바루나피어싱
IDS_MMI_178	바루나 제련
IDS_MMI_181	시드 제작 및 업그레이드
IDS_MMI_146	텔레포트 이동
IDS_MMI_233	삭제
IDS_MMI_234	전체삭제
IDS_MMI_235	이름변경
IDS_MMI_236	닫기
IDS_MMI_12	따라가기
IDS_MMI_2	거래
IDS_MMI_246	OMG 용사 세트 교환
IDS_MMI_242	상자 교환하기
IDS_MMI_260	양손 무기 합성
IDS_MMI_261	양손 무기 합성 취소
IDS_MMI_19	제련
IDS_MMI_259	호박 10개와 100,000 페냐를 가위바위보 쿠폰으로 교환
IDS_MMI_287	발렌타인 선물교환
IDS_MMI_288	사랑의증표 교환
IDS_MMI_123	친구 미니룸 입장
IDS_MMI_122	미니룸 입장
IDS_MMI_320	추석 무기 상자 교환
IDS_MMI_217	화이트데이 교환
IDS_MMI_218	재료를 모아 성별에 따라 다른 보상과 교환하세요. 또한, 러브 초콜릿과 사랑의 꽃다발을 모아오면 사랑의 증표로 바꿔드려요
IDS_MMI_219	마법의 실타래 500개를 노란색 코르사주(여)로 교환
IDS_MMI_220	염색제500개를 파란색 코르사주(여)로 교환
IDS_MMI_289	
IDS_MMI_290	
IDS_MMI_291	
IDS_MMI_292	
IDS_MMI_296	포도의 씨 교환
IDS_MMI_294	포도의 씨 교환
IDS_MMI_295	포도의 씨 교환
IDS_MMI_193	좀비헌터 토큰 교환
IDS_MMI_194	좀비 토큰 6개를 좀비 헌터 박스 8개로 교환
IDS_MMI_195	좀비 토큰 15개를 좀비 헌터 망토 1개로 교환
IDS_MMI_196	좀비 토큰 35개를 생존자 망토 1개로 교환
