IDS_PROPSKILL_TXT_000000	크린히트
IDS_PROPSKILL_TXT_000137	뜨거운 불기운으로 적에게 지속적인 피해를 줍니다.
IDS_PROPSKILL_TXT_000138	소드윈드
IDS_PROPSKILL_TXT_000139	칼날처럼 날카로운 바람을 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000140	스트롱윈드
IDS_PROPSKILL_TXT_000141	강한 바람으로 적에게 날려 공격합니다. 이때 적을 반대 방향으로 밀어냅니다.
IDS_PROPSKILL_TXT_000142	블링크풀
IDS_PROPSKILL_TXT_000143	마술로 엷은 바람구멍을 근접한 곳에 뚫어 순간적으로 이동합니다.
IDS_PROPSKILL_TXT_000144	아이스 미사일
IDS_PROPSKILL_TXT_000145	차가운 얼음 송곳을 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000146	라이트닝 볼
IDS_PROPSKILL_TXT_000147	주위의 정전기를 모아 적을 공격합니다.
IDS_PROPSKILL_TXT_000148	스파이크 스톤
IDS_PROPSKILL_TXT_000149	단단한 돌을 적에게 날려 공격합니다. 이때 적을 일정 확률로 스턴 상태로 만듭니다.
IDS_PROPSKILL_TXT_000150	멘탈 스트라이크
IDS_PROPSKILL_TXT_000151	정신력을 이용하여 적에게 무속성 공격을 가합니다.
IDS_PROPSKILL_TXT_000152	파이어 스트라이크
IDS_PROPSKILL_TXT_000153	거대한 불덩어리를 날려 적을 공격합니다. 이때 적은 불타고 있는 상태가 됩니다.
IDS_PROPSKILL_TXT_000154	윈드 커터
IDS_PROPSKILL_TXT_000155	칼날의 폭풍처럼 날카로운 바람을 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000156	워터볼
IDS_PROPSKILL_TXT_000157	물의 기운을 응축시킨 구체를 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000158	스프링워터
IDS_PROPSKILL_TXT_000159	물기둥이 솟구쳐 적을 공격합니다. 이때 적은 젖어있는 상태가 됩니다.
IDS_PROPSKILL_TXT_000160	라이트닝 팜
IDS_PROPSKILL_TXT_000161	전기의 기운을 응축시킨 구체를 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000162	라이트닝 쑈크
IDS_PROPSKILL_TXT_000163	번개를 떨어뜨려 적을 공격합니다. 이때 적은 감전된 상태가 됩니다.
IDS_PROPSKILL_TXT_000164	락 크래쉬
IDS_PROPSKILL_TXT_000165	거대한 바위를 떨어뜨려 적을 공격합니다.
IDS_PROPSKILL_TXT_000166	루팅
IDS_PROPSKILL_TXT_000167	땅의 정령을 불러내 적의 움직임을 봉쇄합니다.
IDS_PROPSKILL_TXT_000168	데모놀로지
IDS_PROPSKILL_TXT_000169	악마의 사념을 소환해 적에게 정신적인 공격을 합니다.
IDS_PROPSKILL_TXT_000170	사타놀로지
IDS_PROPSKILL_TXT_000171	적의 눈을 혼란시켜 움직이지 못하게 만듭니다.
IDS_PROPSKILL_TXT_000172	사이킥 봄
IDS_PROPSKILL_TXT_000173	정신력을 파괴의 힘으로 폭발시켜 적을 공격합니다.
IDS_PROPSKILL_TXT_000174	사이킥 월
IDS_PROPSKILL_TXT_000175	강한 염력으로 벽을 만들어 적이 다가올 수 없게 만듭니다.
IDS_PROPSKILL_TXT_000176	스피릿 봄
IDS_PROPSKILL_TXT_000177	적의 정신을 붕괴시켜 공격합니다. 이때 자신의 MP가 남은 량에 따라 데미지가 변합니다.
IDS_PROPSKILL_TXT_000178	크루시오 스펠
IDS_PROPSKILL_TXT_000179	적에게 받은 데미지의 일부를 돌려준다. (캐릭터, 몬스터는 각각 다른 데미지 공식 적용)
IDS_PROPSKILL_TXT_000180	맥시멈 크라이시스
IDS_PROPSKILL_TXT_000181	강력한 정신파로 자신의 주변의 적들에게 공격합니다.
IDS_PROPSKILL_TXT_000182	사이킥 스퀘어
IDS_PROPSKILL_TXT_000183	혼돈의 정신 세계로 끌어들여 적들 전체를 공격합니다.
IDS_PROPSKILL_TXT_000184	파이어버드
IDS_PROPSKILL_TXT_000185	새 형태의 불 덩어리를 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000186	파이어 마스터
IDS_PROPSKILL_TXT_000187	파이어 속성 마법의 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000188	버닝필드
IDS_PROPSKILL_TXT_000189	지정된 지역을 불바다로 만들어 적들에게 지속적인 공격을 합니다.
IDS_PROPSKILL_TXT_000190	썬더 스트라이크
IDS_PROPSKILL_TXT_000191	강력한 번개를 떨어트려 적을 공격합니다.
IDS_PROPSKILL_TXT_000192	라이트닝 마스터
IDS_PROPSKILL_TXT_000193	라이트닝 속성 마법의 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000194	일렉트릭 쇼크
IDS_PROPSKILL_TXT_000195	강력한 전기 파장을 일으켜 주변의 모든 적들을 공격합니다. 이때 적의 방어력이 일정량 감소합니다.
IDS_PROPSKILL_TXT_000196	스톤 스피어
IDS_PROPSKILL_TXT_000197	돌로 만들어진 창을 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000198	어스 마스터
IDS_PROPSKILL_TXT_000199	어스 속성 마법의 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000200	어스퀘이크
IDS_PROPSKILL_TXT_000201	지진을 일으켜 주변의 모든 적들을 공격합니다.
IDS_PROPSKILL_TXT_000202	아이스샤크
IDS_PROPSKILL_TXT_000203	샤크 형태의 얼음 덩어리를 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000204	워터 마스터
IDS_PROPSKILL_TXT_000205	워터 속성 마법의 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000206	포이즌 클라우드
IDS_PROPSKILL_TXT_000207	독을 뿌리는 구름을 만들어 주변의 모든 적들을 공격합니다.
IDS_PROPSKILL_TXT_000208	보이드
IDS_PROPSKILL_TXT_000209	완벽한 진공 상태를 만들어 적을 공격합니다.
IDS_PROPSKILL_TXT_000210	윈드 마스터
IDS_PROPSKILL_TXT_000211	윈드 속성 마법의 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000212	윈드필드
IDS_PROPSKILL_TXT_000213	강렬한 돌풍을 일으켜 주변의 모든 적들을 공격합니다. 이때 적의 이동 속도를 감소시킵니다.
IDS_PROPSKILL_TXT_000214	메테오 샤워
IDS_PROPSKILL_TXT_000215	불타는 운석을 떨어트려 주변의 모든 적들을 공격합니다.
IDS_PROPSKILL_TXT_000216	라이트닝스톰
IDS_PROPSKILL_TXT_000217	전기장을 가진 돌풍으로 주변의 모든 적들을 공격합니다.
IDS_PROPSKILL_TXT_000218	샌드스톰
IDS_PROPSKILL_TXT_000219	거친 모래 폭풍을 일으켜 주변의 모든 적을 공격합니다.
IDS_PROPSKILL_TXT_000220	아바란치
IDS_PROPSKILL_TXT_000221	세찬 눈보라를 일으켜 주변의 모든 적들을 공격합니다. 이때 적을 일정 확률로 스턴 상태로 만듭니다.
IDS_PROPSKILL_TXT_000222	요요 마스터리
IDS_PROPSKILL_TXT_000223	요요의 사용 능력을 높여서 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000224	보우 마스터리
IDS_PROPSKILL_TXT_000225	보우의 사용 능력을 높여서 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000226	다크일루젼
IDS_PROPSKILL_TXT_000227	그림자 속으로 숨어 자신의 형체를 감춥니다.
IDS_PROPSKILL_TXT_000228	엉터리화살
IDS_PROPSKILL_TXT_000229	적을 향해 화살을 마구 쏩니다. 한번에 많은 공격을 하지만, 화살의 적중률은 떨어집니다.
IDS_PROPSKILL_TXT_000230	패스트워커
IDS_PROPSKILL_TXT_000231	짧은 시간동안 이동 속도를 높여준다
IDS_PROPSKILL_TXT_000232	에임드 샷
IDS_PROPSKILL_TXT_000233	정밀하게 화살을 쏴 적을 약하게 만듭니다. 이때 적은 일정 확률로 다음 공격의 데미지를 2배 받는 상태가 됩니다.
IDS_PROPSKILL_TXT_000234	슬로우 스텝
IDS_PROPSKILL_TXT_000235	적의 움직임이 느려지도록 요요로 하체를 공격합니다.
IDS_PROPSKILL_TXT_000236	사일런트 샷
IDS_PROPSKILL_TXT_000237	숨을 죽이고 적에게 기습 공격을 합니다. 다크일루젼 상태에서 사용하면 공격력이 커집니다.
IDS_PROPSKILL_TXT_000238	절대방어
IDS_PROPSKILL_TXT_000239	적의 움직임에 집중하여 블럭율이 상승시킵니다
IDS_PROPSKILL_TXT_000240	애로우 레인
IDS_PROPSKILL_TXT_000241	무수히 많은 화살을 하늘로 쏘아올려 적의 머리를 공격합니다.
IDS_PROPSKILL_TXT_000242	크로스 라인
IDS_PROPSKILL_TXT_000243	요요를 교차시키며 적을 공격합니다. 이때 적은 일정 확률로 스턴 상태가 됩니다.
IDS_PROPSKILL_TXT_000244	오토 샷
IDS_PROPSKILL_TXT_000245	적을 향해 연속하여 빠른 동작으로 화살을 날립니다. 이때 적은 일정 확률로 어둠 상태가 됩니다.
IDS_PROPSKILL_TXT_000246	강탈
IDS_PROPSKILL_TXT_000247	다크일루전 상태에서 일정 확률로 적의 페냐를 훔칩니다. 대상의 뒤에서만 사용 가능합니다.
IDS_PROPSKILL_TXT_000248	역습
IDS_PROPSKILL_TXT_000249	적의 공격을 신중히 기다리고 있다가 빈틈을 카운터로 공격합니다.
IDS_PROPSKILL_TXT_000250	데들리 스윙
IDS_PROPSKILL_TXT_000251	요요를 예측불허의 장소로 날려 치명적인 공격을 합니다. 이때 적은 일정 확률로 출혈 상태가 됩니다.
IDS_PROPSKILL_TXT_000252	풀링
IDS_PROPSKILL_TXT_000253	요요 기술로 자신과 떨어져 있는 대상을 자신앞으로 끌어 당긴다.
IDS_PROPSKILL_TXT_000254	크리티컬 스윙
IDS_PROPSKILL_TXT_000255	요요의 능력을 강화 시켜 적에 대한 크리티컬 확률을 상승시킵니다.
IDS_PROPSKILL_TXT_000256	포이즌
IDS_PROPSKILL_TXT_000257	요요에 독 속성을 추가시켜 공격력을 상승시키고 일정 확률로 독에 중독되게 합니다.
IDS_PROPSKILL_TXT_000258	출혈
IDS_PROPSKILL_TXT_000259	요요에 치명적인 손상 속성을 추가시켜 공격력을 상승시키고, 일정 확률로 출혈 상태로 만듭니다.
IDS_PROPSKILL_TXT_000260	흡수
IDS_PROPSKILL_TXT_000261	요요에 HP흡수 기능을 추가시켜 공격력를 상승시키고. 일정 확률로 적의 HP를 흡수합니다.
IDS_PROPSKILL_TXT_000262	백 스텝
IDS_PROPSKILL_TXT_000263	요요로 배후를 습격합니다. 이때 적은 일정 확률로 스턴 상태가 됩니다. 적의 뒤에서만 사용 가능합니다.
IDS_PROPSKILL_TXT_000264	히트 오브 페냐
IDS_PROPSKILL_TXT_000265	요요와 함께 소지 중이던 페냐를 다량으로 날려 적을 공격합니다. 이때 소지 중인 페냐가 소모됩니다.
IDS_PROPSKILL_TXT_000266	탈출
IDS_PROPSKILL_TXT_000267	자신의 행동을 방해하는 속박에서 빠져나갑니다.
IDS_PROPSKILL_TXT_000268	혼신의일격
IDS_PROPSKILL_TXT_000269	어둠 속에서 순간 모습을 드러내 전력을 다해 적을 기습합니다. 다크일루젼 상태에서만 사용 가능합니다.
IDS_PROPSKILL_TXT_000270	속사
IDS_PROPSKILL_TXT_000271	정신을 집중하여 활을 당기는 속도를 상승시킵니다.
IDS_PROPSKILL_TXT_000272	아이스에로우
IDS_PROPSKILL_TXT_000273	화살에 워터 속성을 추가시켜 주변의 모든 적을 공격합니다. 이때 적의 이동 속도를 감소시킵니다.
IDS_PROPSKILL_TXT_000274	플레임에로우
IDS_PROPSKILL_TXT_000275	화살에 화이어 속성을 추가시켜 주변의 모든 적을 공격합니다.
IDS_PROPSKILL_TXT_000276	피어싱에로우
IDS_PROPSKILL_TXT_000277	강력한 화살을 날려 직선 상의 적들을 관통하며 공격합니다.
IDS_PROPSKILL_TXT_000278	포이즌에로우
IDS_PROPSKILL_TXT_000279	화살에 독 속성을 추가시켜 일정 확률로 독에 중독되게 합니다.
IDS_PROPSKILL_TXT_000280	침묵의에로우
IDS_PROPSKILL_TXT_000281	마법 주문을 외울 수 없도록 적을 화살로 공격합니다. 이때 적은 일정 확률로 침묵 상태가 됩니다.
IDS_PROPSKILL_TXT_000282	자연의 도
IDS_PROPSKILL_TXT_000283	속성 마법에 대한 저항률을 상승시킵니다.
IDS_PROPSKILL_TXT_000284	트리플 샷
IDS_PROPSKILL_TXT_000285	한번에 3발의 화살을 동시에 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000286	섬광탄
IDS_PROPSKILL_TXT_000287	섬광탄 트랩에 걸려 눈을 뜰 수 없습니다.
IDS_PROPSKILL_TXT_000288	스턴
IDS_PROPSKILL_TXT_000289	움직일 수 없는 스턴 상태입니다.
IDS_PROPSKILL_TXT_000290	스턴
IDS_PROPSKILL_TXT_000291	움직일 수 없는 스턴 상태입니다.
IDS_PROPSKILL_TXT_000292	데미지
IDS_PROPSKILL_TXT_000293	
IDS_PROPSKILL_TXT_000294	역습공격
IDS_PROPSKILL_TXT_000295	적의 공격을 신중히 기다리고 있다가 빈틈을 카운터로 공격합니다.
IDS_PROPSKILL_TXT_000296	밀어내기
IDS_PROPSKILL_TXT_000297	상대를 밀어낸다.
IDS_PROPSKILL_TXT_000298	버닝필드
IDS_PROPSKILL_TXT_000299	지정된 지역을 불바다로 만들어 적들에게 지속적인 공격을 합니다.
IDS_PROPSKILL_TXT_000300	일반독
IDS_PROPSKILL_TXT_000301	일정 시간동안 독에의한 지속적인 피해를 입힙니다.
IDS_PROPSKILL_TXT_000302	기절
IDS_PROPSKILL_TXT_000303	움직일 수 없는 스턴 상태입니다.
IDS_PROPSKILL_TXT_000304	출혈
IDS_PROPSKILL_TXT_000305	일정 시간동안 출혈로 인한 지속적인 피해를 입힙니다.
IDS_PROPSKILL_TXT_000306	흡혈
IDS_PROPSKILL_TXT_000307	대상의 생명력을 흡수합니다.
IDS_PROPSKILL_TXT_000308	스워드크로스
IDS_PROPSKILL_TXT_000309	
IDS_PROPSKILL_TXT_000310	독침
IDS_PROPSKILL_TXT_000311	일정 시간동안 독에의한 지속적인 피해를 입힙니다.
IDS_PROPSKILL_TXT_000312	출혈
IDS_PROPSKILL_TXT_000313	일정 시간동안 출혈로 인한 지속적인 피해를 입힙니다.
IDS_PROPSKILL_TXT_000314	로어택
IDS_PROPSKILL_TXT_000315	공격속도와 시전속도가 저하됩니다.
IDS_PROPSKILL_TXT_000316	로어택
IDS_PROPSKILL_TXT_000317	공격속도와 시전속도가 저하됩니다.
IDS_PROPSKILL_TXT_000318	기절
IDS_PROPSKILL_TXT_000319	움직일 수 없는 기절 상태입니다.
IDS_PROPSKILL_TXT_000320	크르릉의 독
IDS_PROPSKILL_TXT_000321	일정 시간동안 독에의한 지속적인 피해를 입힙니다.
IDS_PROPSKILL_TXT_000322	기절
IDS_PROPSKILL_TXT_000323	움직일 수 없는 스턴 상태입니다.
IDS_PROPSKILL_TXT_000324	독버섯의 광기
IDS_PROPSKILL_TXT_000325	공격력과 공격속도가 증가 합니다.
IDS_PROPSKILL_TXT_000326	나무껍질로 보호
IDS_PROPSKILL_TXT_000327	온 몸을 단단한 나무껍질로 감싸 물리공격력을 감소시킵니다.
IDS_PROPSKILL_TXT_000328	버프 브레이크
IDS_PROPSKILL_TXT_000329	
IDS_PROPSKILL_TXT_000330	버프 브레이크X
IDS_PROPSKILL_TXT_000331	
IDS_PROPSKILL_TXT_000332	토글 버프
IDS_PROPSKILL_TXT_000333	
IDS_PROPSKILL_TXT_000334	얼터멋 디펜스
IDS_PROPSKILL_TXT_000335	방어력이 급 증가 되지만 이동이 불가능 해집니다.
IDS_PROPSKILL_TXT_000336	드로잉
IDS_PROPSKILL_TXT_000337	상대방을 자신의 앞으로 끌어 당깁니다.
IDS_PROPSKILL_TXT_000338	침묵
IDS_PROPSKILL_TXT_000339	영향을 받은 대상은 마법 스킬을 사용하지 못합니다.
IDS_PROPSKILL_TXT_000340	매의 눈
IDS_PROPSKILL_TXT_000341	보우의 사정거리가 증가 합니다.
IDS_PROPSKILL_TXT_000342	커즈 마인드
IDS_PROPSKILL_TXT_000343	대상의 마법 방어력을 50% 하락 시킵니다.
IDS_PROPSKILL_TXT_000344	석화
IDS_PROPSKILL_TXT_000345	상대방을 굳게 만들어 아무런 행동을 못하도록 합니다.
IDS_PROPSKILL_TXT_000346	디스인챈트
IDS_PROPSKILL_TXT_000347	상대방의 모든 버프를 제거 합니다.
IDS_PROPSKILL_TXT_000348	귀환
IDS_PROPSKILL_TXT_000349	가까운 마을로 순간이동을 하게 됩니다.
IDS_PROPSKILL_TXT_000350	화상
IDS_PROPSKILL_TXT_000351	일정 시간동안 화상으로 인한 지속적인 피해를 입힙니다.
IDS_PROPSKILL_TXT_000352	스페셜 한손 마스터리
IDS_PROPSKILL_TXT_000353	한손 무기 착용시 공격력이 상승 됩니다.
IDS_PROPSKILL_TXT_000354	스페셜 양손 마스터리
IDS_PROPSKILL_TXT_000355	양손 무기 착용시 공격력이 상승 됩니다.
IDS_PROPSKILL_TXT_000356	스페셜 요요 마스터리
